Store Number,Start (Night),End (Morning)
5786,9/11/2022,9/12/2022
5198,9/11/2022,9/12/2022
2773,9/11/2022,9/12/2022
6963,9/11/2022,9/12/2022
1800,9/11/2022,9/12/2022
42,9/11/2022,9/12/2022
4048,9/11/2022,9/12/2022
6867,9/11/2022,9/12/2022
4874,9/11/2022,9/12/2022
5130,9/12/2022,9/13/2022
7178,9/12/2022,9/13/2022
807,9/12/2022,9/13/2022
22,9/12/2022,9/13/2022
7233,9/12/2022,9/13/2022
4764,9/12/2022,9/13/2022
6220,9/12/2022,9/13/2022
5131,9/13/2022,9/14/2022
5799,9/13/2022,9/14/2022
5429,9/13/2022,9/14/2022
3093,9/13/2022,9/14/2022
3742,9/13/2022,9/14/2022
5883,9/13/2022,9/14/2022
5087,9/13/2022,9/14/2022
5151,9/13/2022,9/14/2022
787,9/13/2022,9/14/2022
4503,9/13/2022,9/14/2022
4240,9/13/2022,9/14/2022
130,9/13/2022,9/14/2022
3746,9/13/2022,9/14/2022
6367,9/13/2022,9/14/2022
8261,9/13/2022,9/14/2022
5229,9/14/2022,9/15/2022
3285,9/14/2022,9/15/2022
4637,9/14/2022,9/15/2022
3752,9/14/2022,9/15/2022
4713,9/14/2022,9/15/2022
6521,9/14/2022,9/15/2022
2236,9/15/2022,9/16/2022
5858,9/15/2022,9/16/2022
2777,9/15/2022,9/16/2022
5841,9/15/2022,9/16/2022
2469,9/15/2022,9/16/2022
2549,9/15/2022,9/16/2022
5705,9/15/2022,9/16/2022
5814,9/15/2022,9/16/2022
4519,9/15/2022,9/16/2022
855,9/15/2022,9/16/2022
3433,9/15/2022,9/16/2022
5091,9/15/2022,9/16/2022
3055,9/15/2022,9/16/2022
2940,9/15/2022,9/16/2022
6421,9/15/2022,9/16/2022
8114,9/15/2022,9/16/2022
4185,9/18/2022,9/19/2022
3709,9/18/2022,9/19/2022
6401,9/18/2022,9/19/2022
6998,9/18/2022,9/19/2022
2667,9/18/2022,9/19/2022
5045,9/18/2022,9/19/2022
207,9/18/2022,9/19/2022
3743,9/18/2022,9/19/2022
6202,9/18/2022,9/19/2022
8265,9/18/2022,9/19/2022
3563,9/19/2022,9/20/2022
7181,9/19/2022,9/20/2022
1024,9/19/2022,9/20/2022
471,9/19/2022,9/20/2022
703,9/19/2022,9/20/2022
7326,9/19/2022,9/20/2022
3745,9/19/2022,9/20/2022
6422,9/19/2022,9/20/2022
8273,9/19/2022,9/20/2022
1670,9/20/2022,9/21/2022
3884,9/20/2022,9/21/2022
3241,9/20/2022,9/21/2022
4393,9/20/2022,9/21/2022
3850,9/20/2022,9/21/2022
4395,9/20/2022,9/21/2022
7185,9/20/2022,9/21/2022
2465,9/20/2022,9/21/2022
5964,9/20/2022,9/21/2022
3741,9/20/2022,9/21/2022
1118,9/20/2022,9/21/2022
351,9/20/2022,9/21/2022
7294,9/20/2022,9/21/2022
5789,9/20/2022,9/21/2022
8284,9/20/2022,9/21/2022
4109,9/20/2022,9/21/2022
1887,9/21/2022,9/22/2022
6395,9/21/2022,9/22/2022
5288,9/21/2022,9/22/2022
3585,9/21/2022,9/22/2022
103,9/21/2022,9/22/2022
6975,9/21/2022,9/22/2022
4783,9/21/2022,9/22/2022
8237,9/21/2022,9/22/2022
5626,9/22/2022,9/23/2022
3465,9/22/2022,9/23/2022
2735,9/22/2022,9/23/2022
2196,9/22/2022,9/23/2022
3511,9/22/2022,9/23/2022
3388,9/22/2022,9/23/2022
4206,9/22/2022,9/23/2022
6387,9/22/2022,9/23/2022
3118,9/22/2022,9/23/2022
4164,9/22/2022,9/23/2022
5287,9/22/2022,9/23/2022
225,9/22/2022,9/23/2022
8248,9/22/2022,9/23/2022
8266,9/22/2022,9/23/2022
6576,9/25/2022,9/26/2022
548,9/25/2022,9/26/2022
4144,9/25/2022,9/26/2022
4772,9/25/2022,9/26/2022
3188,9/25/2022,9/26/2022
1022,9/25/2022,9/26/2022
6579,9/25/2022,9/26/2022
1295,9/25/2022,9/26/2022
8134,9/25/2022,9/26/2022
7189,9/26/2022,9/27/2022
8209,9/26/2022,9/27/2022
5186,9/27/2022,9/28/2022
5124,9/27/2022,9/28/2022
1554,9/27/2022,9/28/2022
4137,9/27/2022,9/28/2022
2557,9/27/2022,9/28/2022
4586,9/27/2022,9/28/2022
5252,9/27/2022,9/28/2022
3570,9/27/2022,9/28/2022
6732,9/27/2022,9/28/2022
5716,9/27/2022,9/28/2022
523,9/27/2022,9/28/2022
4679,9/27/2022,9/28/2022
8117,9/27/2022,9/28/2022
4969,9/27/2022,9/28/2022
722,9/28/2022,9/29/2022
6849,9/28/2022,9/29/2022
2488,9/28/2022,9/29/2022
438,9/28/2022,9/29/2022
4129,9/28/2022,9/29/2022
4731,9/28/2022,9/29/2022
3360,9/29/2022,9/30/2022
5331,9/29/2022,9/30/2022
1840,9/29/2022,9/30/2022
2325,9/29/2022,9/30/2022
1340,9/29/2022,9/30/2022
5735,9/29/2022,9/30/2022
7245,9/29/2022,9/30/2022
5248,9/29/2022,9/30/2022
3482,9/29/2022,9/30/2022
3406,9/29/2022,9/30/2022
803,9/29/2022,9/30/2022
8289,9/29/2022,9/30/2022
8125,9/29/2022,9/30/2022
1088,9/29/2022,9/30/2022
1076,10/2/2022,10/3/2022
4221,10/3/2022,10/4/2022
990,10/3/2022,10/4/2022
4525,10/3/2022,10/4/2022
575,10/3/2022,10/4/2022
2671,10/4/2022,10/5/2022
1240,10/4/2022,10/5/2022
2697,10/4/2022,10/5/2022
2987,10/4/2022,10/5/2022
3119,10/4/2022,10/5/2022
7339,10/4/2022,10/5/2022
1511,10/5/2022,10/6/2022
3075,10/5/2022,10/6/2022
6480,10/6/2022,10/7/2022
3751,10/6/2022,10/7/2022
5932,10/6/2022,10/7/2022
1032,10/6/2022,10/7/2022
1658,10/6/2022,10/7/2022
1121,10/9/2022,10/10/2022
3631,10/9/2022,10/10/2022
5449,10/9/2022,10/10/2022
912,10/9/2022,10/10/2022
8241,10/9/2022,10/10/2022
8286,10/9/2022,10/10/2022
907,10/9/2022,10/10/2022
563,10/10/2022,10/11/2022
3527,10/10/2022,10/11/2022
4427,10/10/2022,10/11/2022
3777,10/10/2022,10/11/2022
5898,10/10/2022,10/11/2022
3167,10/10/2022,10/11/2022
4761,10/10/2022,10/11/2022
6453,10/10/2022,10/11/2022
5768,10/11/2022,10/12/2022
5912,10/11/2022,10/12/2022
5772,10/11/2022,10/12/2022
745,10/11/2022,10/12/2022
5823,10/11/2022,10/12/2022
1494,10/11/2022,10/12/2022
4683,10/11/2022,10/12/2022
6779,10/11/2022,10/12/2022
8246,10/11/2022,10/12/2022
4558,10/11/2022,10/12/2022
1220,10/11/2022,10/12/2022
5231,10/12/2022,10/13/2022
3207,10/12/2022,10/13/2022
3348,10/12/2022,10/13/2022
1680,10/12/2022,10/13/2022
1029,10/12/2022,10/13/2022
5673,10/12/2022,10/13/2022
490,10/12/2022,10/13/2022
8279,10/12/2022,10/13/2022
5835,10/13/2022,10/14/2022
2054,10/13/2022,10/14/2022
5894,10/13/2022,10/14/2022
5882,10/13/2022,10/14/2022
4161,10/13/2022,10/14/2022
3415,10/13/2022,10/14/2022
937,10/13/2022,10/14/2022
5987,10/13/2022,10/14/2022
791,10/13/2022,10/14/2022
893,10/13/2022,10/14/2022
7676,10/13/2022,10/14/2022
6471,10/13/2022,10/14/2022
4588,10/13/2022,10/14/2022
6467,10/16/2022,10/17/2022
4112,10/16/2022,10/17/2022
3430,10/16/2022,10/17/2022
8270,10/16/2022,10/17/2022
1400,10/16/2022,10/17/2022
2176,10/16/2022,10/17/2022
908,10/17/2022,10/18/2022
3858,10/17/2022,10/18/2022
1536,10/17/2022,10/18/2022
456,10/17/2022,10/18/2022
4195,10/17/2022,10/18/2022
8226,10/17/2022,10/18/2022
3136,10/17/2022,10/18/2022
4203,10/18/2022,10/19/2022
