Site,Quantity,Ship Date,Carrier,Tracking,Delivery Date,
1,5,27-APR-2023,FedEx,397579853725,01-MAY-2023,
2,2,02-MAY-2023,FedEx,397767043003,04-MAY-2023,
7,4,01-MAY-2023,FedEx,397689958300,02-MAY-2023,
13,1,01-MAY-2023,FedEx,397722803782,03-MAY-2023,
14,1,02-MAY-2023,FedEx,397740638953,04-MAY-2023,
15,5,28-APR-2023,FedEx,397608754177,02-MAY-2023,
18,2,01-MAY-2023,FedEx,397727293205,04-MAY-2023,
19,3,28-APR-2023,FedEx,397645305069,03-MAY-2023,
21,5,28-APR-2023,FedEx,397606848182,02-MAY-2023,
26,7,26-APR-2023,FedEx,397509506920,28-APR-2023,
28,3,28-APR-2023,FedEx,397645188450,03-MAY-2023,
29,4,01-MAY-2023,FedEx,397647398941,03-MAY-2023,
31,1,02-MAY-2023,FedEx,397773180679,04-MAY-2023,
35,1,03-MAY-2023,FedEx,397797280050,05-MAY-2023,
37,1,01-MAY-2023,FedEx,397709584243,04-MAY-2023,
38,4,01-MAY-2023,FedEx,397704275260,03-MAY-2023,
43,2,28-APR-2023,FedEx,397642098518,03-MAY-2023,
47,2,01-MAY-2023,FedEx,397646672601,02-MAY-2023,
54,3,02-MAY-2023,FedEx,397790004611,05-MAY-2023,
57,2,01-MAY-2023,FedEx,397737188020,04-MAY-2023,
59,3,28-APR-2023,FedEx,397622334844,02-MAY-2023,
62,3,01-MAY-2023,FedEx,397722770581,04-MAY-2023,
63,1,03-MAY-2023,FedEx,397813433326,04-MAY-2023,
66,1,03-MAY-2023,FedEx,397809563487,04-MAY-2023,
68,1,02-MAY-2023,FedEx,397749512031,04-MAY-2023,
71,1,03-MAY-2023,FedEx,397823279117,05-MAY-2023,
72,2,28-APR-2023,FedEx,397643766117,03-MAY-2023,
75,3,03-MAY-2023,FedEx,397807147395,05-MAY-2023,
83,7,26-APR-2023,FedEx,397528054854,28-APR-2023,
87,1,02-MAY-2023,FedEx,397751825544,03-MAY-2023,
89,2,01-MAY-2023,FedEx,397721639667,04-MAY-2023,
91,5,27-APR-2023,FedEx,397584734038,01-MAY-2023,
95,8,27-APR-2023,FedEx,397557024870,01-MAY-2023,
101,2,01-MAY-2023,FedEx,397692267324,03-MAY-2023,
102,3,02-MAY-2023,FedEx,397792786977,04-MAY-2023,
108,3,28-APR-2023,FedEx,397644794238,02-MAY-2023,
109,1,02-MAY-2023,FedEx,397776377368,04-MAY-2023,
111,6,27-APR-2023,FedEx,397580976620,28-APR-2023,
113,4,01-MAY-2023,FedEx,397697661557,02-MAY-2023,
115,7,26-APR-2023,FedEx,397532303501,28-APR-2023,
124,1,02-MAY-2023,FedEx,397767469541,04-MAY-2023,
125,2,01-MAY-2023,FedEx,397704101494,03-MAY-2023,
129,2,02-MAY-2023,FedEx,397741878250,03-MAY-2023,
132,3,28-APR-2023,FedEx,397644754532,02-MAY-2023,
133,3,02-MAY-2023,FedEx,397762734278,05-MAY-2023,
135,1,03-MAY-2023,FedEx,397805806656,05-MAY-2023,
136,1,01-MAY-2023,FedEx,397692253556,02-MAY-2023,
137,4,28-APR-2023,FedEx,397633007850,01-MAY-2023,
139,2,01-MAY-2023,FedEx,397692964243,02-MAY-2023,
140,4,01-MAY-2023,FedEx,397730659825,03-MAY-2023,
141,5,28-APR-2023,FedEx,397608894622,01-MAY-2023,
145,1,02-MAY-2023,FedEx,397760912254,04-MAY-2023,
147,1,02-MAY-2023,FedEx,397765333751,03-MAY-2023,
151,2,02-MAY-2023,FedEx,397741553008,03-MAY-2023,
154,2,02-MAY-2023,FedEx,397741966248,05-MAY-2023,
155,4,01-MAY-2023,FedEx,397698183668,04-MAY-2023,
157,2,02-MAY-2023,FedEx,397765854087,03-MAY-2023,
