Market,Region,Store,BU,Final Tier,Details
323,42,1,SOUTHEAST BU,Tier 2 - GM Pause,
322,42,2,SOUTHEAST BU,Tier 2 - GM Pause,
21,2,3,SOUTHEAST BU,Tier 2 - GM Pause,
323,42,4,SOUTHEAST BU,Tier 2 - GM Pause,
326,42,5,SOUTHEAST BU,Tier 2 - GM Pause,
326,42,7,SOUTHEAST BU,Tier 2 - GM Pause,
326,42,8,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
335,40,9,NORTH BU,Tier 2 - GM Pause,
347,44,10,SOUTWEST BU,Tier 1 - ISA On in Total Store,
328,42,11,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
347,44,12,SOUTWEST BU,Tier 1 - ISA On in Total Store,
334,42,13,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
357,40,14,NORTH BU,Tier 2 - GM Pause,
333,40,15,NORTH BU,Tier 2 - GM Pause,
321,42,16,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
334,42,17,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
328,42,18,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
335,40,19,NORTH BU,Tier 2 - GM Pause,
357,40,20,NORTH BU,Tier 2 - GM Pause,
336,40,21,NORTH BU,Tier 1 - ISA On in Total Store,
347,44,22,SOUTWEST BU,Tier 2 - GM Pause,
135,42,23,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
326,42,24,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
359,40,25,NORTH BU,Tier 2 - GM Pause,
411,47,26,WEST BU,Tier 2 - GM Pause,
357,40,27,NORTH BU,Tier 2 - GM Pause,
347,44,28,SOUTWEST BU,Tier 1 - ISA On in Total Store,
359,40,29,NORTH BU,Tier 2 - GM Pause,
335,40,30,NORTH BU,Tier 2 - GM Pause,
351,44,31,SOUTWEST BU,Tier 1 - ISA On in Total Store,
333,40,32,NORTH BU,Tier 2 - GM Pause,
325,42,33,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
334,42,34,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
407,47,35,WEST BU,Tier 2 - GM Pause,
329,12,36,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
335,40,37,NORTH BU,Tier 2 - GM Pause,
47,44,38,SOUTWEST BU,Tier 1 - ISA On in Total Store,
410,44,39,SOUTWEST BU,Tier 2 - GM Pause,
359,40,40,NORTH BU,Tier 2 - GM Pause,
345,44,41,SOUTWEST BU,Tier 1 - ISA On in Total Store,
410,44,42,SOUTWEST BU,Tier 2 - GM Pause,
407,47,43,WEST BU,Tier 1 - ISA On in Total Store,
336,40,44,NORTH BU,Tier 1 - ISA On in Total Store,
329,12,45,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
357,40,46,NORTH BU,Tier 2 - GM Pause,
351,44,47,SOUTWEST BU,Tier 2 - GM Pause,
334,42,48,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
47,44,49,SOUTWEST BU,Tier 1 - ISA On in Total Store,
347,44,50,SOUTWEST BU,Tier 1 - ISA On in Total Store,
339,40,51,NORTH BU,Tier 1 - ISA On in Total Store,
325,42,52,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
322,42,54,SOUTHEAST BU,Tier 2 - GM Pause,
321,42,55,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
333,40,56,NORTH BU,Tier 1 - ISA On in Total Store,
328,42,57,SOUTHEAST BU,Tier 2 - GM Pause,
325,42,58,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
334,42,59,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
339,40,60,NORTH BU,Tier 1 - ISA On in Total Store,
361,40,61,NORTH BU,Tier 1 - ISA On in Total Store,
329,12,62,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
347,44,63,SOUTWEST BU,Tier 2 - GM Pause,
146,41,64,NORTH BU,Tier 1 - ISA On in Total Store,
336,40,65,NORTH BU,Tier 2 - GM Pause,
321,42,66,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
