Store # ,Qty,Earliest Received Date,Latest Received Date
864,23,1/10/2023,1/18/2023
821,17,1/10/2023,1/18/2023
490,15,1/10/2023,1/18/2023
576,14,1/10/2023,1/18/2023
573,10,1/17/2023,1/25/2023
2953,41,1/10/2023,1/18/2023
549,37,1/10/2023,1/18/2023
909,32,1/10/2023,1/18/2023
577,30,1/10/2023,1/18/2023
389,29,1/10/2023,1/18/2023
1470,29,1/10/2023,1/18/2023
668,29,1/10/2023,1/18/2023
853,29,1/10/2023,1/18/2023
168,29,1/10/2023,1/18/2023
828,29,1/10/2023,1/18/2023
10,28,1/10/2023,1/18/2023
953,28,1/10/2023,1/18/2023
5261,28,1/10/2023,1/18/2023
850,28,1/10/2023,1/18/2023
2158,27,1/10/2023,1/18/2023
1434,26,1/10/2023,1/18/2023
4599,26,1/10/2023,1/18/2023
822,26,1/10/2023,1/18/2023
161,26,1/10/2023,1/18/2023
772,25,1/10/2023,1/18/2023
868,25,1/10/2023,1/18/2023
611,24,1/10/2023,1/18/2023
2336,24,1/10/2023,1/18/2023
2386,24,1/10/2023,1/18/2023
4683,24,1/10/2023,1/18/2023
648,23,1/10/2023,1/18/2023
5045,23,1/10/2023,1/18/2023
702,23,1/10/2023,1/18/2023
984,22,1/10/2023,1/18/2023
737,22,1/10/2023,1/18/2023
231,22,1/10/2023,1/18/2023
2087,22,1/10/2023,1/18/2023
278,22,1/10/2023,1/18/2023
2174,22,1/10/2023,1/18/2023
2471,22,1/10/2023,1/18/2023
2973,22,1/10/2023,1/18/2023
734,22,1/10/2023,1/18/2023
791,22,1/10/2023,1/18/2023
835,21,1/10/2023,1/18/2023
328,21,1/10/2023,1/18/2023
779,21,1/10/2023,1/18/2023
80,21,1/10/2023,1/18/2023
3491,21,1/10/2023,1/18/2023
1380,21,1/10/2023,1/18/2023
557,21,1/10/2023,1/18/2023
350,21,1/10/2023,1/18/2023
4747,21,1/10/2023,1/18/2023
5049,21,1/10/2023,1/18/2023
1571,21,1/10/2023,1/18/2023
1545,21,1/10/2023,1/18/2023
663,21,1/10/2023,1/18/2023
6887,20,1/10/2023,1/18/2023
1585,20,1/10/2023,1/18/2023
4567,20,1/10/2023,1/18/2023
744,20,1/10/2023,1/18/2023
678,20,1/10/2023,1/18/2023
2729,20,1/10/2023,1/18/2023
433,20,1/10/2023,1/18/2023
761,20,1/10/2023,1/18/2023
3128,20,1/10/2023,1/18/2023
2990,20,1/10/2023,1/18/2023
4435,20,1/10/2023,1/18/2023
477,20,1/10/2023,1/18/2023
1397,20,1/10/2023,1/18/2023
5806,20,1/10/2023,1/18/2023
499,20,1/10/2023,1/18/2023
126,20,1/10/2023,1/18/2023
674,20,1/10/2023,1/18/2023
5935,20,1/10/2023,1/18/2023
556,19,1/10/2023,1/18/2023
322,19,1/10/2023,1/18/2023
905,19,1/10/2023,1/18/2023
848,19,1/10/2023,1/18/2023
2809,19,1/10/2023,1/18/2023
1943,19,1/10/2023,1/18/2023
5458,19,1/10/2023,1/18/2023
767,19,1/10/2023,1/18/2023
655,19,1/10/2023,1/18/2023
3261,19,1/10/2023,1/18/2023
3267,19,1/10/2023,1/18/2023
105,19,1/10/2023,1/18/2023
3513,19,1/10/2023,1/18/2023
3478,19,1/10/2023,1/18/2023
2051,19,1/10/2023,1/18/2023
3561,19,1/10/2023,1/18/2023
894,19,1/10/2023,1/18/2023
826,19,1/10/2023,1/18/2023
1589,19,1/10/2023,1/18/2023
931,19,1/10/2023,1/18/2023
379,19,1/10/2023,1/18/2023
3463,19,1/10/2023,1/18/2023
1602,19,1/10/2023,1/18/2023
3739,19,1/10/2023,1/18/2023
698,19,1/10/2023,1/18/2023
3511,19,1/10/2023,1/18/2023
4063,19,1/10/2023,1/18/2023
1252,19,1/10/2023,1/18/2023
563,19,1/10/2023,1/18/2023
1879,19,1/10/2023,1/18/2023
