Store,New Sat,New Sun,New Mon,New Tue,New Wed,New Thu,New Fri,New Total
183,1,1,0,1,1,0,1,5
211,1,1,1,1,1,1,1,7
226,1,1,1,0,1,1,1,6
413,1,1,1,1,1,1,1,7
606,1,1,1,1,0,1,1,6
621,1,1,1,1,1,1,1,7
874,1,1,1,1,1,1,1,7
875,1,1,1,1,0,1,1,6
903,1,1,1,1,1,1,1,7
1152,1,1,1,1,1,0,1,6
1189,1,0,1,0,1,0,1,4
1236,1,1,1,1,1,1,1,7
1255,1,1,1,1,1,1,1,7
1289,1,1,1,1,1,1,1,7
1333,1,1,1,1,1,1,1,7
1352,1,1,1,1,1,1,1,7
1368,1,1,1,1,1,1,1,7
1372,1,1,1,1,1,1,1,7
1614,1,1,1,1,1,1,1,7
1722,1,1,1,1,1,1,1,7
1751,1,0,1,1,0,1,1,5
1816,0,1,1,0,1,1,1,5
1829,1,1,1,1,0,1,1,6
1906,1,1,1,1,1,1,1,7
1926,1,1,1,1,1,1,1,7
1945,1,1,1,1,1,1,1,7
1953,1,0,1,1,1,1,1,6
1990,1,1,1,0,1,1,0,5
2057,1,1,0,1,1,0,1,5
2228,1,1,1,1,1,1,1,7
2326,1,1,1,1,1,1,1,7
2422,1,1,1,1,1,1,1,7
2571,1,1,1,1,1,1,1,7
2607,1,1,1,1,1,1,1,7
2674,1,1,1,1,0,1,1,6
2765,1,0,1,1,1,1,1,6
2797,1,1,1,0,1,1,1,6
2845,1,1,1,1,1,1,1,7
2911,1,1,1,1,1,1,1,7
2939,1,1,1,1,1,1,1,7
2947,1,1,1,1,1,1,1,7
3234,1,1,1,1,1,1,1,7
3269,0,1,1,0,1,1,1,5
3270,1,1,1,1,1,1,1,7
3329,1,1,1,1,1,1,1,7
3491,1,1,1,1,1,1,1,7
3549,1,1,1,1,1,0,1,6
3853,1,1,0,1,1,1,1,6
4458,1,1,1,1,1,1,1,7
4479,1,1,1,1,1,1,1,7
4484,1,1,1,1,1,1,1,7
4556,1,1,1,0,1,1,1,6
4564,1,1,1,1,1,1,1,7
5346,1,1,1,1,1,1,1,7
5379,1,1,1,1,1,1,1,7
5381,1,1,1,1,0,1,1,6
5448,1,1,1,1,1,1,1,7
5673,1,1,1,1,1,1,0,6
5786,1,1,1,1,1,1,1,7
5787,1,1,1,1,1,0,1,6
5861,1,1,1,1,1,1,1,7
5888,0,1,1,1,0,1,1,5
6469,1,1,1,1,1,1,1,7
7009,1,1,1,1,1,1,1,7
7156,1,1,1,1,1,1,1,7
7188,1,1,0,1,1,0,1,5
