Store List,Excluded Store
395,Yes
457,Yes
490,Yes
528,Yes
580,Yes
582,Yes
595,Yes
613,Yes
666,Yes
697,Yes
705,Yes
721,Yes
767,Yes
768,Yes
769,Yes
778,Yes
782,Yes
800,Yes
811,Yes
814,Yes
859,Yes
860,Yes
890,Yes
928,Yes
929,Yes
931,Yes
944,Yes
959,Yes
960,Yes
967,Yes
974,Yes
988,Yes
990,Yes
994,Yes
1004,Yes
1029,Yes
1032,Yes
1085,Yes
1086,Yes
1087,Yes
1104,Yes
1171,Yes
1182,Yes
1203,Yes
1205,Yes
1213,Yes
1222,Yes
1223,Yes
1245,Yes
1297,Yes
1362,Yes
1375,Yes
1702,Yes
1847,Yes
1874,Yes
2237,Yes
2387,Yes
2459,Yes
2533,Yes
2695,Yes
2763,Yes
3226,Yes
3307,Yes
3308,Yes
3310,Yes
3320,Yes
3347,Yes
3349,Yes
3387,Yes
3390,Yes
3484,Yes
3510,Yes
3518,Yes
3538,Yes
3572,Yes
3585,Yes
3827,Yes
3887,Yes
4262,Yes
4368,Yes
4512,Yes
4538,Yes
5037,Yes
5054,Yes
5165,Yes
5264,Yes
5299,Yes
5300,Yes
5326,Yes
5455,Yes
5713,Yes
5727,Yes
5772,Yes
5808,Yes
5845,Yes
