Store,Receiving feature?
1196,Yes
1198,Yes
1204,Yes
1206,Yes
1216,Yes
1221,Yes
1226,Yes
1232,Yes
1235,Yes
1248,Yes
1249,Yes
1253,Yes
1254,Yes
1257,Yes
1260,Yes
1266,Yes
1271,Yes
1272,Yes
1279,Yes
1295,Yes
1296,Yes
1303,Yes
1313,Yes
1342,Yes
1346,Yes
1347,Yes
1353,Yes
1376,Yes
1405,Yes
1409,Yes
1455,Yes
1458,Yes
1468,Yes
1469,Yes
1494,Yes
1507,Yes
1516,Yes
1530,Yes
1561,Yes
1597,Yes
1606,Yes
1626,Yes
1710,Yes
1800,Yes
1801,Yes
1803,Yes
1837,Yes
1958,Yes
2066,Yes
2086,Yes
2105,Yes
2123,Yes
2132,Yes
2133,Yes
2175,Yes
2239,Yes
2257,Yes
2306,Yes
2322,Yes
2393,Yes
2394,Yes
2395,Yes
2397,Yes
2404,Yes
2427,Yes
2428,Yes
2431,Yes
2433,Yes
2439,Yes
2463,Yes
2488,Yes
2505,Yes
2575,Yes
2587,Yes
2599,Yes
2649,Yes
2665,Yes
2667,Yes
2686,Yes
2688,Yes
2690,Yes
2706,Yes
2715,Yes
2717,Yes
2720,Yes
2723,Yes
2724,Yes
2734,Yes
2741,Yes
2742,Yes
2743,Yes
2744,Yes
2745,Yes
2755,Yes
2757,Yes
2763,Yes
2765,Yes
2769,Yes
2803,Yes
2804,Yes
2822,Yes
2834,Yes
2835,Yes
2846,Yes
2864,Yes
2875,Yes
2876,Yes
2877,Yes
2878,Yes
2880,Yes
2883,Yes
2891,Yes
2893,Yes
2913,Yes
2918,Yes
2919,Yes
2926,Yes
2938,Yes
2939,Yes
2940,Yes
2973,Yes
2974,Yes
2975,Yes
2976,Yes
2977,Yes
2978,Yes
2979,Yes
2980,Yes
2981,Yes
2984,Yes
2988,Yes
2991,Yes
2993,Yes
2995,Yes
2996,Yes
3014,Yes
3015,Yes
3017,Yes
3042,Yes
3043,Yes
3044,Yes
3055,Yes
3056,Yes
3057,Yes
3058,Yes
3059,Yes
3060,Yes
3103,Yes
3106,Yes
3107,Yes
3112,Yes
3135,Yes
3137,Yes
3155,Yes
3164,Yes
3167,Yes
3168,Yes
3169,Yes
3170,Yes
3185,Yes
3198,Yes
3199,Yes
3202,Yes
3204,Yes
3213,Yes
3224,Yes
3225,Yes
3226,Yes
3229,Yes
3230,Yes
3231,Yes
3274,Yes
3275,Yes
3279,Yes
3283,Yes
3284,Yes
3285,Yes
3286,Yes
3287,Yes
3288,Yes
3295,Yes
3296,Yes
3297,Yes
3298,Yes
3302,Yes
3319,Yes
3320,Yes
3327,Yes
3331,Yes
3340,Yes
3341,Yes
3362,Yes
3381,Yes
3390,Yes
3391,Yes
3392,Yes
3406,Yes
3419,Yes
3425,Yes
3430,Yes
3431,Yes
3432,Yes
3433,Yes
3449,Yes
3450,Yes
3452,Yes
3457,Yes
3479,Yes
3482,Yes
3483,Yes
3492,Yes
3495,Yes
3500,Yes
3508,Yes
3509,Yes
3510,Yes
3518,Yes
3521,Yes
3528,Yes
3530,Yes
3542,Yes
3567,Yes
3569,Yes
3572,Yes
3574,Yes
3579,Yes
3584,Yes
3585,Yes
3591,Yes
3593,Yes
3594,Yes
3599,Yes
3615,Yes
3616,Yes
3619,Yes
3623,Yes
3631,Yes
3635,Yes
3637,Yes
3640,Yes
3645,Yes
3653,Yes
3654,Yes
3659,Yes
3660,Yes
3703,Yes
3717,Yes
3723,Yes
3727,Yes
3736,Yes
3743,Yes
3745,Yes
3746,Yes
3752,Yes
3764,Yes
3773,Yes
