Store,Invoice Date,Store Invoice Period,Invoice #,Machine,Total,OOS Billing Category,Area of Machine,Memo
3621,12/19/2021,Feb 2022,542758,8000 - BCR2,$324.00,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
713,12/19/2021,Feb 2022,542760,8000 - BCR2,$377.40,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
2225,12/19/2021,Feb 2022,542794,8000 - BCR2,$429.00,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#non"">NON DEVICE RELATED ISSUES</a>",OTHER,
2134,12/19/2021,Feb 2022,542797,8000 - BCR2,$935.54,IMPROPER HANDLING - SHUTTER,BNR,
1955,12/19/2021,Feb 2022,542803,8000 - BCR2,$530.75,IMPROPER HANDLING - SHUTTER,BNR,
470,12/19/2021,Feb 2022,542804,8000 - BCR2,$468.19,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#vault"">IMPROPER HANDLING - VAULT</a>",OTHER,
5134,12/19/2021,Feb 2022,542816,8000 - BCR2,$421.09,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#non"">NON DEVICE RELATED ISSUES</a>",OTHER,
1304,12/19/2021,Feb 2022,542838,8000 - BCR2,$434.11,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
746,12/19/2021,Feb 2022,542842,8000 - BCR2,$367.81,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
2391,12/19/2021,Feb 2022,542843,7000,$321.00,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#non"">NON DEVICE RELATED ISSUES</a>",OTHER,
5947,12/19/2021,Feb 2022,542844,8000 - BCR2,$379.37,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
4638,12/19/2021,Feb 2022,542845,8000 - BCR2,$315.90,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#declined"">SITE DECLINED TROUBLESHOOTING</a>",OTHER,
1973,12/19/2021,Feb 2022,542846,8000 - BCR2,$433.02,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
3060,12/19/2021,Feb 2022,542847,8000 - BCR2,$920.50,IMPROPER HANDLING - SHUTTER,BNR,
4219,12/19/2021,Feb 2022,542857,8000 - BCR2,$544.27,IMPROPER HANDLING - SHUTTER,BNR,
248,12/19/2021,Feb 2022,542877,8000 - BCR2,$324.75,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#foreign"">FOREIGN OBJECT - OTHER</a>",BCR,
5743,12/19/2021,Feb 2022,542886,8000 - BCR2,$380.46,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
3473,12/19/2021,Feb 2022,542893,8000,$460.59,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#refused"">REFUSED ACCESS TO DEVICE</a>",OTHER,
5033,12/19/2021,Feb 2022,542894,8000 - BCR2,"$1,019.76","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#touch"">IMPROPER HANDLING - TOUCH SCREEN</a>",OTHER,
584,12/19/2021,Feb 2022,542895,8000 - BCR2,$613.79,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
5889,12/19/2021,Feb 2022,542896,8000 - BCR2,"$3,813.09","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,The parts replaced on this case were all damaged and taken from the Left Note Recycler.
63,12/19/2021,Feb 2022,542897,8000 - BCR2,$368.71,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#non"">NON DEVICE RELATED ISSUES</a>",OTHER,
4681,12/19/2021,Feb 2022,542898,8000 - BCR2,$358.62,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#vault"">IMPROPER HANDLING - VAULT</a>",OTHER,
1982,12/19/2021,Feb 2022,542899,8000 - BCR2,$968.17,IMPROPER HANDLING - SHUTTER,BNR,
7320,12/19/2021,Feb 2022,542900,7000,"$1,365.48","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
4340,12/19/2021,Feb 2022,542901,DUAL - 7000 - BCR2,"$3,876.34","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,All parts replaced on this call were found to be physically damaged during last cleaning.
278,12/19/2021,Feb 2022,542904,8000 - BCR2,$471.76,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
3645,12/19/2021,Feb 2022,542907,8000,$451.30,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
3008,12/19/2021,Feb 2022,542908,8000 - BCR2,$557.22,IMPROPER HANDLING - SHUTTER,BNR,
3825,12/19/2021,Feb 2022,542909,8000 - BCR2,"$2,776.55","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#coin"">IMPROPER HANDLING - COIN SORTER</a>",BCR,Coin sorter physically damaged.
7251,12/19/2021,Feb 2022,542910,7000 - BCR2,$549.79,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#coin"">IMPROPER HANDLING - COIN SORTER</a>",BCR,
3824,12/19/2021,Feb 2022,542913,8000 - BCR2,$692.95,IMPROPER HANDLING - SHUTTER,BNR,
5661,12/19/2021,Feb 2022,542914,7000,$530.83,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#gas"">IMPROPER HANDLING - GAS SPRING</a>",OTHER,
468,12/19/2021,Feb 2022,542915,8000 - BCR2,"$2,867.57","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#coin"">IMPROPER HANDLING - COIN SORTER</a>",BCR,
2475,12/19/2021,Feb 2022,542916,8000 - BCR2,$324.29,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#vault"">IMPROPER HANDLING - VAULT</a>",OTHER,
660,12/19/2021,Feb 2022,542917,8000,"$2,930.75","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#gas"">IMPROPER HANDLING - GAS SPRING</a>",OTHER,The parts replaced on this case were replaced due to physical damage.
4503,12/19/2021,Feb 2022,542918,8000 - BCR2,$432.74,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
599,12/19/2021,Feb 2022,542920,8000 - BCR2,$465.37,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
1458,12/19/2021,Feb 2022,542921,8000 - BCR2,$321.00,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#non"">NON DEVICE RELATED ISSUES</a>",OTHER,
1945,12/19/2021,Feb 2022,542924,8000 - BCR2,$321.26,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#vault"">IMPROPER HANDLING - VAULT</a>",OTHER,
1601,12/19/2021,Feb 2022,542925,8000,$328.53,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",OTHER,
6395,12/19/2021,Feb 2022,542926,8000 - BCR2,$377.40,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
1898,12/19/2021,Feb 2022,542927,DUAL - 7000 - BCR2,$318.75,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#declined"">SITE DECLINED TROUBLESHOOTING</a>",OTHER,
2886,12/19/2021,Feb 2022,542928,8000 - BCR2,$334.14,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#vault"">IMPROPER HANDLING - VAULT</a>",OTHER,
1731,12/19/2021,Feb 2022,542929,8000 - BCR2,$330.07,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",OTHER,
5129,12/22/2021,Feb 2022,538732,8000 - BCR2,$574.42,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
5129,12/22/2021,Feb 2022,539198,8000 - BCR2,"$1,068.48","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
5296,12/22/2021,Feb 2022,540958,8000 - BCR2,$512.74,IMPROPER HANDLING - SHUTTER,BNR,
3163,12/22/2021,Feb 2022,541195,8000,$533.28,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
2078,12/22/2021,Feb 2022,541516,8000 - BCR2,$52.89,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
3527,12/20/2021,Feb 2022,542932,Quantum 4 AV,$454.75,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#declined"">SITE DECLINED TROUBLESHOOTING</a>",OTHER,
