ZIP       ,DEALER ID,SITE NAME,LOCNO,BW,ADDRESS,CITY,STATE,MOBILE PAY STATUS
06405,9671736,CHUCKY'S BRANFORD,310082,ALDIN ASSOCIATES LTD ,364 E MAIN ST            ,BRANFORD,CT,Participating – Online
06351,9765538,CHUCKY'S JEWETT CITY,310643,ALDIN ASSOCIATES LTD ,7 MAIN STREET            ,JEWETT CITY,CT,Participating – Online
06354,9765561,CHUCKY'S MOOSUP,310644,ALDIN ASSOCIATES LTD ,219 MAIN STREET          ,MOOSUP,CT,Participating – Online
06241,9916438,DAYVILLE MOBIL,311205,ALDIN ASSOCIATES LTD ,599 HARTFORD PIKE        ,DAYVILLE,CT,Participating – Online
06762,9921701,DEZ INC,311276,ALDIN ASSOCIATES LTD ,750 STRAIGHTS TURNPIKE   ,MIDDLEBURY,CT,Participating – Online
06478,9661208,DOUBLE R MOBIL,311376,ALDIN ASSOCIATES LTD ,1 OXFORD RD              ,OXFORD,CT,Participating – Online
06360,9915299,E GREAT PLAINS,311454,ALDIN ASSOCIATES LTD ,489 NEW LONDON TPKE      ,NORWICH,CT,Participating – Online
06437,9915315,GUILFORD MOBIL,312501,ALDIN ASSOCIATES LTD ,500 BOSTON POST RD       ,GUILFORD,CT,Participating – Online
06351,9915398,LISBON MOBIL,313707,ALDIN ASSOCIATES LTD ,107 RIVER RD             ,LISBON,CT,Participating – Online
06382,9916479,MIDWAY MOBIL,314191,ALDIN ASSOCIATES LTD ,568 NORWICH-NEW LONDON   ,UNCASVILLE,CT,Participating – Online
06360,9915984,NORWICHTOWN MOBIL,314623,ALDIN ASSOCIATES LTD ,162 W TOWN ST            ,NORWICH,CT,Participating – Online
15206,4720801,AMERICAN NATURAL #2,310286,BEATRICE HOLDINGS LP ,7338 BUTLER STREET       ,PITTSBURGH,PA,Participating – Online
15022,4765194,AMERICAN NATURAL #7,310294,BEATRICE HOLDINGS LP ,1001 MAPLE DRIVE         ,CHARLEROI,PA,Participating – Online
16037,4546271,AMERICAN NATURAL #11,310296,BEATRICE HOLDINGS LP ,2576 EVANS CITY ROAD     ,HARMONY,PA,Participating – Temporarily Offline (< 15 days)
15132,4546289,AMERICAN NATURAL #5,310298,BEATRICE HOLDINGS LP ,3800 WALNUT STREET       ,MCKEESPORT,PA,Participating – Online
15120,4209490,AMERICAN NATURAL # 12,310302,BEATRICE HOLDINGS LP ,103 E. 22ND AVENUE       ,MUNHALL,PA,Participating – Temporarily Offline (< 15 days)
16063,4212072,SHREE SHIVSHAKI INC,317349,BEATRICE HOLDINGS LP ,517 S. MAIN STREET       ,ZELIENOPLE,PA,Participating – Online
15135,4813895,AMERICAN NATURAL #9,321334,BEATRICE HOLDINGS LP ,5738 SMITHFIELD STREET   ,MCKEESPORT,PA,Participating – Online
15656,4813903,AMERICAN NATURAL #13,321335,BEATRICE HOLDINGS LP ,315 HYDE PARK ROAD       ,LEECHBURG,PA,Participating – Online
75951,4594958,ANGELINA GROCERY,309590,BILL L DOVER CO INC  ,12183 HWY 63             ,JASPER,TX,Participating – Online
75936,4597654,CHESTER JIFFY MART,310601,BILL L DOVER CO INC  ,13857 MAIN ST            ,CHESTER,TX,Participating – Online
75938,4592028,COLMESNEIL JIFFY MARKET,310914,BILL L DOVER CO INC  ,102 N WHEELER RD         ,COLMESNEIL,TX,Participating – Online
75979,4595682,DAM B JIFFY MARKET,311164,BILL L DOVER CO INC  ,12234 HWY 190 E          ,WOODVILLE,TX,Participating – Online
75951,4561437,CROSSROADS JIFFY,313059,BILL L DOVER CO INC  ,1056 S WHEELER ST        ,JASPER,TX,Participating – Online
75951,4591988,JASPER JIFFY MARKET,313060,BILL L DOVER CO INC  ,2209 HWY 63 W            ,JASPER,TX,Participating – Online
75966,4568564,NEWTON JIFFY MARKET,314550,BILL L DOVER CO INC  ,200 N HWY 87             ,NEWTON,TX,Participating – Online
77656,4690491,SILSBEE EXXON,315966,BILL L DOVER CO INC  ,465 HWY 96 S             ,SILSBEE,TX,Participating – Online
