Region,Market,Store #,Cat #,Cat Desc,Current Footage,New Footage,Footage Change,Comments
2,19,3201,233,Tablets,,,4 feet,Moved tablets to the table
2,19,3401,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,19,3401,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,19,3401,233,Tablets,,,4 feet,Moved tablets to the table
2,19,3401,267,Tonies,,,4 feet,Repurposed tablet – footage
2,19,3401,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
2,19,3402,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,19,3609,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
2,19,3609,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
2,19,3709,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,19,3709,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,19,3709,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,19,5709,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,19,6998,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,20,1184,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,20,1184,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,20,1184,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,20,1340,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,20,1340,217,Refurbished Hardware,,,4 feet,Repurposed tablet – fixtures/footage
2,20,1340,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,20,1340,233,Tablets,,,4 feet,Moved tablets to the table
2,20,2475,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,20,2475,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,20,2475,233,Tablets,,,8 feet,Moved tablets to the table
2,20,2475,267,Tonies,,,8 feet,Repurposed tablet – footage
2,20,2475,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
2,20,2584,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,20,3067,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,20,3118,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
2,20,3118,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
2,20,3188,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
2,20,3188,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
2,20,3710,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,20,4472,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,20,4472,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,21,510,100,Laptops,24 feet,48,24 feet,Increasing laptop footage
2,21,1111,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,21,1121,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
