Region,Market,Store #,Cat #,Cat Desc,Current Footage,New Footage,Footage Change,Comments
3,28,862,233,Tablets,,,4 feet,Moved tablets to the table
3,28,864,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
3,28,864,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
3,28,864,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
3,28,864,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
3,28,864,233,Tablets,,,4 feet,Moved tablets to the table
3,28,1018,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
3,28,1018,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
3,28,2630,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
3,89,110,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
3,89,110,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
3,89,110,221,Chromebook,16 feet,4 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
