Store,Cutover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/2021
4057,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4128,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4189,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4210,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4375,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4376,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4421,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4470,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4478,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4504,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4516,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4517,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4519,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4530,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4579,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4580,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4619,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4648,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4654,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4657,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4673,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4686,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4691,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4756,2/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
