store_number,market_number,city_name,street_address_line_1,Feature?
1040,65,HOUSTON,15955 FM 529 RD,Congratulations - your store is getting Hot Girl Summer Swim!
1041,569,WESLACO,1310 N TEXAS BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1043,350,PAULS VALLEY,2008 W GRANT AVE,Congratulations - your store is getting Hot Girl Summer Swim!
1077,97,TALLAHASSEE,3535 APALACHEE PKWY,Congratulations - your store is getting Hot Girl Summer Swim!
1081,93,GAINESVILLE,2900 SW 42ND ST,Congratulations - your store is getting Hot Girl Summer Swim!
1082,98,JACKSONVILLE,10991 SAN JOSE BLVD STE 1,Congratulations - your store is getting Hot Girl Summer Swim!
1083,101,JACKSONVILLE,6830 NORMANDY BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1084,91,ORLANDO,3838 S SEMORAN BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1088,143,BILOXI,2681 CT SWITZER SR DR,Congratulations - your store is getting Hot Girl Summer Swim!
1090,101,JACKSONVILLE,6767 103RD ST,Congratulations - your store is getting Hot Girl Summer Swim!
1098,84,PORT LAVACA,400 TINEY BROWNING BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1103,59,HOUSTON,3450 FM 1960 RD W,Congratulations - your store is getting Hot Girl Summer Swim!
1112,16,THOMASTON,855 N CHURCH ST,Congratulations - your store is getting Hot Girl Summer Swim!
1119,105,NAPLES,3451 TAMIAMI TRL E,Congratulations - your store is getting Hot Girl Summer Swim!
1129,82,AUSTIN,13201 RANCH ROAD 620 N,Congratulations - your store is getting Hot Girl Summer Swim!
1131,304,TAYLORSVILLE,901 NC HIGHWAY 16 S,Congratulations - your store is getting Hot Girl Summer Swim!
1137,60,HOUSTON,13750 EAST FWY,Congratulations - your store is getting Hot Girl Summer Swim!
1142,243,SCOTTSBURG,1618 W MCCLAIN AVE,Congratulations - your store is getting Hot Girl Summer Swim!
1155,310,LUMBERTON,5070 FAYETTEVILLE RD,Congratulations - your store is getting Hot Girl Summer Swim!
1163,125,NEW ORLEANS,4001 BEHRMAN PL,Congratulations - your store is getting Hot Girl Summer Swim!
1164,41,COLUMBIA,360 HARBISON BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1172,98,JACKSONVILLE,13490 BEACH BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1173,98,JACKSONVILLE,8808 BEACH BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1185,83,AUSTIN,1030 NORWOOD PARK BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1198,506,SAN ANTONIO,1515 N LOOP 1604 E,Congratulations - your store is getting Hot Girl Summer Swim!
1201,3,GARDENDALE,890 ODUM RD,Congratulations - your store is getting Hot Girl Summer Swim!
1206,130,BATON ROUGE,3132 COLLEGE DR,Congratulations - your store is getting Hot Girl Summer Swim!
1212,1,SARALAND,1095 INDUSTRIAL PKWY,Congratulations - your store is getting Hot Girl Summer Swim!
1219,101,JACKSONVILLE,12100 LEM TURNER RD,Congratulations - your store is getting Hot Girl Summer Swim!
1220,90,ORLANDO,2500 S KIRKMAN RD,Congratulations - your store is getting Hot Girl Summer Swim!
1222,14,PENSACOLA,8970 PENSACOLA BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1223,97,TALLAHASSEE,5500 THOMASVILLE RD,Congratulations - your store is getting Hot Girl Summer Swim!
1224,14,PENSACOLA,2650 CREIGHTON RD,Congratulations - your store is getting Hot Girl Summer Swim!
1228,269,ROUND LAKE BEACH,2680 N IL ROUTE 83,Congratulations - your store is getting Hot Girl Summer Swim!
1238,310,FAYETTEVILLE,1550 SKIBO RD,Congratulations - your store is getting Hot Girl Summer Swim!
1253,82,AUSTIN,710 E BEN WHITE BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1256,266,JOLIET,2424 W JEFFERSON ST,Congratulations - your store is getting Hot Girl Summer Swim!
1261,310,FAYETTEVILLE,4601 RAMSEY ST,Congratulations - your store is getting Hot Girl Summer Swim!
1266,130,BATON ROUGE,2171 ONEAL LN,Congratulations - your store is getting Hot Girl Summer Swim!
1279,59,HOUSTON,10411 N FREEWAY 45,Congratulations - your store is getting Hot Girl Summer Swim!
1289,221,WILMINGTON,2825 PROGRESS WAY,Congratulations - your store is getting Hot Girl Summer Swim!
1292,312,CHRISTIANSBURG,2400 N FRANKLIN ST,Congratulations - your store is getting Hot Girl Summer Swim!
1313,77,SAN ANTONIO,1200 SE MILITARY DR,Congratulations - your store is getting Hot Girl Summer Swim!
1314,24,BUFORD,3795 BUFORD DR,Congratulations - your store is getting Hot Girl Summer Swim!
1317,294,ASHEVILLE,125 BLEACHERY BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1318,122,KNOXVILLE,6777 CLINTON HWY,Congratulations - your store is getting Hot Girl Summer Swim!
1322,308,LEXINGTON,160 LOWES BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1324,366,NOGALES,100 W WHITE PARK DR,Congratulations - your store is getting Hot Girl Summer Swim!
1340,25,LITHONIA,5401 FAIRINGTON RD,Congratulations - your store is getting Hot Girl Summer Swim!
1347,87,SAN ANTONIO,1430 AUSTIN HWY,Congratulations - your store is getting Hot Girl Summer Swim!
1348,300,WILMINGTON,5135 CAROLINA BEACH RD,Congratulations - your store is getting Hot Girl Summer Swim!
1349,109,SUNRISE,3306 N UNIVERSITY DR,Congratulations - your store is getting Hot Girl Summer Swim!
1352,300,WALLACE,5625 S NC 41 HWY,Congratulations - your store is getting Hot Girl Summer Swim!
1353,128,HARAHAN,5110 JEFFERSON HWY,Congratulations - your store is getting Hot Girl Summer Swim!
1387,108,CORAL SPRINGS,3801 TURTLE CREEK DR,Congratulations - your store is getting Hot Girl Summer Swim!
1391,94,DAYTONA BEACH,1101 BEVILLE RD,Congratulations - your store is getting Hot Girl Summer Swim!
1405,61,BAY CITY,4600 7TH ST,Congratulations - your store is getting Hot Girl Summer Swim!
1409,65,HOUSTON,10750 WESTVIEW DR,Congratulations - your store is getting Hot Girl Summer Swim!
1419,248,FORT WAYNE,5311 COLDWATER RD,Congratulations - your store is getting Hot Girl Summer Swim!
1424,290,COLONIAL HEIGHTS,671 SOUTHPARK BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1444,98,JACKSONVILLE,9890 HUTCHINSON PARK DR,Congratulations - your store is getting Hot Girl Summer Swim!
1459,249,INDIANAPOLIS,7245 US 31 S,Congratulations - your store is getting Hot Girl Summer Swim!
1464,305,CHARLOTTE,8180 S TRYON ST,Congratulations - your store is getting Hot Girl Summer Swim!
1474,365,YUMA,2900 S PACIFIC AVE,Congratulations - your store is getting Hot Girl Summer Swim!
1476,243,CLARKSVILLE,1351 VETERANS PKWY,Congratulations - your store is getting Hot Girl Summer Swim!
1482,112,TAMPA,7011 W WATERS AVE,Congratulations - your store is getting Hot Girl Summer Swim!
1490,263,ROCKFORD,7219 WALTON ST,Congratulations - your store is getting Hot Girl Summer Swim!
1494,78,CORPUS CHRISTI,4109 S STAPLES ST,Congratulations - your store is getting Hot Girl Summer Swim!
1501,112,TAMPA,14941 N DALE MABRY HWY,Congratulations - your store is getting Hot Girl Summer Swim!
1511,553,MIRAMAR,1800 SOUTH UNIVERSITY DRIVE,Congratulations - your store is getting Hot Girl Summer Swim!
1528,415,CEDAR RAPIDS,2645 BLAIRS FERRY RD NE,Congratulations - your store is getting Hot Girl Summer Swim!
1529,233,YORK,2801 E MARKET ST BLDG B,Congratulations - your store is getting Hot Girl Summer Swim!
1532,369,GLENDALE,5845 W BELL RD,Congratulations - your store is getting Hot Girl Summer Swim!
1533,369,PEORIA,7975 W PEORIA AVE,Congratulations - your store is getting Hot Girl Summer Swim!
1549,368,PHOENIX,2020 N 75TH AVE,Congratulations - your store is getting Hot Girl Summer Swim!
1558,298,EDEN,304 E ARBOR LN,Congratulations - your store is getting Hot Girl Summer Swim!
1560,396,LAS VEGAS,6005 S EASTERN AVE,Congratulations - your store is getting Hot Girl Summer Swim!
1570,248,AUBURN,505 TOURING DR,Congratulations - your store is getting Hot Girl Summer Swim!
1584,396,LAS VEGAS,3615 S RAINBOW BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1590,553,HIALEAH,5851 NW 177TH ST,Congratulations - your store is getting Hot Girl Summer Swim!
1605,14,PENSACOLA,4600 MOBILE HWY STE 122,Congratulations - your store is getting Hot Girl Summer Swim!
1612,366,TUCSON,1650 W VALENCIA RD,Congratulations - your store is getting Hot Girl Summer Swim!
1648,455,CARSON CITY,3770 US HIGHWAY 395 S,Congratulations - your store is getting Hot Girl Summer Swim!
1652,312,DUBLIN,5225 ALEXANDER RD,Congratulations - your store is getting Hot Girl Summer Swim!
1680,110,KENDALL,15885 SW 88TH ST,Congratulations - your store is getting Hot Girl Summer Swim!
1686,403,TAYLORSVILLE,5469 S REDWOOD RD,Congratulations - your store is getting Hot Girl Summer Swim!
1692,445,COLTON,1120 S MOUNT VERNON AVE,Congratulations - your store is getting Hot Girl Summer Swim!
1698,183,HOOKSETT,3 COMMERCE DR,Congratulations - your store is getting Hot Girl Summer Swim!
1702,92,MELBOURNE,1000 N WICKHAM RD,Congratulations - your store is getting Hot Girl Summer Swim!
1711,2,BIRMINGHAM,1600 MONTCLAIR RD,Congratulations - your store is getting Hot Girl Summer Swim!
1734,273,CHAMPAIGN,2610 N PROSPECT AVE,Congratulations - your store is getting Hot Girl Summer Swim!
1759,288,GLOUCESTER,6819 WALTON LN,Congratulations - your store is getting Hot Girl Summer Swim!
1772,468,KLAMATH FALLS,3600 WASHBURN WAY,Congratulations - your store is getting Hot Girl Summer Swim!
1774,310,SANFORD,3310 NC HIGHWAY 87 S,Congratulations - your store is getting Hot Girl Summer Swim!
1780,315,CHARLOTTESVILLE,975 HILTON HEIGHTS RD,Congratulations - your store is getting Hot Girl Summer Swim!
1791,200,FREMONT,7083 W 48TH ST,Congratulations - your store is getting Hot Girl Summer Swim!
1805,463,LA QUINTA,79295 US HWY 111,Congratulations - your store is getting Hot Girl Summer Swim!
1811,289,NORFOLK,1170 N MILITARY HWY,Congratulations - your store is getting Hot Girl Summer Swim!
1833,291,FREDERICKSBURG,1800 CARL D SILVER PKWY,Congratulations - your store is getting Hot Girl Summer Swim!
1837,59,HUMBLE,9451 FM 1960 BYPASS,Congratulations - your store is getting Hot Girl Summer Swim!
1838,394,LAS VEGAS,3041 N RAINBOW BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1841,289,CHESAPEAKE,1521 SAMS CIR,Congratulations - your store is getting Hot Girl Summer Swim!
1847,93,OCALA,4980 E SILVER SPRINGS BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1851,109,NORTH LAUDERDALE,7900 W MCNAB RD,Congratulations - your store is getting Hot Girl Summer Swim!
1859,463,CALEXICO,2540 ROCKWOOD AVE,Congratulations - your store is getting Hot Girl Summer Swim!
1889,475,ISLAND CITY,11619 ISLAND AVE,Congratulations - your store is getting Hot Girl Summer Swim!
1915,463,YUCCA VALLEY,58501 29 PALMS HWY,Congratulations - your store is getting Hot Girl Summer Swim!
1916,108,COCONUT CREEK,5571 W HILLSBORO BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
1917,459,SANTEE,170 TOWN CENTER PARKWAY,Congratulations - your store is getting Hot Girl Summer Swim!
1928,205,FLINT,4313 CORUNNA RD,Congratulations - your store is getting Hot Girl Summer Swim!
1946,187,MASSENA,43 STEPHENVILLE ST,Congratulations - your store is getting Hot Girl Summer Swim!
1960,112,TAMPA,1505 N DALE MABRY HWY,Congratulations - your store is getting Hot Girl Summer Swim!
1971,425,ROCHESTER,3400 55TH ST NW,Congratulations - your store is getting Hot Girl Summer Swim!
2031,511,UNION CITY,30600 DYER ST,Congratulations - your store is getting Hot Girl Summer Swim!
2032,446,OXNARD,2001 N ROSE AVE,Congratulations - your store is getting Hot Girl Summer Swim!
2045,281,NOTTINGHAM,8118 PERRY HILLS CT,Congratulations - your store is getting Hot Girl Summer Swim!
2050,396,HENDERSON,300 E LAKE MEAD PKWY,Congratulations - your store is getting Hot Girl Summer Swim!
2058,297,RALEIGH,1725 NEW HOPE CHURCH RD,Congratulations - your store is getting Hot Girl Summer Swim!
2066,64,HOUSTON,2727 DUNVALE RD,Congratulations - your store is getting Hot Girl Summer Swim!
2068,170,LEVITTOWN,180 LEVITTOWN CTR,Congratulations - your store is getting Hot Girl Summer Swim!
2091,110,DORAL,8651 NW 13TH TER,Congratulations - your store is getting Hot Girl Summer Swim!
2098,219,COLUMBUS,3900 MORSE RD,Congratulations - your store is getting Hot Girl Summer Swim!
2104,164,NEWBURGH,1201 ROUTE 300,Congratulations - your store is getting Hot Girl Summer Swim!
2113,370,PHOENIX,1607 W BETHANY HOME RD,Congratulations - your store is getting Hot Girl Summer Swim!
2114,7,CHIPLEY,1621 MAIN ST,Congratulations - your store is getting Hot Girl Summer Swim!
2132,131,BATON ROUGE,10606 N MALL DR,Congratulations - your store is getting Hot Girl Summer Swim!
2133,82,AUSTIN,5017 W HIGHWAY 290,Congratulations - your store is getting Hot Girl Summer Swim!
2134,306,CHARLOTTE,7735 N TRYON ST,Congratulations - your store is getting Hot Girl Summer Swim!
2150,458,SAN DIEGO,710 DENNERY ROAD,Congratulations - your store is getting Hot Girl Summer Swim!
2151,109,SUNRISE,12555 W SUNRISE BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
2154,24,DULUTH,2635 PLEASANT HILL RD,Congratulations - your store is getting Hot Girl Summer Swim!
2158,156,NORTHBOROUGH,200 OTIS ST,Congratulations - your store is getting Hot Girl Summer Swim!
2176,107,JUPITER,2144 W INDIANTOWN RD,Congratulations - your store is getting Hot Girl Summer Swim!
2189,392,RENO,4855 KIETZKE LN,Congratulations - your store is getting Hot Girl Summer Swim!
2206,466,LAGUNA NIGUEL,27470 ALICIA PKWY,Congratulations - your store is getting Hot Girl Summer Swim!
2214,41,COLUMBIA,5420 FOREST DR,Congratulations - your store is getting Hot Girl Summer Swim!
2223,585,WESTMINSTER,9499 SHERIDAN BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
2239,86,SAN ANTONIO,8923 W MILITARY DR,Congratulations - your store is getting Hot Girl Summer Swim!
2243,478,REDMOND,300 NW OAKTREE LN,Congratulations - your store is getting Hot Girl Summer Swim!
2245,460,OCEANSIDE,705 COLLEGE BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
2248,293,CATONSVILLE,6205 BALTIMORE NATIONAL PIKE,Congratulations - your store is getting Hot Girl Summer Swim!
2255,232,HAZLE TOWNSHIP,761 AIRPORT RD,Congratulations - your store is getting Hot Girl Summer Swim!
2257,67,HOUSTON,13484 NORTHWEST FWY,Congratulations - your store is getting Hot Girl Summer Swim!
2295,287,RICHMOND,7901 BROOK RD,Congratulations - your store is getting Hot Girl Summer Swim!
2333,445,APPLE VALLEY,20251 HWY 18,Congratulations - your store is getting Hot Girl Summer Swim!
2334,233,LANCASTER,2034 LINCOLN HWY E,Congratulations - your store is getting Hot Girl Summer Swim!
2339,246,WEST LAFAYETTE,2801 NORTHWESTERN AVE,Congratulations - your store is getting Hot Girl Summer Swim!
2354,205,ROCHESTER HILLS,2500 S ADAMS RD,Congratulations - your store is getting Hot Girl Summer Swim!
2361,215,NORTH CANTON,4572 MEGA ST NW,Congratulations - your store is getting Hot Girl Summer Swim!
2368,174,EAST STROUDSBURG,355 LINCOLN AVE,Congratulations - your store is getting Hot Girl Summer Swim!
2404,87,SAN ANTONIO,8500 JONES MALTSBERGER RD,Congratulations - your store is getting Hot Girl Summer Swim!
2439,60,BAYTOWN,8700 N HIGHWAY 146,Congratulations - your store is getting Hot Girl Summer Swim!
2450,471,BELLINGHAM,4420 MERIDIAN ST,Congratulations - your store is getting Hot Girl Summer Swim!
2463,56,FRISCO,355 STONEBROOK PKWY,Congratulations - your store is getting Hot Girl Summer Swim!
2479,459,SAN DIEGO,3412 COLLEGE AVE,Congratulations - your store is getting Hot Girl Summer Swim!
2494,460,OCEANSIDE,2100 VISTA WAY,Congratulations - your store is getting Hot Girl Summer Swim!
2515,370,PHOENIX,3721 E THOMAS RD,Congratulations - your store is getting Hot Girl Summer Swim!
2517,466,SANTA ANA,3600 W MCFADDEN AVE,Congratulations - your store is getting Hot Girl Summer Swim!
2531,164,MOHEGAN LAKE,3133 E MAIN ST,Congratulations - your store is getting Hot Girl Summer Swim!
2534,7,DOTHAN,3300 S OATES ST,Congratulations - your store is getting Hot Girl Summer Swim!
2538,478,EUGENE,1040 GREEN ACRES RD,Congratulations - your store is getting Hot Girl Summer Swim!
2546,464,ORANGE,2300 N TUSTIN ST,Congratulations - your store is getting Hot Girl Summer Swim!
2553,457,WINDSOR,6650 HEMBREE LN,Congratulations - your store is getting Hot Girl Summer Swim!
2575,326,CONWAY,3900 DAVE WARD DR,Congratulations - your store is getting Hot Girl Summer Swim!
2591,109,PEMBROKE PINES,151 SW 184TH AVE,Congratulations - your store is getting Hot Girl Summer Swim!
2592,394,NORTH LAS VEGAS,1807 W CRAIG RD,Congratulations - your store is getting Hot Girl Summer Swim!
2593,396,LAS VEGAS,2310 E SERENE AVE,Congratulations - your store is getting Hot Girl Summer Swim!
2599,86,SAN ANTONIO,5555 DE ZAVALA RD,Congratulations - your store is getting Hot Girl Summer Swim!
2609,465,LAKEWOOD,2770 CARSON ST,Congratulations - your store is getting Hot Girl Summer Swim!
2618,203,COMMERCE,3301 N PONTIAC TRL,Congratulations - your store is getting Hot Girl Summer Swim!
2621,446,SIMI VALLEY,255 COCHRAN ST,Congratulations - your store is getting Hot Girl Summer Swim!
2627,112,TAMPA,2701 E FLETCHER AVE,Congratulations - your store is getting Hot Girl Summer Swim!
2629,156,WHITINSVILLE,100 VALLEY PKWY,Congratulations - your store is getting Hot Girl Summer Swim!
2638,259,ASHLAND,12504 U.S. ROUTE 60,Congratulations - your store is getting Hot Girl Summer Swim!
2649,50,IRVING,1635 MARKET PLACE BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
2662,317,COVINGTON,313 THACKER AVE,Congratulations - your store is getting Hot Girl Summer Swim!
2706,125,HARVEY,1501 MANHATTAN BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
2712,37,MYRTLE BEACH,541 SEABOARD ST,Congratulations - your store is getting Hot Girl Summer Swim!
2716,415,CEDAR RAPIDS,3601 29TH AVE SW,Congratulations - your store is getting Hot Girl Summer Swim!
2718,64,HOUSTON,9555 S POST OAK RD,Congratulations - your store is getting Hot Girl Summer Swim!
