store_number,market_number,city_name,street_address_line_1,Feature?
16,321,VAN BUREN,2214 FAYETTEVILLE RD,Congratulations - your store is getting Hot Girl Summer Swim!
20,361,CLINTON,1712 E OHIO ST,Congratulations - your store is getting Hot Girl Summer Swim!
75,134,PINEVILLE,3636 MONROE HWY,Congratulations - your store is getting Hot Girl Summer Swim!
79,334,JOPLIN,2623 W 7TH ST,Congratulations - your store is getting Hot Girl Summer Swim!
214,503,JASPER,800 W GIBSON ST,Congratulations - your store is getting Hot Girl Summer Swim!
226,47,ATLANTA,201 LOOP 59,Congratulations - your store is getting Hot Girl Summer Swim!
227,344,EL RENO,2400 S COUNTRY CLUB RD,Congratulations - your store is getting Hot Girl Summer Swim!
238,147,PULASKI,1655 W COLLEGE ST,Congratulations - your store is getting Hot Girl Summer Swim!
300,3,JACKSONVILLE,1625 PELHAM RD S,Congratulations - your store is getting Hot Girl Summer Swim!
360,352,CUSHING,3100 E MAIN ST,Congratulations - your store is getting Hot Girl Summer Swim!
383,66,SILSBEE,1100 US HIGHWAY 96 N,Congratulations - your store is getting Hot Girl Summer Swim!
384,66,LUMBERTON,100 NO. LHS DRIVE,Congratulations - your store is getting Hot Girl Summer Swim!
389,352,EDMOND,1225 W I-35 FRONTAGE,Congratulations - your store is getting Hot Girl Summer Swim!
397,80,MCALLEN,1200 E JACKSON AVE,Congratulations - your store is getting Hot Girl Summer Swim!
405,134,LEESVILLE,2204 S 5TH ST,Congratulations - your store is getting Hot Girl Summer Swim!
420,349,WICHITA FALLS,2700 CENTRAL FWY,Congratulations - your store is getting Hot Girl Summer Swim!
429,80,EDINBURG,1724 W UNIVERSITY DR,Congratulations - your store is getting Hot Girl Summer Swim!
431,253,PADUCAH,3220 IRVIN COBB DR,Congratulations - your store is getting Hot Girl Summer Swim!
456,569,BROWNSVILLE,3500 W ALTON GLOOR BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
461,88,EAGLE PASS,496 S BIBB AVE,Congratulations - your store is getting Hot Girl Summer Swim!
462,61,ALVIN,400 HIGHWAY 35 BYP N,Congratulations - your store is getting Hot Girl Summer Swim!
464,78,CORPUS CHRISTI,3829 US HIGHWAY 77,Congratulations - your store is getting Hot Girl Summer Swim!
465,77,FLORESVILLE,305 10TH STREET,Congratulations - your store is getting Hot Girl Summer Swim!
470,78,CORPUS CHRISTI,1821 S PADRE ISLAND DR,Congratulations - your store is getting Hot Girl Summer Swim!
471,49,LANCASTER,150 N INTERSTATE 35 E,Congratulations - your store is getting Hot Girl Summer Swim!
475,83,ROUND ROCK,2701 S INTERSTATE 35,Congratulations - your store is getting Hot Girl Summer Swim!
476,81,GATESVILLE,2805 S STATE HIGHWAY 36,Congratulations - your store is getting Hot Girl Summer Swim!
490,78,CORPUS CHRISTI,1250 FLOUR BLUFF DR,Congratulations - your store is getting Hot Girl Summer Swim!
494,16,NEWNAN,1025 HIGHWAY 34 E,Congratulations - your store is getting Hot Girl Summer Swim!
502,129,GALLIANO,16759 HIGHWAY 3235,Congratulations - your store is getting Hot Girl Summer Swim!
531,132,LAFAYETTE,3142 AMBASSADOR CAFFERY PKWY,Congratulations - your store is getting Hot Girl Summer Swim!
537,73,ODESSA,4210 JOHN BEN SHEPPERD PKWY,Congratulations - your store is getting Hot Girl Summer Swim!
538,93,GAINESVILLE,5700 NW 23RD ST,Congratulations - your store is getting Hot Girl Summer Swim!
540,129,MORGAN CITY,973 HIGHWAY 90 E,Congratulations - your store is getting Hot Girl Summer Swim!
541,128,COVINGTON,880 N HIGHWAY 190,Congratulations - your store is getting Hot Girl Summer Swim!
542,129,HOUMA,1633 MARTIN LUTHER KING JR BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
543,132,OPELOUSAS,1629 E CRESSWELL LN,Congratulations - your store is getting Hot Girl Summer Swim!
548,25,LAWRENCEVILLE,630 COLLINS HILL RD,Congratulations - your store is getting Hot Girl Summer Swim!
564,344,OKLAHOMA CITY,6100 W RENO AVE,Congratulations - your store is getting Hot Girl Summer Swim!
580,116,BARTOW,1050 E VAN FLEET DR,Congratulations - your store is getting Hot Girl Summer Swim!
581,414,MARSHALLTOWN,2802 S CENTER ST,Congratulations - your store is getting Hot Girl Summer Swim!
582,94,PORT ORANGE,1590 DUNLAWTON AVE,Congratulations - your store is getting Hot Girl Summer Swim!
585,42,ROCK HILL,2377 DAVE LYLE BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
594,19,FAYETTEVILLE,125 PAVILION PKWY,Congratulations - your store is getting Hot Girl Summer Swim!
602,68,SPRING,1025 SAWDUST RD,Congratulations - your store is getting Hot Girl Summer Swim!
604,7,DOTHAN,4310 MONTGOMERY HWY,Congratulations - your store is getting Hot Girl Summer Swim!
622,344,OKLAHOMA CITY,7800 N.W. EXPRESSWAY,Congratulations - your store is getting Hot Girl Summer Swim!
634,38,CAMDEN,2240 W DEKALB ST,Congratulations - your store is getting Hot Girl Summer Swim!
635,29,SAVANNAH,6000 OGEECHEE RD,Congratulations - your store is getting Hot Girl Summer Swim!
641,35,GREENVILLE,6134 WHITE HORSE RD,Congratulations - your store is getting Hot Girl Summer Swim!
666,116,SEBRING,3525 US HIGHWAY 27 N,Congratulations - your store is getting Hot Girl Summer Swim!
671,152,LEBANON,615 S CUMBERLAND ST,Congratulations - your store is getting Hot Girl Summer Swim!
682,151,MURFREESBORO,2000 OLD FORT PKWY,Congratulations - your store is getting Hot Girl Summer Swim!
697,93,OCALA,2600 SW 19TH AVENUE RD,Congratulations - your store is getting Hot Girl Summer Swim!
705,89,MOUNT DORA,17030 US HIGHWAY 441,Congratulations - your store is getting Hot Girl Summer Swim!
725,116,HAINES CITY,36205 US HIGHWAY 27,Congratulations - your store is getting Hot Girl Summer Swim!
738,147,CAMDEN,2200 HIGHWAY 641 N,Congratulations - your store is getting Hot Girl Summer Swim!
743,353,OKLAHOMA CITY,100 EAST I-240 SERVICE RD,Congratulations - your store is getting Hot Girl Summer Swim!
744,59,HUMBLE,6626 FM 1960 RD E,Congratulations - your store is getting Hot Girl Summer Swim!
758,32,AMERICUS,1711 E LAMAR ST,Congratulations - your store is getting Hot Girl Summer Swim!
768,65,KATY,1313 N FRY RD,Congratulations - your store is getting Hot Girl Summer Swim!
769,115,VENICE,4150 TAMIAMI TRL S,Congratulations - your store is getting Hot Girl Summer Swim!
772,64,HOUSTON,3506 HIGHWAY 6 S,Congratulations - your store is getting Hot Girl Summer Swim!
787,19,RIVERDALE,7050 HIGHWAY 85,Congratulations - your store is getting Hot Girl Summer Swim!
791,78,ALICE,2701 E MAIN ST,Congratulations - your store is getting Hot Girl Summer Swim!
817,90,KISSIMMEE,4444 W VINE ST,Congratulations - your store is getting Hot Girl Summer Swim!
839,130,BATON ROUGE,9350 CORTANA PL,Congratulations - your store is getting Hot Girl Summer Swim!
855,20,UNION CITY,4735 JONESBORO RD,Congratulations - your store is getting Hot Girl Summer Swim!
887,141,PETAL,36 BYRD BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
890,91,ORLANDO,11250 E COLONIAL DR,Congratulations - your store is getting Hot Girl Summer Swim!
908,90,ORLANDO,8101 S JOHN YOUNG PKWY,Congratulations - your store is getting Hot Girl Summer Swim!
909,125,CHALMETTE,8101 W JUDGE PEREZ DR,Congratulations - your store is getting Hot Girl Summer Swim!
915,62,STAFFORD,11210 W AIRPORT BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
923,482,NOBLESVILLE,16865 CLOVER RD,Congratulations - your store is getting Hot Girl Summer Swim!
925,112,SEFFNER,11720 E DR MARTIN LUTHER KING JR BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
928,98,SAINT JOHNS,845 DURBIN PAVILION DR,Congratulations - your store is getting Hot Girl Summer Swim!
929,107,PORT SAINT LUCIE,10855 S US HIGHWAY 1,Congratulations - your store is getting Hot Girl Summer Swim!
941,114,VALRICO,2140 BLOOMINGDALE AVENUE,Congratulations - your store is getting Hot Girl Summer Swim!
942,89,OCOEE,10500 W COLONIAL DR,Congratulations - your store is getting Hot Girl Summer Swim!
959,95,BUSHNELL,2163 W C 48,Congratulations - your store is getting Hot Girl Summer Swim!
961,129,LA PLACE,1616 W AIRLINE HWY,Congratulations - your store is getting Hot Girl Summer Swim!
970,143,PICAYUNE,235 FRONTAGE RD,Congratulations - your store is getting Hot Girl Summer Swim!
973,92,FORT PIERCE,5100 OKEECHOBEE RD,Congratulations - your store is getting Hot Girl Summer Swim!
974,92,WEST MELBOURNE,845 PALM BAY RD NE,Congratulations - your store is getting Hot Girl Summer Swim!
987,105,FORT MYERS,14821 BEN C PRATT/6 MILE CYPRESS PKWY,Congratulations - your store is getting Hot Girl Summer Swim!
991,1,MOBILE,101 E I65 SERVICE RD S,Congratulations - your store is getting Hot Girl Summer Swim!
994,104,NEW PORT RICHEY,8745 STATE ROAD 54,Congratulations - your store is getting Hot Girl Summer Swim!
999,86,SAN ANTONIO,7239 SW LOOP 410,Congratulations - your store is getting Hot Girl Summer Swim!
1004,115,BRADENTON,5315 CORTEZ RD W,Congratulations - your store is getting Hot Girl Summer Swim!
1022,45,TYLER,3820 STATE HIGHWAY 64 W,Congratulations - your store is getting Hot Girl Summer Swim!
1025,141,MCCOMB,1608 VETERANS BLVD,Congratulations - your store is getting Hot Girl Summer Swim!
