Store #,PO#,City,State,Quantity,Ship Date,Estimated Deliv Date,,,,,,,,,
412,39060085,ATHENS,TX,2,"May 7, 2024","May 10, 2024",,,,,,,,,
458,39060090,ARANSAS PASS,TX,1,"May 7, 2024","May 11, 2024",,,,,,,,,
462,39060089,ALVIN,TX,2,"May 7, 2024","May 10, 2024",,,,,,,,,
527,39060122,ANGLETON,TX,2,"May 7, 2024","May 10, 2024",,,,,,,,,
536,39060088,ABILENE,TX,1,"May 7, 2024","May 10, 2024",,,,,,,,,
755,39060128,AMARILLO,TX,2,"May 7, 2024","May 10, 2024",,,,,,,,,
791,39060084,ALICE,TX,2,"May 7, 2024","May 10, 2024",,,,,,,,,
822,39060126,AMARILLO,TX,2,"May 7, 2024","May 10, 2024",,,,,,,,,
1801,39060123,ARLINGTON,TX,2,"May 7, 2024","May 10, 2024",,,,,,,,,
2918,39060087,ALLEN,TX,2,"May 7, 2024","May 10, 2024",,,,,,,,,
2977,39060132,ARLINGTON,TX,1,"May 7, 2024","May 10, 2024",,,,,,,,,
3198,39060134,CARROLLTON,TX,1,"May 7, 2024","May 10, 2024",,,,,,,,,
3284,39060121,ARLINGTON,TX,2,"May 7, 2024","May 10, 2024",,,,,,,,,
3383,39060083,AMARILLO,TX,2,"May 7, 2024","May 10, 2024",,,,,,,,,
3574,39060086,ALLEN,TX,1,"May 7, 2024","May 10, 2024",,,,,,,,,
3870,39060131,ARLINGTON,TX,1,"May 7, 2024","May 10, 2024",,,,,,,,,
4464,39060127,AMARILLO,TX,1,"May 7, 2024","May 10, 2024",,,,,,,,,
5165,39060129,ALAMO,TX,2,"May 7, 2024","May 10, 2024",,,,,,,,,
5216,39060124,AMARILLO,TX,2,"May 7, 2024","May 10, 2024",,,,,,,,,
5416,39060125,ARLINGTON,TX,2,"May 7, 2024","May 10, 2024",,,,,,,,,
5613,39060133,ARLINGTON,TX,1,"May 7, 2024","May 10, 2024",,,,,,,,,
5715,39060130,ABILENE,TX,1,"May 7, 2024","May 10, 2024",,,,,,,,,
6963,39060135,ANNA,TX,2,"May 7, 2024","May 10, 2024",,,,,,,,,
7349,39060137,AMARILLO,TX,1,"May 7, 2024","May 10, 2024",,,,,,,,,
7362,39060136,AMARILLO,TX,1,"May 7, 2024","May 10, 2024",,,,,,,,,
158,39060138,Bonham,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
226,39060143,ATLANTA,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
228,39060145,CLEBURNE,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
565,39060144,CORSICANA,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
1118,39060154,Balch Springs,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
1216,39060148,CARROLLTON,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
2105,39060146,DALLAS,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
2427,39060142,DALLAS,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
2667,39060151,DALLAS,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
2996,39060139,DALLAS,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
3014,39060157,DALLAS,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
3015,39060156,DALLAS (PLEASANT GROVE),TX,1,"May 9, 2024","May 14, 2024",,,,,,,,,
3204,39060155,CEDAR HILL,TX,1,"May 9, 2024","May 14, 2024",,,,,,,,,
3285,39060150,CEDAR HILL,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
3341,39060141,DALLAS,TX,1,"May 9, 2024","May 14, 2024",,,,,,,,,
3406,39060147,DALLAS,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
5021,39060149,DALLAS,TX,1,"May 9, 2024","May 14, 2024",,,,,,,,,
5147,39060140,DALLAS,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
5810,39060158,DALLAS,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
5823,39060153,DALLAS,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
5889,39060152,DALLAS,TX,2,"May 9, 2024","May 14, 2024",,,,,,,,,
185,39060172,GAINESVILLE,TX,2,"May 14, 2024","May 17, 2024",,,,,,,,,
286,39060163,ENNIS,TX,2,"May 14, 2024","May 17, 2024",,,,,,,,,
421,39060161,DECATUR,TX,2,"May 14, 2024","May 17, 2024",,,,,,,,,
467,39060166,DENTON,TX,2,"May 14, 2024","May 17, 2024",,,,,,,,,
590,39060173,FORT WORTH,TX,2,"May 14, 2024","May 17, 2024",,,,,,,,,
1455,39060159,FORT WORTH,TX,2,"May 14, 2024","May 17, 2024",,,,,,,,,
2834,39060179,FORT WORTH,TX,1,"May 14, 2024","May 17, 2024",,,,,,,,,
2978,39060171,FORT WORTH,TX,2,"May 14, 2024","May 17, 2024",,,,,,,,,
2979,39060170,FORT WORTH,TX,1,"May 14, 2024","May 17, 2024",,,,,,,,,
2980,39060165,FORT WORTH,TX,2,"May 14, 2024","May 17, 2024",,,,,,,,,
3043,39060177,FORT WORTH,TX,1,"May 14, 2024","May 17, 2024",,,,,,,,,
3044,39060176,FORT WORTH,TX,2,"May 14, 2024","May 17, 2024",,,,,,,,,
3135,39060178,FORT WORTH,TX,1,"May 14, 2024","May 17, 2024",,,,,,,,,
3419,39060167,FORT WORTH,TX,1,"May 14, 2024","May 17, 2024",,,,,,,,,
3432,39060174,DESOTO,TX,2,"May 14, 2024","May 17, 2024",,,,,,,,,
3773,39060164,FORT WORTH,TX,2,"May 14, 2024","May 17, 2024",,,,,,,,,
4104,39060180,DENTON,TX,1,"May 14, 2024","May 17, 2024",,,,,,,,,
4627,39060160,DENTON,TX,1,"May 14, 2024","May 17, 2024",,,,,,,,,
5191,39060168,FORNEY,TX,2,"May 14, 2024","May 17, 2024",,,,,,,,,
5312,39060169,FORT WORTH,TX,2,"May 14, 2024","May 17, 2024",,,,,,,,,
5624,39060175,FARMERS BRANCH,TX,1,"May 14, 2024","May 17, 2024",,,,,,,,,
5764,39060162,FORT WORTH,TX,2,"May 14, 2024","May 17, 2024",,,,,,,,,
7232,39060181,DESOTO,TX,1,"May 14, 2024","May 17, 2024",,,,,,,,,
8930,39060182,Dallas,TX,2,"May 14, 2024","May 17, 2024",,,,,,,,,
206,39060187,MCKINNEY,TX,2,"May 16, 2024","May 21, 2024",,,,,,,,,
217,39060198,LEWISVILLE,TX,2,"May 16, 2024","May 21, 2024",,,,,,,,,
266,39060183,GRAPEVINE,TX,2,"May 16, 2024","May 21, 2024",,,,,,,,,
371,39060186,GRANBURY,TX,2,"May 16, 2024","May 21, 2024",,,,,,,,,
427,39060185,GREENVILLE,TX,1,"May 16, 2024","May 21, 2024",,,,,,,,,
789,39060191,MESQUITE,TX,2,"May 16, 2024","May 21, 2024",,,,,,,,,
880,39060192,IRVING,TX,1,"May 16, 2024","May 21, 2024",,,,,,,,,
896,39060184,GRAND PRAIRIE,TX,2,"May 16, 2024","May 21, 2024",,,,,,,,,
1055,39060202,GARLAND,TX,2,"May 16, 2024","May 21, 2024",,,,,,,,,
1800,39060199,Garland,TX,2,"May 16, 2024","May 21, 2024",,,,,,,,,
2433,39060204,GARLAND,TX,1,"May 16, 2024","May 21, 2024",,,,,,,,,
2649,39060196,IRVING,TX,2,"May 16, 2024","May 21, 2024",,,,,,,,,
