23,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
35,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
45,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
58,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
61,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
72,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
80,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
101,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
112,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
137,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
144,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
157,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
159,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
163,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
189,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
212,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
240,Yes,BTC Plan Phase,https://one.walmart.com/content/uswire/en_us/work1/merchandise/seasonal/dept--18-seasonal/back-to-college/set1.html
