store,BU,Region,Market,Set Week
8,A,42,326,Week 1
13,A,42,334,Week 1
17,A,42,334,Week 1
18,A,42,328,Week 14
22,B,44,347,Week 1
27,E,40,357,Week 1
32,E,40,333,Week 1
37,E,40,335,Week 1
38,B,44,47,Week 1
42,B,44,410,Week 1
43,M,47,407,Week 1
47,B,44,351,Week 14
49,B,44,47,Week 1
50,B,44,347,Week 1
51,E,40,359,Week 1
55,A,42,321,Week 1
56,E,40,333,Week 1
57,A,42,328,Week 1
62,A,11,329,Week 14
68,A,11,329,Week 1
72,B,44,410,TBD
74,A,11,329,Week 14
79,A,42,334,Week 14
80,E,40,359,TBD
83,A,42,327,Week 1
89,E,40,336,Week 14
90,B,44,347,Week 1
91,A,11,329,TBD
93,A,11,146,Week 14
97,A,11,146,Week 1
101,E,40,336,Week 1
102,A,42,327,Week 1
108,B,44,344,Week 14
109,E,40,360,Week 1
110,A,3,89,Week 1
111,B,44,410,Week 14
112,A,11,138,TBD
113,B,44,349,Week 14
114,A,11,4,Week 14
115,A,11,138,Week 1
118,A,11,4,Week 14
120,A,11,146,TBD
121,B,44,351,Week 14
122,E,40,335,Week 1
123,B,44,351,Week 1
124,A,42,324,Week 14
127,A,42,325,Week 1
129,B,44,350,Week 1
131,B,44,47,Week 1
132,B,44,344,TBD
135,E,40,360,Week 14
143,E,41,253,Week 1
147,B,44,350,Week 1
149,A,42,135,Week 1
153,A,11,4,TBD
155,A,11,136,TBD
158,B,44,350,Week 14
159,E,40,359,Week 14
160,A,42,328,Week 14
162,B,44,349,Week 14
164,A,11,4,TBD
166,E,40,357,Week 1
168,B,44,345,Week 1
177,A,11,146,Week 14
178,B,44,344,Week 14
180,B,13,46,Week 14
181,B,44,47,Week 1
190,A,11,329,Week 14
195,E,40,360,TBD
198,E,40,272,Week 14
200,E,25,275,Week 14
202,B,5,51,Week 1
202,B,5,51,TBD
203,E,40,359,Week 1
206,B,5,52,Box Original
207,B,44,345,Week 14
211,B,5,76,Week 14
217,B,5,53,Box Original
218,A,11,147,Week 1
220,B,5,48,TBD
221,B,44,344,Week 14
224,E,40,272,Week 1
225,B,44,350,Week 1
226,B,44,47,Week 14
