store,BU,Region,Market,Set Week
227,B,44,344,Week 1
228,B,5,48,TBD
229,A,11,329,Week 1
233,E,41,271,Week 1
234,E,40,360,Week 1
238,A,11,147,TBD
239,A,11,138,Week 1
244,A,42,135,TBD
248,B,5,76,TBD
250,E,40,357,Week 1
251,B,5,45,Week 1
252,E,41,271,Week 14
257,E,41,254,TBD
259,B,5,583,TBD
260,B,5,55,TBD
265,B,5,45,TBD
266,B,5,50,TBD
267,A,42,334,Box Original
268,A,11,147,Week 1
271,B,44,349,Week 14
273,A,11,4,Week 14
276,B,44,351,Week 14
279,A,42,321,Week 1
280,B,7,83,Week 14
281,A,42,328,Week 1
282,E,41,253,TBD
283,B,13,66,TBD
284,B,5,49,TBD
286,B,5,55,TBD
287,A,11,11,Week 1
288,B,13,503,Week 1
290,B,7,77,Week 14
295,E,40,340,Week 1
296,A,42,325,Week 1
298,A,14,3,TBD
302,E,41,271,Week 1
308,A,12,152,Week 1
309,B,13,132,TBD
311,B,13,129,Week 1
312,B,13,134,Week 14
317,E,40,272,Week 1
319,E,40,361,Week 14
320,B,5,76,TBD
325,E,40,360,Week 1
328,E,40,341,Week 1
329,A,14,10,Week 1
332,A,12,5,Week 1
336,A,42,325,Week 1
337,E,40,335,Week 1
342,M,47,411,TBD
344,B,6,65,TBD
346,B,44,409,Week 1
351,B,13,68,Week 1
353,B,5,48,Week 1
362,A,11,11,Week 1
363,E,40,359,TBD
364,B,13,503,TBD
366,A,12,121,Week 14
368,B,44,410,Week 1
371,B,5,48,TBD
372,M,47,406,Week 1
375,A,12,5,Week 14
381,B,7,81,Week 1
382,B,44,410,Week 1
390,A,12,149,Week 1
392,B,44,344,Week 1
394,A,11,137,TBD
397,B,6,80,Week 1
398,B,13,46,Week 1
400,B,13,68,TBD
401,B,13,131,TBD
402,B,13,132,TBD
403,A,11,137,TBD
409,A,11,137,Week 1
412,B,5,45,TBD
416,A,12,151,TBD
417,B,44,47,Week 1
421,B,5,479,TBD
424,A,14,8,Week 1
426,B,5,53,TBD
428,B,13,130,TBD
435,E,40,272,Week 1
436,E,40,272,Week 1
463,B,6,84,TBD
466,A,11,147,Week 14
467,B,5,52,TBD
468,B,44,47,TBD
471,B,5,49,Week 1
472,B,44,356,Box Original
476,B,7,81,Week 1
477,A,12,119,Week 1
481,E,25,273,Week 1
491,E,41,253,Week 1
493,E,41,260,Week 1
510,A,2,21,Week 1
511,F,4,38,TBD
516,B,5,45,TBD
522,B,6,60,TBD
523,B,13,46,Week 14
526,E,41,242,TBD
530,A,42,327,Week 14
533,B,13,132,TBD
539,B,13,134,TBD
554,B,7,88,TBD
561,B,5,76,TBD
565,B,5,55,TBD
569,E,41,257,Week 1
572,B,13,46,TBD
583,A,12,121,TBD
589,E,41,256,Week 1
590,B,5,48,TBD
599,A,12,124,Week 14
606,F,4,29,TBD
610,B,5,76,TBD
612,E,25,273,TBD
614,A,14,16,Week 14
623,A,9,118,TBD
627,F,4,38,Week 1
631,F,4,35,TBD
644,F,4,39,Week 14
657,A,12,152,TBD
663,A,12,119,TBD
671,A,12,152,Week 14
675,A,11,146,Week 14
678,A,12,123,Week 1
680,A,12,123,Week 14
682,A,12,151,Week 1
690,A,12,124,Week 1
695,A,12,149,TBD
703,B,6,67,TBD
707,A,11,136,TBD
708,A,11,140,Week 1
709,E,41,256,Week 1
723,A,14,7,Week 14
724,A,12,123,Week 14
727,A,2,22,Week 14
737,A,12,151,Week 14
746,B,5,76,TBD
748,M,52,414,TBD
756,A,12,120,Week 14
771,A,9,92,TBD
773,B,13,134,TBD
776,M,47,432,Week 1
780,A,2,21,Week 14
782,B,7,88,Week 14
784,M,52,418,Week 1
787,A,2,19,Week 14
789,B,5,583,TBD
791,B,6,78,Week 1
793,B,7,70,TBD
797,M,52,418,TBD
801,E,40,360,Week 1
804,B,5,48,TBD
807,B,5,50,TBD
808,B,6,61,Week 1
811,A,9,118,Week 1
813,B,7,81,Week 1
815,E,40,336,Week 1
822,B,7,70,Week 14
826,B,46,375,Week 14
827,B,5,45,Week 1
833,E,41,271,Week 1
835,B,46,385,Week 1
854,E,21,246,Week 1
855,A,2,20,Week 14
856,A,2,22,Week 1
858,A,14,97,Week 14
861,B,7,71,Week 1
863,A,14,10,Week 1
867,M,47,429,Week 1
868,B,46,387,Week 1
873,B,46,375,Week 1
874,B,13,141,Week 14
876,A,42,127,Week 1
880,B,5,50,Box Original
881,F,4,41,Week 1
882,E,53,425,Week 1
887,B,13,141,Week 14
896,B,5,49,TBD
897,B,7,73,Week 14
903,A,11,140,TBD
930,A,14,8,Week 14
932,A,14,16,Week 1
939,B,5,76,TBD
940,B,5,479,TBD
944,A,14,15,TBD
952,A,3,27,Week 1
954,B,13,141,Week 1
963,B,5,48,TBD
972,B,5,479,TBD
982,E,53,425,TBD
995,E,41,251,Week 1
1000,B,6,569,TBD
1003,E,25,262,Week 14
1005,M,52,426,TBD
1007,E,53,438,TBD
1014,E,40,361,TBD
1021,E,40,339,Week 14
1022,B,5,45,TBD
1032,A,14,15,TBD
1038,E,53,425,Week 1
1042,B,6,85,Week 1
1044,B,5,45,TBD
1047,A,2,20,Week 14
1048,E,41,257,Week 1
1051,B,7,71,TBD
1052,A,11,11,TBD
1055,B,5,583,TBD
1056,B,44,353,Week 1
1061,A,3,28,Week 1
1065,A,42,325,Week 14
1069,A,11,138,Week 1
1073,B,7,81,Week 1
1076,A,2,32,Week 14
1080,A,12,124,Week 1
1081,A,3,93,Week 1
1084,A,9,91,Week 1
1100,A,11,137,Week 1
1106,B,13,141,TBD
1112,A,14,16,Week 14
1113,E,20,258,TBD
1117,B,5,51,TBD
1118,B,5,55,TBD
1120,E,40,360,Week 14
1122,A,2,18,Week 1
1123,F,4,35,Week 14
1124,A,11,137,TBD
1137,B,6,60,TBD
1150,B,6,85,Week 1
1153,A,2,32,Week 14
1158,A,14,2,Week 14
1160,E,41,243,Week 14
1164,F,4,41,Week 14
1178,B,5,50,TBD
1184,A,2,23,Week 1
1194,A,12,122,Week 1
1196,B,13,131,TBD
1202,E,53,439,TBD
1216,B,5,53,TBD
1223,A,14,97,TBD
1227,A,2,30,Week 14
1235,B,7,86,Week 1
1236,F,26,302,Week 1
1237,F,26,299,TBD
1240,B,46,367,Week 1
1243,F,75,312,Week 1
1244,F,4,35,Week 1
1247,E,20,258,TBD
1249,B,7,74,Week 1
1254,B,5,76,TBD
1255,F,26,309,Week 1
1259,E,20,258,Week 14
1263,E,41,254,TBD
1271,A,11,138,Week 1
1272,B,7,74,TBD
1279,B,6,59,TBD
1282,M,47,407,TBD
1288,F,26,296,Week 1
1290,F,26,304,Week 1
1291,B,46,367,Week 1
1295,B,44,350,Week 1
1296,B,6,569,Week 14
1317,F,4,294,TBD
1318,A,12,122,Week 1
1324,B,46,366,Week 14
1328,M,58,364,TBD
1329,E,21,246,Week 1
1332,M,52,426,Week 1
1337,F,26,304,TBD
1338,A,14,16,Week 1
1352,F,4,300,TBD
1380,B,46,375,Week 1
1383,F,4,29,TBD
1395,E,40,272,Week 14
1408,A,14,97,Week 1
1415,M,52,421,Week 1
1419,E,21,248,Week 1
1424,F,75,290,TBD
1426,E,21,259,TBD
1427,E,21,218,Week 1
1428,E,19,204,TBD
1437,M,47,406,TBD
1452,F,26,309,Week 1
1455,B,5,44,TBD
1462,A,14,7,Week 1
1466,A,12,121,TBD
1468,A,11,136,Week 14
1480,E,21,239,Week 1
1486,F,75,314,Week 1
1491,M,52,413,Week 14
1493,A,14,14,Week 1
1506,M,52,415,Week 1
1515,E,53,442,Week 1
1519,E,21,218,Week 1
1524,F,75,290,TBD
1529,F,22,233,Week 1
1558,F,26,298,Week 14
1561,A,11,145,Week 14
1567,M,47,427,TBD
1569,E,21,259,TBD
1583,M,57,449,Week 14
1599,E,40,362,TBD
1600,M,57,447,Week 1
1603,F,4,42,Week 1
1604,M,47,430,Week 14
1614,F,26,297,Week 14
1617,M,47,381,Week 1
1621,M,52,418,TBD
1622,E,19,213,Week 1
1630,M,56,468,TBD
1631,F,75,288,TBD
1638,A,14,7,TBD
1639,E,21,247,Week 14
1646,B,46,372,TBD
1658,A,2,30,TBD
1676,E,41,254,Week 14
1683,M,52,413,Week 1
1688,F,75,289,TBD
1692,M,58,445,Week 1
1693,M,58,445,Week 14
1694,A,12,124,TBD
1696,M,52,412,Week 1
1697,M,56,454,Week 1
1701,A,2,21,Week 1
1708,M,54,401,TBD
1710,A,11,140,Week 14
1711,A,14,2,Week 14
1713,E,25,278,Week 14
1716,F,75,508,Week 14
1717,F,75,508,Week 1
1724,E,20,216,Week 1
1728,E,21,239,Week 1
1732,M,52,414,Week 14
1737,E,25,268,Week 1
1755,M,56,452,TBD
1761,E,40,341,Week 1
1780,F,75,315,Week 14
1800,B,5,583,TBD
1801,B,5,44,TBD
1805,M,58,463,TBD
1807,F,22,558,Week 1
1822,I,29,811,Week 1
1831,F,76,191,TBD
1836,E,19,202,Week 1
1838,M,57,394,Week 1
1839,E,20,214,Week 1
1854,I,29,801,Week 14
1855,M,52,423,TBD
1858,M,52,421,TBD
1867,F,75,293,Week 1
1872,M,47,383,TBD
1873,F,17,161,Week 1
1877,M,57,581,Week 1
1890,F,22,285,TBD
1894,E,20,215,Week 1
1896,M,54,391,TBD
1905,M,56,400,Week 1
1906,F,16,160,Week 1
1915,M,58,463,Week 1
1923,E,19,200,TBD
1924,F,16,179,Week 1
1930,F,16,184,Week 14
1936,E,53,196,TBD
1948,E,20,227,Week 1
1953,F,26,297,TBD
1956,M,47,382,Week 1
1958,B,6,80,Week 14
1965,M,47,432,Week 14
1979,M,56,457,Week 1
1980,F,17,162,Week 1
1998,E,25,267,Week 1
2000,F,26,301,Week 1
2004,M,52,415,Week 1
2010,E,19,201,Week 14
2015,F,76,292,TBD
2020,E,21,246,Week 1
2022,F,17,162,Week 1
2031,M,56,511,Week 1
2040,F,22,558,TBD
2051,M,57,405,Week 1
2059,F,76,231,Week 1
2067,I,29,811,Week 1
2071,M,60,469,Week 1
2072,I,29,811,Week 14
2086,B,5,56,TBD
2089,E,20,311,Week 1
2096,F,22,170,Week 1
2105,B,5,53,Week 1
2111,A,14,13,Week 1
2112,B,46,372,TBD
2118,F,16,156,Week 14
2119,M,56,511,Week 1
2124,E,21,223,Week 14
2127,E,53,440,Week 1
2131,M,47,411,Week 14
2145,F,22,168,Week 1
2155,F,16,156,Week 1
2160,F,75,290,TBD
2163,F,17,173,Week 1
2164,F,76,194,Week 1
2166,F,76,191,Week 1
2178,F,16,179,Week 1
2183,F,16,180,Week 1
2184,F,16,160,Week 1
2185,F,22,232,Week 1
2204,E,25,267,Week 1
2205,F,22,233,Week 1
2221,E,40,333,Box Original
2228,F,16,154,Week 14
2233,F,76,280,TBD
2236,F,22,167,Week 1
2237,A,9,118,TBD
2248,F,75,293,Week 1
2250,E,21,225,TBD
2251,M,57,484,Week 14
2257,B,6,67,Week 14
2258,F,76,283,Week 1
2265,F,4,35,Week 1
2269,M,60,473,Week 1
2273,E,19,205,Week 1
2276,E,19,238,Week 1
2292,M,57,484,Week 1
2295,F,75,287,TBD
2302,I,29,811,Week 1
2311,E,21,247,TBD
2312,F,75,312,Week 1
2314,M,57,470,Week 1
2320,M,56,468,Week 1
2321,M,57,470,Week 1
2329,F,16,156,TBD
2333,M,58,445,Week 1
2334,F,22,233,Week 1
2339,E,21,246,TBD
2346,I,29,801,Week 1
2367,M,52,419,TBD
2400,E,21,218,TBD
2404,B,7,87,TBD
2427,B,5,53,TBD
2437,F,76,286,Week 1
2447,E,21,225,Week 1
2457,M,56,454,Week 1
2463,B,5,56,TBD
2469,M,60,467,TBD
2476,M,60,475,TBD
2479,M,58,459,Week 1
2492,M,60,475,Week 14
2496,A,12,124,Week 1
2503,F,17,174,TBD
2513,A,2,18,Week 1
2517,M,58,466,Week 1
2530,F,16,181,Week 1
2531,F,17,164,Week 1
2535,F,22,232,TBD
2536,M,57,581,Week 14
2542,E,21,222,Week 1
2564,F,76,286,Week 1
2566,F,76,280,Week 14
2579,M,47,429,Week 14
2583,F,17,172,Week 1
2584,A,2,23,Week 1
2588,E,20,227,Week 1
2603,E,20,229,Week 14
2608,M,47,382,Week 14
2611,E,20,235,TBD
2613,E,19,213,Week 1
2617,M,56,399,Week 1
2619,E,19,204,TBD
2629,F,16,156,TBD
2636,M,58,466,TBD
2639,F,16,181,TBD
2648,M,56,511,Week 1
2649,B,5,50,TBD
2651,F,17,175,Week 1
2652,B,46,384,Week 14
2653,B,7,71,Week 1
2654,E,41,257,Week 1
2659,F,16,183,Week 14
2663,F,76,231,Week 1
2667,B,5,55,TBD
2672,M,54,389,Week 1
2687,F,4,35,TBD
2688,B,5,45,TBD
2697,M,56,452,TBD
2700,E,19,203,Week 1
2711,M,60,469,Week 1
2713,A,14,3,TBD
2715,B,13,143,TBD
2717,B,13,141,Week 14
2720,A,11,140,TBD
2747,F,17,161,Week 1
2751,M,54,380,Week 1
2754,A,2,30,Week 14
2760,A,14,14,TBD
2763,B,6,569,Week 14
2767,B,46,372,TBD
2771,E,21,246,Week 14
2777,B,46,368,TBD
2785,F,76,192,Week 1
2787,E,41,249,TBD
2797,F,16,154,Week 1
2805,F,75,314,Week 1
2807,F,75,315,Week 1
2810,E,20,316,TBD
2811,A,2,21,Week 1
2812,E,53,425,TBD
2815,E,25,268,Week 1
2818,E,19,238,Week 1
2823,E,20,216,Week 1
2833,F,76,320,Week 1
2834,B,5,50,Week 14
2845,F,26,296,Week 1
2849,E,20,316,Week 14
2856,E,40,361,Week 14
2859,F,76,194,Week 1
2869,E,19,203,Week 1
2873,E,19,206,TBD
2882,M,52,422,TBD
2883,B,5,56,Week 14
2897,F,17,173,Week 1
2903,F,16,157,TBD
2904,F,16,159,Week 1
2908,F,26,309,Week 14
2912,E,19,197,TBD
2913,B,13,129,Week 1
2915,F,17,171,Week 1
2918,B,5,51,TBD
2921,M,54,401,TBD
2924,B,46,384,TBD
2926,B,5,56,Week 1
2927,M,60,476,Week 1
2935,M,52,413,Week 14
2947,M,60,476,Week 14
2955,E,40,362,Week 1
2963,A,9,108,TBD
2968,E,41,243,Week 1
2973,B,5,51,TBD
2978,B,5,44,Week 1
2980,B,5,479,TBD
2988,A,12,120,Week 1
2994,E,40,360,Week 14
2996,B,5,53,TBD
3014,B,5,49,TBD
3035,F,76,283,Week 14
3044,B,5,50,TBD
3053,M,60,471,Week 1
3055,B,44,345,Week 14
3057,B,7,506,TBD
3058,B,7,86,TBD
3060,A,11,140,Week 1
3067,A,2,23,Week 14
3087,M,57,446,Week 14
3106,B,7,86,Week 1
3112,B,7,77,TBD
3151,M,47,432,Week 1
3167,B,13,125,TBD
3188,A,2,23,Week 14
3191,F,4,35,Week 1
3200,F,16,159,Week 1
3217,M,60,473,Week 1
3224,B,5,583,TBD
3225,B,5,583,TBD
3234,A,12,123,Week 14
3245,E,53,436,Week 1
3268,E,53,440,TBD
3269,F,16,180,Week 1
3271,A,14,13,Week 1
3274,B,5,50,TBD
3284,B,5,44,TBD
3285,B,5,44,TBD
3286,B,5,52,TBD
3302,B,6,64,TBD
3303,E,20,311,Week 1
3313,M,54,376,TBD
3320,B,6,80,Week 14
3328,E,19,200,TBD
3347,A,9,116,Week 1
3362,E,41,253,Week 1
3364,M,52,422,Week 1
3367,F,4,36,TBD
3380,M,60,475,Week 1
3381,B,7,74,Week 1
3384,B,7,70,Week 14
3386,A,14,3,TBD
3388,A,2,25,TBD
3389,A,2,25,Week 1
3406,B,5,51,TBD
3431,B,5,48,Week 14
3432,B,5,49,TBD
3433,B,5,49,TBD
3445,E,19,207,Week 1
3453,E,19,200,Week 1
3458,E,19,200,Week 1
3476,E,19,197,Week 1
3482,B,5,51,TBD
3489,F,75,281,Week 14
3491,F,16,184,Week 1
3503,F,26,308,TBD
3505,E,53,441,Week 14
3518,B,7,88,Week 14
3524,M,58,458,Week 1
3526,A,3,104,Week 1
3529,E,41,249,Week 1
3543,F,17,173,Week 14
3563,F,22,168,Week 1
3567,B,6,80,Week 14
3580,E,21,219,Week 1
3582,M,54,391,Week 1
3616,B,13,128,Week 1
3623,B,7,88,TBD
3631,B,5,44,TBD
3632,E,19,205,Week 1
3641,E,21,223,Week 14
3650,M,57,446,Week 1
3658,F,26,298,Week 1
3700,F,26,309,Week 1
3710,A,2,20,Week 1
3712,M,56,455,Week 1
3734,M,47,430,TBD
3738,E,20,227,TBD
3742,M,60,476,TBD
3754,M,60,473,Week 1
3764,B,5,45,TBD
3771,B,46,371,Week 1
3773,B,5,479,TBD
3777,B,5,56,TBD
3794,M,60,514,Week 1
3801,M,60,471,TBD
3802,F,22,284,TBD
3807,B,46,367,Week 1
3828,B,13,46,Week 1
3847,M,57,405,Week 1
3853,M,47,430,Week 1
3869,F,75,287,Week 1
3886,B,6,80,TBD
3912,F,17,176,Week 1
4102,B,7,86,Week 1
4103,B,7,77,TBD
4118,E,41,256,Week 14
4130,B,7,82,Week 1
4131,B,7,506,Week 1
4162,B,7,506,TBD
4164,B,5,55,Box Original
4165,B,5,479,Week 1
4166,A,12,121,Week 14
4183,B,6,85,TBD
4194,B,6,84,Week 1
4200,A,14,16,Week 1
4215,B,5,55,TBD
4221,M,60,477,Week 1
4235,E,41,251,TBD
4240,B,5,53,Box Original
4243,E,19,205,TBD
4279,B,5,44,TBD
4284,M,54,380,Week 1
4336,B,46,368,TBD
4355,M,58,364,Week 1
4372,F,76,320,Week 1
4393,M,56,453,Week 1
4427,A,14,97,Week 1
4435,A,12,149,Week 1
4457,F,4,38,Week 1
4460,A,42,324,Week 14
4472,A,2,25,Week 1
4476,F,75,290,TBD
4488,M,56,451,Week 1
4497,A,14,13,Week 14
4499,F,26,299,Week 1
4503,B,5,44,TBD
4508,B,6,80,Week 14
4509,B,5,48,Week 14
4512,B,6,65,TBD
4538,B,6,67,Week 14
4554,B,7,82,Week 1
4564,F,26,299,TBD
4568,M,47,432,Week 1
4588,A,9,91,Week 1
4594,F,26,305,Week 1
4606,M,52,413,Week 1
4616,A,2,18,Week 1
4623,F,75,288,TBD
4627,B,5,52,Box Original
4636,F,75,314,Week 14
4644,E,20,227,TBD
4653,M,47,381,Week 1
4678,M,57,405,Week 1
4689,M,54,582,Week 1
4690,A,3,111,Week 1
4696,M,54,582,Week 1
4734,M,54,585,Week 1
5039,F,22,284,Week 1
5051,M,54,378,Week 1
5064,E,19,201,TBD
5065,E,19,201,Week 1
5080,B,5,50,Box Original
5092,B,5,53,TBD
5095,F,17,163,Week 1
5097,E,19,204,TBD
5105,F,76,286,TBD
5124,B,46,369,TBD
5129,F,76,283,Week 14
5142,F,22,178,Week 1
5144,B,7,77,Week 1
5147,B,5,44,Week 1
5155,B,46,387,Week 1
5157,E,25,278,Week 1
5173,A,12,120,Week 1
5191,B,5,55,Box Original
5197,A,12,5,Week 1
5199,E,25,269,TBD
5203,E,21,217,TBD
5210,B,5,51,Week 1
5211,B,5,52,TBD
5219,M,47,411,Week 1
5229,F,22,166,Week 1
5247,B,5,479,TBD
5261,A,42,323,Week 1
5273,M,60,472,TBD
5288,B,5,49,TBD
5311,B,5,52,Box Original
5312,B,5,479,TBD
5316,B,5,479,TBD
5345,F,75,508,Week 1
5346,F,26,296,Week 14
5355,E,21,222,Week 14
5356,F,76,231,Week 1
5359,B,5,48,TBD
5370,M,54,379,Week 1
5374,E,21,239,Week 1
5379,E,20,235,Week 14
5387,E,20,209,Week 1
5389,B,5,76,TBD
5392,A,3,28,TBD
5403,E,25,273,TBD
5411,E,19,202,TBD
5416,B,5,50,Box Original
5417,E,41,242,Week 1
5418,E,41,242,TBD
5424,M,56,468,TBD
5433,A,42,325,Week 1
5441,M,47,411,Week 14
5443,E,41,249,TBD
5445,F,76,228,Week 1
5446,E,20,235,Week 14
5447,F,17,176,TBD
5460,B,6,78,Week 1
5466,E,21,219,Week 1
5481,F,26,305,Week 14
5482,A,2,21,Week 14
5488,F,75,289,TBD
5492,B,46,384,Week 1
5495,F,22,166,Week 14
5629,M,56,468,TBD
5632,M,57,449,TBD
5668,E,53,435,Week 1
5669,E,53,442,TBD
5672,B,5,51,TBD
5673,B,5,51,TBD
5676,M,54,380,Week 14
5707,B,5,52,TBD
5731,F,75,291,Week 1
5751,M,56,451,Week 1
5764,B,5,479,TBD
5766,M,56,451,Week 14
5777,F,17,162,TBD
5787,F,4,310,Week 14
5793,I,29,811,Week 14
5799,B,46,367,Week 1
5802,I,29,811,TBD
5807,M,57,465,Week 1
5808,B,6,569,Week 14
5810,B,5,49,Week 1
5812,A,2,18,Week 1
5823,B,5,583,Week 1
5839,M,56,468,TBD
5844,E,19,206,Week 1
5858,B,46,367,Week 1
5866,B,5,56,TBD
5879,F,26,306,TBD
5889,B,5,53,Week 1
5927,E,40,339,TBD
5929,M,60,476,TBD
5944,F,22,558,Week 1
5964,A,3,112,Week 1
5969,F,76,292,TBD
5987,B,5,583,TBD
5996,M,58,459,Week 1
6286,B,7,81,Week 14
6300,B,5,56,Week 1
6370,A,12,123,TBD
6392,M,47,411,Week 14
6467,B,5,45,Week 14
6579,B,6,59,TBD
6789,F,26,308,Week 1
6807,A,11,145,Week 1
6929,B,5,76,Week 14
6932,A,42,127,Week 14
6963,B,5,52,TBD
6964,A,11,144,TBD
6998,A,2,20,Week 14
7009,F,26,302,Week 1
7087,E,41,243,Week 1
7156,B,5,76,TBD
7178,B,5,56,TBD
7243,F,4,300,TBD
7324,A,12,5,TBD
7326,B,44,353,Week 14
8930,B,5,583,Week 14
,,,,
