,,,
,,,
Store Nbr,UPC,Prime Item Desc,Inventory
1,0506044252062,ELVIE STRIDE,2
2,0506044252062,ELVIE STRIDE,2
4,0506044252062,ELVIE STRIDE,3
5,0506044252062,ELVIE STRIDE,1
7,0506044252062,ELVIE STRIDE,5
9,0506044252062,ELVIE STRIDE,0
10,0506044252062,ELVIE STRIDE,1
11,0506044252062,ELVIE STRIDE,3
12,0506044252062,ELVIE STRIDE,1
13,0506044252062,ELVIE STRIDE,1
14,0506044252062,ELVIE STRIDE,18
15,0506044252062,ELVIE STRIDE,3
16,0506044252062,ELVIE STRIDE,4
17,0506044252062,ELVIE STRIDE,4
19,0506044252062,ELVIE STRIDE,2
20,0506044252062,ELVIE STRIDE,6
21,0506044252062,ELVIE STRIDE,11
22,0506044252062,ELVIE STRIDE,3
23,0506044252062,ELVIE STRIDE,4
24,0506044252062,ELVIE STRIDE,2
25,0506044252062,ELVIE STRIDE,11
26,0506044252062,ELVIE STRIDE,6
28,0506044252062,ELVIE STRIDE,3
29,0506044252062,ELVIE STRIDE,12
30,0506044252062,ELVIE STRIDE,4
31,0506044252062,ELVIE STRIDE,3
33,0506044252062,ELVIE STRIDE,2
34,0506044252062,ELVIE STRIDE,2
35,0506044252062,ELVIE STRIDE,2
36,0506044252062,ELVIE STRIDE,4
37,0506044252062,ELVIE STRIDE,7
38,0506044252062,ELVIE STRIDE,5
39,0506044252062,ELVIE STRIDE,2
40,0506044252062,ELVIE STRIDE,14
41,0506044252062,ELVIE STRIDE,2
42,0506044252062,ELVIE STRIDE,2
43,0506044252062,ELVIE STRIDE,2
46,0506044252062,ELVIE STRIDE,7
47,0506044252062,ELVIE STRIDE,2
48,0506044252062,ELVIE STRIDE,2
49,0506044252062,ELVIE STRIDE,2
51,0506044252062,ELVIE STRIDE,14
52,0506044252062,ELVIE STRIDE,6
54,0506044252062,ELVIE STRIDE,2
55,0506044252062,ELVIE STRIDE,2
56,0506044252062,ELVIE STRIDE,6
58,0506044252062,ELVIE STRIDE,5
59,0506044252062,ELVIE STRIDE,2
60,0506044252062,ELVIE STRIDE,6
61,0506044252062,ELVIE STRIDE,2
63,0506044252062,ELVIE STRIDE,4
65,0506044252062,ELVIE STRIDE,2
66,0506044252062,ELVIE STRIDE,2
68,0506044252062,ELVIE STRIDE,3
69,0506044252062,ELVIE STRIDE,3
70,0506044252062,ELVIE STRIDE,2
72,0506044252062,ELVIE STRIDE,2
73,0506044252062,ELVIE STRIDE,4
74,0506044252062,ELVIE STRIDE,2
75,0506044252062,ELVIE STRIDE,0
76,0506044252062,ELVIE STRIDE,2
78,0506044252062,ELVIE STRIDE,3
79,0506044252062,ELVIE STRIDE,2
80,0506044252062,ELVIE STRIDE,2
81,0506044252062,ELVIE STRIDE,2
85,0506044252062,ELVIE STRIDE,2
86,0506044252062,ELVIE STRIDE,4
89,0506044252062,ELVIE STRIDE,2
90,0506044252062,ELVIE STRIDE,3
