Store Number,Item Number,Billed Qty (Eaches),Actual Qty (Eaches),Difference
49,553473452,96,24,72
49,554711016,48,8,40
49,566379415,48,12,36
49,566906323,24,8,16
49,567451560,72,12,60
49,567451576,360,60,300
49,567451628,144,24,120
49,568485714,8,2,6
49,576025422,144,12,132
49,576886796,8,2,6
49,578306309,72,12,60
49,578471360,96,16,80
49,579018526,96,4,92
49,583271930,4,2,2
49,584746992,36,6,30
49,585483928,96,16,80
49,586940352,36,3,33
49,595621004,36,6,30
49,650707944,24,4,20
49,652763645,12,2,10
49,653466998,60,10,50
49,655978596,24,8,16
49,658942524,288,12,276
49,658942525,120,8,112
49,659337445,24,8,16
49,666810356,4,1,3
49,669772431,4,2,2
49,671445341,24,6,18
87,553473452,120,30,90
87,554711016,48,8,40
87,566379415,32,8,24
87,566906323,24,8,16
87,567451560,72,12,60
87,567451576,432,72,360
87,567451628,72,12,60
87,568485714,4,1,3
87,576025422,144,12,132
87,576886796,12,3,9
87,577632500,72,18,54
87,578306309,24,4,20
87,578471360,72,12,60
87,579018526,96,4,92
87,583271930,6,3,3
87,584746992,36,6,30
87,585483928,96,16,80
87,586940352,60,5,55
87,595621004,48,8,40
87,598977946,18,3,15
87,650707944,72,12,60
87,652763645,36,6,30
87,653466998,120,20,100
87,655978596,24,8,16
87,658942524,288,12,276
87,659337445,48,16,32
87,666810356,4,1,3
87,669772431,4,2,2
87,671445341,36,9,27
116,553473452,24,6,18
116,554711016,24,4,20
116,566379415,16,4,12
116,567451560,36,6,30
116,567451576,72,12,60
116,567451628,72,12,60
116,568485714,4,1,3
116,576025422,72,6,66
116,578471360,24,4,20
116,579018526,48,2,46
116,584746992,36,6,30
116,585483928,72,12,60
116,653466998,30,5,25
116,658942524,288,12,276
116,658942525,120,8,112
116,666810356,4,1,3
116,669772431,4,2,2
116,671445341,12,3,9
131,553473452,72,18,54
131,554711016,24,4,20
131,566379415,16,4,12
131,566906323,12,4,8
131,567451560,36,6,30
131,567451576,360,60,300
131,567451628,36,6,30
131,568162295,3,1,2
131,568485714,4,1,3
131,576025422,72,6,66
131,576886796,4,1,3
131,577632500,96,24,72
131,578306309,24,4,20
131,578471360,48,8,40
131,579018526,24,1,23
131,583271930,2,1,1
131,584746992,36,6,30
131,585483928,72,12,60
131,586940352,12,1,11
131,595421004,4,1,3
131,595621004,12,2,10
131,598977946,18,3,15
131,650707944,120,20,100
131,652763645,12,2,10
131,653466998,30,5,25
131,655978596,12,4,8
131,656827097,18,6,12
131,658942524,288,12,276
131,658942525,120,8,112
131,669772431,4,2,2
140,553473452,96,24,72
140,554711016,24,4,20
140,566379415,32,8,24
140,566906323,36,12,24
140,567451560,108,18,90
140,567451576,576,96,480
140,567451628,324,54,270
140,568485714,8,2,6
140,576025422,216,18,198
