Store Nbr,"Mixed BQT 
Double Bucket Wingstack Display","Mixed BQT 
Double Decker Pallet Display","Rose Lily
Double Bucket Wingstack Display",Small Bouquet Double Bucket Wingstack Display,"XL Premium Roses
Double Bucket Wingstack Display","XL Premium Roses
Pallet Display",TOTAL VALDAY PROMO DISPLAYS,Total WINGSTACK DISPLAYS,TOTAL PALLET DISPLAYS
115,3,1,5,,,1,24,15,9
118,,1,4,,,2,25,15,10
119,2,2,,,1,1,31,19,12
120,1,1,,4,1,1,27,14,13
121,2,2,4,5,1,4,32,22,10
122,,1,4,,,3,25,16,9
123,3,,,,,1,14,6,8
124,,1,4,,,,20,13,7
125,2,2,4,,2,3,47,28,19
126,1,1,3,,,4,17,10,7
127,,1,4,,1,2,31,21,10
128,,1,4,,3,1,26,14,12
129,3,2,5,7,,3,48,28,20
130,1,3,,7,2,2,42,26,16
131,1,2,7,11,,3,62,43,19
132,1,1,4,,,4,19,11,8
133,3,,4,,,2,20,16,4
134,2,1,3,,1,4,23,11,12
135,2,1,,,,1,13,8,5
137,3,1,4,,1,2,37,25,12
138,3,2,4,2,1,3,39,25,14
139,,2,4,,1,1,21,13,8
140,2,3,4,6,2,2,46,27,19
141,,2,5,3,1,,34,18,16
143,1,2,4,,,2,25,13,12
144,2,3,5,3,4,1,57,35,22
145,,1,3,,,1,14,8,6
146,,1,4,,,4,23,16,7
147,1,2,3,,2,4,42,29,13
148,2,2,3,1,4,3,40,17,23
149,2,,1,,,,13,9,4
150,,1,4,,2,3,23,12,11
151,,3,4,10,2,3,45,28,17
152,2,2,3,,2,,28,18,10
153,2,1,4,,1,1,27,13,14
154,,1,4,,,2,31,22,9
155,2,2,,2,,2,24,11,13
157,,3,4,5,3,1,50,25,25
158,3,1,2,,1,,20,12,8
159,3,1,3,,,2,22,13,9
160,,1,4,,1,,16,7,9
161,,2,3,,,,15,8,7
162,3,1,2,,,,16,10,6
163,1,2,4,7,3,,50,31,19
164,3,1,3,,,3,29,16,13
165,3,2,3,8,,4,44,31,13
166,,1,3,,,1,18,11,7
167,,1,3,,1,1,16,11,5
168,,3,4,,2,1,24,10,14
169,2,,5,,,3,16,10,6
170,,,1,,3,,19,8,11
171,3,,,,,,12,4,8
172,2,1,,,1,2,27,15,12
173,2,2,3,,,1,23,17,6
174,2,2,4,,1,1,24,12,12
175,1,1,4,,,1,19,12,7
177,3,2,4,1,,2,32,23,9
178,1,,3,,1,1,15,7,8
179,3,2,4,,2,4,33,21,12
180,2,2,5,1,3,,39,23,16
181,,1,4,,1,3,24,17,7
182,,,3,,,3,22,11,11
183,1,1,4,,,1,21,15,6
184,,2,4,4,1,4,31,20,11
185,,2,4,2,3,1,36,19,17
186,3,1,5,,1,1,16,11,5
188,,2,4,,,3,32,18,14
189,,1,3,,,1,15,7,8
190,2,1,4,,,,27,15,12
192,2,3,,,,2,39,26,13
194,2,2,3,2,2,3,42,25,17
195,1,1,4,,,3,22,13,9
196,,1,4,,,1,20,12,8
197,,1,3,,,3,16,11,5
198,,1,,,,4,16,8,8
199,,1,4,6,,4,31,21,10
200,1,1,,5,1,2,42,27,15
201,,2,3,3,,4,28,15,13
202,2,,2,3,1,1,27,17,10
203,,1,4,,,3,16,12,4
204,2,1,4,,1,1,30,19,11
205,2,1,4,,,3,25,14,11
206,1,2,4,,1,2,24,13,11
207,1,,4,,1,3,17,10,7
211,,,10,3,1,2,42,29,13
212,,2,4,2,1,,30,11,19
213,2,2,4,,1,1,28,18,10
214,2,1,3,,1,1,15,9,6
216,3,2,,,1,1,30,17,13
217,1,3,7,,,3,31,20,11
218,,1,4,,,2,20,14,6
219,3,3,3,3,2,4,49,30,19
220,3,3,4,,2,1,32,12,20
221,3,2,7,3,2,1,40,25,15
222,,2,4,,,2,19,10,9
224,,1,,,,2,13,4,9
225,3,1,4,,1,2,26,14,12
226,3,1,4,,1,,21,14,7
227,,2,,,1,1,16,7,9
228,2,1,4,7,1,4,36,23,13
229,1,,3,,,2,18,12,6
231,1,2,4,8,2,4,51,28,23
233,3,,3,,,2,30,23,7
234,,1,3,,,,18,8,10
236,3,,5,,,2,22,13,9
237,1,1,4,,,2,20,12,8
238,2,2,3,4,,4,38,27,11
239,2,1,1,,,1,20,14,6
240,,1,4,,2,1,22,13,9
242,2,2,3,,,3,25,17,8
243,,2,3,4,1,3,36,18,18
244,3,,1,,,,13,10,3
246,2,,5,,2,1,25,16,9
248,,1,,2,,2,17,10,7
249,2,1,,1,3,,40,25,15
250,3,1,,,,3,22,15,7
251,1,1,4,,,1,22,12,10
252,,1,4,,,2,27,20,7
253,2,1,3,,,1,14,8,6
254,3,1,4,,,3,19,14,5
256,,2,3,,,2,31,18,13
257,2,1,4,,,2,21,15,6
258,2,1,3,,,1,31,16,15
259,1,2,4,4,1,,34,15,19
260,1,4,5,4,2,,55,27,28
261,,2,4,,,1,21,11,10
262,1,1,3,,,1,23,13,10
264,,3,4,6,1,1,52,33,19
265,,1,4,3,2,2,40,23,17
266,,1,4,,,2,22,12,10
267,1,4,5,,1,2,33,19,14
268,1,,3,8,,3,40,30,10
269,3,1,3,9,1,1,61,37,24
271,,,4,,,2,18,11,7
272,,1,3,2,1,,21,11,10
273,1,,5,,,1,27,19,8
275,2,2,5,9,1,,48,34,14
276,1,1,,,,1,10,6,4
277,2,3,3,3,2,4,47,23,24
278,1,1,1,,,,20,11,9
279,,1,,,,1,22,9,13
280,3,1,6,,1,1,23,18,5
281,1,2,4,,1,2,26,19,7
282,3,3,3,2,1,3,50,35,15
284,1,3,2,2,1,1,30,13,17
285,1,1,3,,,1,23,15,8
286,2,6,5,7,2,1,62,34,28
287,,3,4,4,1,1,44,23,21
288,1,1,4,,2,4,17,12,5
290,3,,2,,1,,21,11,10
292,3,1,3,,,2,35,27,8
294,,1,3,,,2,22,15,7
295,,1,3,,,3,15,7,8
296,3,1,4,,1,1,20,12,8
297,1,2,,3,3,2,37,18,19
298,,3,5,9,,,56,39,17
299,1,1,3,,,2,37,26,11
300,3,3,,,1,2,30,15,15
301,,1,1,7,2,,56,34,22
302,3,,4,,,1,17,11,6
303,2,,3,,,4,20,14,6
304,,2,,3,,3,36,22,14
305,3,,2,,,2,22,14,8
306,1,3,3,,1,,32,17,15
307,1,1,1,,,,20,10,10
308,2,1,4,3,1,2,49,33,16
309,1,1,,,,,19,12,7
310,3,,,,,,16,8,8
312,1,,1,,,,16,7,9
313,2,2,3,,,1,18,10,8
314,1,2,3,,1,4,43,31,12
315,,3,3,8,,3,51,34,17
316,,1,3,,1,2,29,15,14
317,,1,,,,3,23,16,7
318,,1,4,,1,,20,11,9
319,2,1,2,,,,22,16,6
321,,1,3,,3,,25,13,12
322,3,2,3,,1,,33,18,15
323,2,,,,,,8,4,4
324,,1,4,,1,3,16,8,8
325,,1,3,,,1,20,13,7
328,,1,2,,,3,14,6,8
329,2,2,4,,1,,37,25,12
330,3,1,2,,1,4,23,14,9
331,3,,,,,,17,10,7
332,3,1,3,2,,3,36,25,11
333,1,1,3,,,2,33,22,11
334,2,1,3,,,2,20,15,5
335,3,2,3,1,,4,29,17,12
336,2,2,4,,1,1,23,14,9
337,3,,3,,,4,17,13,4
338,2,,2,,1,3,16,7,9
340,,1,,,1,2,22,13,9
341,3,,2,,,3,17,14,3
342,2,1,2,,,1,22,17,5
343,3,,3,,,1,26,15,11
344,3,,2,1,1,,23,15,8
345,,1,2,2,3,3,27,14,13
346,1,1,,,1,4,15,6,9
347,3,,3,,1,1,17,10,7
348,2,1,3,2,3,1,27,17,10
350,3,1,2,,1,3,24,15,9
351,2,,2,,,,14,6,8
353,1,1,2,5,1,3,26,19,7
354,3,1,,,,1,21,17,4
355,,1,,,,2,17,9,8
356,1,1,4,,,2,25,13,12
357,2,,2,,,1,14,7,7
358,2,2,,,1,1,23,16,7
359,1,1,3,6,,2,37,18,19
360,,1,3,,2,,15,6,9
361,2,1,,2,1,2,30,16,14
362,,1,3,,,3,23,17,6
363,1,1,3,,1,2,22,13,9
364,2,1,4,,3,2,22,12,10
365,3,1,2,,,2,31,18,13
366,,1,2,5,,2,37,25,12
368,,1,,,1,3,18,11,7
369,1,,3,,2,,14,7,7
370,1,,3,,1,,9,5,4
371,2,1,3,,1,1,32,16,16
372,,2,2,,1,1,39,20,19
373,1,1,3,,,4,20,16,4
374,1,2,3,,1,1,20,6,14
375,1,1,1,1,,3,27,17,10
376,1,1,1,,,,17,8,9
377,1,,,,2,1,19,8,11
378,1,1,3,,1,4,17,11,6
379,,3,2,2,3,,39,18,21
381,,2,3,,,2,32,17,15
382,3,2,3,,,3,27,18,9
383,,2,2,,,2,22,11,11
384,,2,2,,3,3,33,16,17
386,,1,1,,,,22,13,9
387,,1,,,1,2,12,4,8
388,3,2,5,6,2,2,46,31,15
389,1,4,6,4,3,1,48,28,20
390,,1,3,,,3,13,9,4
391,3,1,2,,,2,22,12,10
392,1,2,3,,1,1,35,21,14
393,2,2,4,,,3,29,17,12
394,,2,,,,2,31,20,11
395,,2,2,4,1,1,32,20,12
396,3,2,,,,3,28,18,10
397,1,2,,,,1,19,9,10
398,3,1,3,,,4,34,19,15
399,,2,3,,2,1,24,7,17
400,,1,2,,4,2,28,11,17
401,3,,1,,,,11,7,4
402,1,,,,,,14,9,5
403,1,2,3,1,1,1,40,26,14
404,,3,3,8,1,3,59,42,17
405,,1,1,,,,26,13,13
406,3,2,2,4,,4,42,25,17
407,3,2,3,2,1,2,54,28,26
408,1,2,2,1,2,1,33,17,16
409,,1,3,,,3,23,16,7
410,2,4,3,,1,2,38,26,12
412,,1,2,4,1,2,37,20,17
413,2,1,3,,1,,24,14,10
414,,1,2,4,1,4,37,26,11
415,3,,,,,,15,8,7
416,,2,3,,1,,30,17,13
417,2,1,2,5,2,1,50,32,18
418,3,1,,,,1,13,9,4
419,,,,,1,1,11,3,8
420,1,1,2,1,,3,34,20,14
421,,4,6,6,2,3,59,32,27
422,,1,,,,3,26,16,10
423,2,,2,,1,2,35,22,13
424,1,2,5,9,1,,44,34,10
425,,1,4,2,2,2,21,12,9
426,1,,2,3,1,4,32,20,12
427,1,2,3,,1,1,40,21,19
428,,1,,,,,20,10,10
429,2,3,3,4,1,1,41,23,18
430,2,3,,3,1,1,37,21,16
431,2,2,,6,1,2,31,18,13
432,3,,3,,,1,16,8,8
433,1,,2,,,,6,6,0
434,,1,2,2,2,,24,11,13
435,1,2,1,7,1,,33,19,14
436,,1,3,,,2,22,15,7
437,3,1,4,2,2,1,38,23,15
438,3,,3,,,1,15,10,5
440,2,1,3,,,4,18,13,5
442,1,2,3,9,,2,46,27,19
443,,,3,,,1,23,16,7
444,2,2,2,5,1,4,35,21,14
445,,2,2,,,4,28,15,13
447,3,3,4,,,2,48,24,24
448,3,,1,,,2,14,10,4
449,,1,2,,2,2,28,10,18
450,,1,,,,,17,9,8
451,2,2,3,,1,,20,10,10
452,1,3,3,4,2,2,54,38,16
454,2,1,,,,1,15,10,5
456,3,5,6,5,2,2,63,39,24
457,,1,3,,3,2,28,16,12
458,2,1,2,,,4,27,18,9
459,3,3,3,8,,,49,33,16
461,2,2,6,,1,,36,19,17
462,2,2,5,,3,1,36,17,19
463,3,1,2,,1,3,30,20,10
464,,2,5,9,2,2,56,32,24
465,2,1,3,,,1,16,9,7
466,,1,1,,,1,17,11,6
467,2,1,3,,1,2,30,18,12
468,1,1,3,,,3,21,12,9
469,3,1,1,,,,21,12,9
470,1,2,3,,,1,32,22,10
471,,2,3,3,,4,39,20,19
472,1,3,3,6,1,3,44,28,16
475,2,2,3,2,,2,40,24,16
476,3,2,5,,3,3,26,16,10
477,1,1,3,,,2,27,19,8
479,2,2,3,7,2,,38,21,17
481,,2,3,3,1,1,31,18,13
483,,1,4,1,,1,33,16,17
484,2,2,3,5,,3,25,16,9
485,2,,1,,,,16,10,6
486,2,2,2,,,3,24,16,8
488,1,1,3,2,,2,25,19,6
489,,2,,,,,20,8,12
490,2,1,2,,1,1,23,14,9
491,,2,3,1,2,2,46,25,21
492,2,,3,,,2,18,10,8
493,,1,3,6,1,1,36,25,11
494,3,,,,,3,29,10,19
495,,3,1,,,3,24,12,12
497,,2,3,2,,4,29,18,11
498,,,1,,,,8,3,5
499,,2,,,,3,19,6,13
500,,2,3,8,3,4,74,39,35
501,,1,3,4,2,,41,22,19
502,2,1,1,,,,25,17,8
504,,1,2,,2,2,19,13,6
505,1,,,,,,16,9,7
506,3,,,,,1,14,10,4
507,2,1,,,1,2,33,22,11
508,1,2,3,5,,1,26,17,9
510,3,1,3,2,,4,57,42,15
511,,3,3,,3,,53,22,31
512,,3,7,8,5,3,78,53,25
513,1,1,3,4,1,,39,18,21
514,3,2,3,,,3,22,13,9
515,,1,3,,,2,30,21,9
516,2,3,,,,2,30,19,11
517,3,4,3,4,3,3,53,27,26
518,,1,3,3,2,1,22,12,10
519,1,1,3,,,3,25,19,6
520,1,2,3,4,,4,33,21,12
521,2,,,,,,17,11,6
522,2,3,5,4,3,2,53,34,19
523,3,1,3,7,2,1,30,22,8
524,2,,3,,1,4,23,16,7
525,2,,4,,1,2,17,14,3
526,2,1,2,1,,3,18,13,5
527,3,1,2,,,1,16,6,10
528,1,1,3,2,1,4,39,19,20
529,,2,2,,4,2,24,11,13
530,,1,3,2,,4,25,15,10
531,3,,1,,,,16,8,8
532,3,,1,,,,23,11,12
533,2,1,1,,,,19,10,9
535,3,3,3,7,1,1,44,23,21
536,,1,3,,,2,39,24,15
537,3,2,1,,1,2,28,10,18
538,2,1,3,5,,3,30,22,8
539,3,,1,,,,11,7,4
540,3,1,1,,,,19,10,9
541,1,1,1,,,,20,11,9
542,1,1,1,,,,16,9,7
543,3,1,1,,,,14,6,8
544,,2,,4,3,,47,22,25
546,2,1,3,3,,4,30,17,13
547,3,2,2,3,2,3,40,19,21
548,,1,2,1,,4,23,12,11
549,,4,8,13,2,4,103,65,38
550,,1,3,,,2,16,9,7
551,3,1,2,,1,1,26,15,11
553,1,2,1,,,,23,13,10
555,3,,2,,,2,27,18,9
556,1,1,2,,,1,28,20,8
557,,3,5,5,1,4,52,33,19
558,3,1,3,,,2,18,11,7
559,2,1,2,,,2,22,15,7
560,2,1,1,3,,3,32,22,10
561,3,1,3,,,4,16,11,5
562,3,1,2,5,1,1,27,15,12
563,,4,4,,1,4,26,11,15
564,3,3,5,8,2,4,52,33,19
565,1,2,2,,1,1,26,12,14
566,,1,3,,,2,24,14,10
568,,2,3,,,,17,7,10
569,,1,3,6,,3,38,30,8
571,2,,,2,1,3,37,22,15
572,2,1,2,,2,2,26,14,12
573,,2,3,,,3,20,11,9
574,1,3,3,,1,3,41,25,16
575,3,2,3,,3,,29,21,8
576,2,1,3,3,,1,28,17,11
577,3,1,2,4,,3,38,25,13
578,,,3,,,2,26,14,12
579,2,2,3,7,1,1,32,22,10
580,,1,2,,2,4,35,15,20
581,,2,2,2,2,3,33,19,14
582,2,3,4,,,4,28,17,11
583,3,,2,,,4,27,18,9
584,,,4,,,,22,14,8
585,2,,1,,,1,22,12,10
586,,2,3,3,1,4,55,37,18
587,2,2,3,3,1,2,38,27,11
588,2,,2,,2,3,28,13,15
589,1,1,3,,1,3,28,20,8
590,,1,3,3,2,4,36,19,17
591,,1,3,,1,,31,21,10
592,,1,,,,1,16,7,9
593,1,2,,7,3,,47,22,25
594,,1,2,,,,13,6,7
595,1,3,,,1,1,37,16,21
598,2,3,,6,2,1,54,36,18
599,3,,2,,1,2,32,22,10
600,3,1,3,,1,1,18,9,9
601,,2,3,,1,4,26,14,12
602,,1,4,3,2,2,25,13,12
603,1,1,3,,,1,19,10,9
604,3,,5,,1,1,28,17,11
605,,,3,,,,20,11,9
608,2,2,3,3,2,2,45,24,21
609,1,1,2,,,4,25,15,10
610,,3,5,4,1,,49,28,21
611,1,2,3,2,1,3,35,28,7
612,3,1,,,1,1,20,13,7
613,,1,4,6,1,3,33,20,13
614,,1,2,,,3,26,11,15
615,3,2,3,,,,35,20,15
616,,1,3,,,3,28,14,14
618,3,1,3,2,1,2,34,21,13
619,,1,2,5,1,,27,18,9
620,,,3,,,3,23,15,8
621,2,1,2,,,3,27,13,14
622,,4,3,3,1,1,39,23,16
623,3,1,4,4,1,4,38,24,14
624,3,2,2,5,,3,38,25,13
625,,,3,,1,1,24,12,12
627,2,1,3,,,4,32,22,10
628,3,1,3,4,2,1,39,20,19
629,1,,,,1,1,17,8,9
630,,2,4,4,1,,38,23,15
631,3,1,12,4,,2,44,28,16
632,,2,2,1,2,1,18,11,7
633,,1,,,,3,20,13,7
634,2,3,3,4,1,4,49,29,20
635,2,1,3,,,4,31,18,13
636,,2,3,,,2,21,16,5
637,,1,3,5,1,1,33,21,12
638,,,3,,1,1,34,20,14
639,,,4,3,,1,35,24,11
640,2,1,2,,1,1,25,12,13
