Store Number,Ship Date,Item Description,Shipping from,Tracking Number
9,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
9,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
13,TBD,Basket Clips,FedEx,TBD
13,TBD,RFID Labels,FedEx,TBD
17,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
17,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
19,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
19,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
30,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
30,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
34,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
34,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
37,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
37,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
48,TBD,Basket Clips,FedEx,TBD
48,TBD,RFID Labels,FedEx,TBD
59,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
59,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
69,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
69,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
73,TBD,Basket Clips,FedEx,TBD
73,TBD,RFID Labels,FedEx,TBD
79,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
79,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
82,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
82,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
92,TBD,Basket Clips,FedEx,TBD
92,TBD,RFID Labels,FedEx,TBD
95,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
95,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
122,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
122,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
152,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
152,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
188,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
188,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
202,TBD,Basket Clips,FedEx,TBD
202,TBD,RFID Labels,FedEx,TBD
206,5/31/2023,Basket Clips,FedEx,398969315657
206,5/31/2023,RFID Labels,FedEx,398969315657
217,5/31/2023,Basket Clips,FedEx,398969850711
217,5/31/2023,RFID Labels,FedEx,398969850711
228,5/31/2023,Basket Clips,FedEx,398974196220
228,5/31/2023,RFID Labels,FedEx,398974196220
265,TBD,Basket Clips,FedEx,TBD
265,TBD,RFID Labels,FedEx,TBD
266,5/31/2023,Basket Clips,FedEx,398970708796
266,5/31/2023,RFID Labels,FedEx,398970708796
267,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
267,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
284,5/31/2023,Basket Clips,FedEx,398973195169
284,5/31/2023,RFID Labels,FedEx,398973195169
286,5/31/2023,Basket Clips,FedEx,398973165041
286,5/31/2023,RFID Labels,FedEx,398973165041
300,TBD,Basket Clips,FedEx,TBD
300,TBD,RFID Labels,FedEx,TBD
301,TBD,Basket Clips,FedEx,TBD
301,TBD,RFID Labels,FedEx,TBD
309,TBD,Basket Clips,FedEx,TBD
309,TBD,RFID Labels,FedEx,TBD
310,TBD,Basket Clips,FedEx,TBD
310,TBD,RFID Labels,FedEx,TBD
315,TBD,Basket Clips,FedEx,TBD
315,TBD,RFID Labels,FedEx,TBD
316,TBD,Basket Clips,FedEx,TBD
316,TBD,RFID Labels,FedEx,TBD
324,TBD,Basket Clips,FedEx,TBD
324,TBD,RFID Labels,FedEx,TBD
337,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
337,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
338,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
338,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
371,TBD,Basket Clips,FedEx,TBD
371,TBD,RFID Labels,FedEx,TBD
386,TBD,Basket Clips,FedEx,TBD
386,TBD,RFID Labels,FedEx,TBD
394,TBD,Basket Clips,FedEx,TBD
394,TBD,RFID Labels,FedEx,TBD
402,TBD,Basket Clips,FedEx,TBD
402,TBD,RFID Labels,FedEx,TBD
403,TBD,Basket Clips,FedEx,TBD
403,TBD,RFID Labels,FedEx,TBD
406,TBD,Basket Clips,FedEx,TBD
406,TBD,RFID Labels,FedEx,TBD
409,TBD,Basket Clips,FedEx,TBD
409,TBD,RFID Labels,FedEx,TBD
415,TBD,Basket Clips,FedEx,TBD
415,TBD,RFID Labels,FedEx,TBD
416,TBD,Basket Clips,FedEx,TBD
416,TBD,RFID Labels,FedEx,TBD
421,5/31/2023,Basket Clips,FedEx,398973571265
421,5/31/2023,RFID Labels,FedEx,398973571265
426,TBD,Basket Clips,FedEx,TBD
426,TBD,RFID Labels,FedEx,TBD
472,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
472,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
492,TBD,Basket Clips,FedEx,TBD
492,TBD,RFID Labels,FedEx,TBD
513,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
513,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
518,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
518,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
531,TBD,Basket Clips,FedEx,TBD
531,TBD,RFID Labels,FedEx,TBD
533,TBD,Basket Clips,FedEx,TBD
533,TBD,RFID Labels,FedEx,TBD
537,BUNZL delivery,Basket Clips,BUNZL - Consolidated delivery,N/A
537,BUNZL delivery,RFID Labels,BUNZL - Consolidated delivery,N/A
543,TBD,Basket Clips,FedEx,TBD
543,TBD,RFID Labels,FedEx,TBD
545,TBD,Basket Clips,FedEx,TBD
545,TBD,RFID Labels,FedEx,TBD
552,TBD,Basket Clips,FedEx,TBD
552,TBD,RFID Labels,FedEx,TBD
566,TBD,Basket Clips,FedEx,TBD
