Facility,Outage Type,Status,Walmart Week,Outage Start Date,Outage Time,Outage Duration,Outage Time Zone,,Comms Notes
7067,Systems Outage Cancelled,Scheduled,13,April 23,12:30 a.m.,Up to four hours,Central,,Time: Do not enter military time. Enter times as a.m. and p.m.
6036,Systems Outage Cancelled,Scheduled,13,April 24,12:00 a.m.,Up to four hours,Central,,"Start Date: Spell out the month. Example: April, May, June"
6097,GLS 22.1 and Load Planner,Scheduled,13,April 24,11:00 p.m.,Four hours,Central,,Outage Types to Enter
6030,Systems Outage Cancelled,Scheduled,13,April 25,11:00 p.m.,Up to four hours,Central,,Systems Outage Cancelled
6082,Systems Outage Cancelled,Scheduled,13,April 25,12:30 a.m.,Up to four hours,Central,,Systems Outage Monthly Placeholder
6038,YMS 1.4 and DB Decoupling,Scheduled,13,April 26,11:00 p.m.,Three hours,Central,,GLS 22.1
6056,Systems Outage Cancelled,Scheduled,13,April 26,11:00 p.m.,Up to four hours,Central,,GLS 22.1 and Load Planner
6074,Systems Outage Cancelled,Cancelled,13,April 26,10:00 a.m.,-,Central,,GLS 22.3
6858,Systems Outage Cancelled,Scheduled,13,April 26,11:30 p.m.,Up to four hours,Central,,GLS 22.3 Pilot
7019,Systems Outage Cancelled,Scheduled,13,April 26,12:30 a.m.,Up to four hours,Central,,Load Planner Only
6017,YMS 1.4 and DB Decoupling,Scheduled,13,April 27,12:30 a.m.,Three hours,Central,,Smartcomm Integration
6025,Systems Outage Cancelled,Scheduled,13,April 27,1:00 a.m.,Up to four hours,Central,,YMS 1.4
6071,Systems Outage Cancelled,Scheduled,13,April 27,12:00 a.m.,Up to four hours,Central,,YMS 1.4 and DB Decoupling
6099,Systems Outage Cancelled,Scheduled,13,April 27,11:30 p.m.,Up to four hours,Central,,Status Types to Enter
6066,YMS 1.4 and DB Decoupling,Scheduled,13,April 28,1:30 a.m.,Three hours,Central,,Scheduled
6085,GLS 22.3 Pilot,Scheduled,14,May 01,12:00 a.m.,Three hours,Central,,Cancelled
7014,Systems Outage Monthly Placeholder,Scheduled,14,May 01,11:00 p.m.,Up to four hours,Central,,
7055,GLS 22.1 and Load Planner,Scheduled,14,May 01,10:30 p.m.,Four hours,Central,,
6039,YMS 1.4 and DB Decoupling,Scheduled,14,May 02,6:00 p.m.,Three hours,Central,,
6040,YMS 1.4 and DB Decoupling,Scheduled,14,May 02,11:30 p.m.,Three hours,Central,,
6043,Systems Outage Monthly Placeholder,Scheduled,14,May 02,12:00 a.m.,Up to four hours,Central,,
6084,GLS 22.1 and Load Planner,Scheduled,14,May 02,12:00 a.m.,Four hours,Central,,
6074,GLS 22.1,Scheduled,14,May 03,10:00 a.m.,Four hours,Central,,
7036,YMS 1.4 and DB Decoupling,Scheduled,14,May 03,1:00 a.m.,Three hours,Central,,
7038,Systems Outage Monthly Placeholder,Scheduled,14,May 03,12:30 a.m.,Up to four hours,Central,,
