Store Number,Current Delivery,Current MP Delivery Window,Updated Delivery,Updated MP Delivery Window,Comments
140,Same Day Delivery, 18:00-04:00,Same Day Delivery,16:00-04:00,
149,Same Day Delivery, 18:00-07:00,Same Day Delivery,16:00-04:00,
163,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
165,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
170,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
180,Same Day Delivery, 18:00-06:00,Same Day Delivery,18:00-04:00,
194,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
214,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
236,Same Day Delivery, 18:00-07:00,Same Day Delivery,16:00-04:00,
244,Same Day Delivery, 18:00-07:00,Same Day Delivery,16:00-04:00,
249,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
275,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
285,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
288,Same Day Delivery, 18:00-07:00,Same Day Delivery,16:00-04:00,
297,Same Day Delivery, 18:00-04:00,Same Day Delivery,16:00-04:00,
309,Same Day Delivery, 18:00-06:00,Next Day Delivery,16:00-04:00,"Your store will not receive an MP delivery on August 5, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
310,Same Day Delivery, 18:00-06:00,Next Day Delivery,16:00-04:00,"Your store will not receive an MP delivery on August 5, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
312,Same Day Delivery, 18:00-07:00,Next Day Delivery,16:00-04:00,"Your store will not receive an MP delivery on August 5, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
323,Same Day Delivery, 18:00-07:00,Same Day Delivery,16:00-04:00,
331,Same Day Delivery, 18:00-06:00,Next Day Delivery,16:00-04:00,"Your store will not receive an MP delivery on August 5, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
345,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
351,Same Day Delivery, 18:00-07:00,Same Day Delivery,16:00-04:00,
364,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
383,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
384,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
386,Same Day Delivery, 18:00-06:00,Next Day Delivery,16:00-04:00,"Your store will not receive an MP delivery on August 5, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
400,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
401,Same Day Delivery, 18:00-07:00,Next Day Delivery,16:00-04:00,"Your store will not receive an MP delivery on August 5, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
402,Same Day Delivery, 18:00-04:00,Next Day Delivery,16:00-04:00,"Your store will not receive an MP delivery on August 5, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
405,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
408,Same Day Delivery, 18:00-04:00,Same Day Delivery,16:00-04:00,
415,Same Day Delivery, 18:00-06:00,Next Day Delivery,16:00-04:00,"Your store will not receive an MP delivery on August 5, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
449,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
457,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
462,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
469,Same Day Delivery, 18:00-06:00,Next Day Delivery,16:00-04:00,"Your store will not receive an MP delivery on August 5, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
504,Same Day Delivery, 18:00-04:00,Same Day Delivery,16:00-04:00,
505,Same Day Delivery, 18:00-06:00,Next Day Delivery,16:00-04:00,"Your store will not receive an MP delivery on August 5, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
521,Same Day Delivery, 18:00-06:00,Next Day Delivery,16:00-04:00,"Your store will not receive an MP delivery on August 5, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
522,Same Day Delivery, 18:00-05:00,Same Day Delivery,16:00-04:00,
523,Same Day Delivery, 18:00-07:00,Same Day Delivery,16:00-04:00,
527,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
529,Same Day Delivery, 18:00-06:00,Same Day Delivery,16:00-04:00,
531,Same Day Delivery, 18:00-06:00,Next Day Delivery,16:00-04:00,"Your store will not receive an MP delivery on August 5, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
