Store,Fixture Type,Est Ship Date
1817,Spinner,"Monday, June 30, 2025"
1817,Endcap,"Monday, June 30, 2025"
1889,Spinner,"Monday, June 30, 2025"
1889,Endcap,"Monday, June 30, 2025"
1951,Spinner,"Monday, June 30, 2025"
1951,Endcap,"Monday, June 30, 2025"
2187,Endcap,"Monday, June 30, 2025"
1947,Spinner,"Monday, June 30, 2025"
1947,Endcap,"Monday, June 30, 2025"
2269,Spinner,"Monday, June 30, 2025"
2269,Endcap,"Monday, June 30, 2025"
5078,Spinner,"Monday, June 30, 2025"
5078,Endcap,"Monday, June 30, 2025"
2241,Spinner,"Monday, June 30, 2025"
2241,Endcap,"Monday, June 30, 2025"
2539,Spinner,"Monday, June 30, 2025"
2539,Endcap,"Monday, June 30, 2025"
2016,Spinner,"Monday, June 30, 2025"
2016,Endcap,"Monday, June 30, 2025"
1870,Spinner,"Monday, June 30, 2025"
1870,Endcap,"Monday, June 30, 2025"
2865,Spinner,"Monday, June 30, 2025"
2865,Endcap,"Monday, June 30, 2025"
5883,Spinner,"Monday, June 30, 2025"
5883,Endcap,"Monday, June 30, 2025"
2549,Spinner,"Monday, June 30, 2025"
2549,Endcap,"Monday, June 30, 2025"
4394,Spinner,"Monday, June 30, 2025"
4394,Endcap,"Monday, June 30, 2025"
3380,Spinner,"Monday, June 30, 2025"
3380,Endcap,"Monday, June 30, 2025"
2476,Spinner,"Monday, June 30, 2025"
2476,Endcap,"Monday, June 30, 2025"
2101,Spinner,"Monday, June 30, 2025"
2101,Endcap,"Monday, June 30, 2025"
3217,Spinner,"Monday, June 30, 2025"
3217,Endcap,"Monday, June 30, 2025"
3261,Spinner,"Monday, June 30, 2025"
3261,Endcap,"Monday, June 30, 2025"
2006,Spinner,"Monday, June 30, 2025"
2006,Endcap,"Monday, June 30, 2025"
3022,Endcap,"Monday, June 30, 2025"
1554,Spinner,"Monday, June 30, 2025"
1554,Endcap,"Monday, June 30, 2025"
3352,Spinner,"Monday, June 30, 2025"
3352,Endcap,"Monday, June 30, 2025"
1789,Spinner,"Monday, June 30, 2025"
1789,Endcap,"Monday, June 30, 2025"
5890,Endcap,"Monday, June 30, 2025"
2025,Spinner,"Monday, June 30, 2025"
2025,Endcap,"Monday, June 30, 2025"
1983,Spinner,"Monday, June 30, 2025"
1983,Endcap,"Monday, June 30, 2025"
1840,Spinner,"Monday, June 30, 2025"
1840,Endcap,"Monday, June 30, 2025"
1587,Spinner,"Monday, June 30, 2025"
1587,Endcap,"Monday, June 30, 2025"
3046,Endcap,"Monday, June 30, 2025"
5710,Spinner,"Monday, June 30, 2025"
5710,Endcap,"Monday, June 30, 2025"
3047,Endcap,"Monday, June 30, 2025"
3652,Spinner,"Monday, June 30, 2025"
3652,Endcap,"Monday, June 30, 2025"
5981,Endcap,"Monday, June 30, 2025"
4759,Endcap,"Monday, June 30, 2025"
5139,Spinner,"Monday, June 30, 2025"
5139,Endcap,"Monday, June 30, 2025"
1760,Spinner,"Monday, June 30, 2025"
1760,Endcap,"Monday, June 30, 2025"
2735,Spinner,"Monday, June 30, 2025"
2735,Endcap,"Monday, June 30, 2025"
3081,Spinner,"Monday, June 30, 2025"
3081,Endcap,"Monday, June 30, 2025"
2464,Spinner,"Monday, June 30, 2025"
2464,Endcap,"Monday, June 30, 2025"
2598,Spinner,"Monday, June 30, 2025"
2598,Endcap,"Monday, June 30, 2025"
5192,Spinner,"Monday, June 30, 2025"
5192,Endcap,"Monday, June 30, 2025"
1881,Spinner,"Monday, June 30, 2025"
1881,Endcap,"Monday, June 30, 2025"
1645,Spinner,"Monday, June 30, 2025"
1645,Endcap,"Monday, June 30, 2025"
1877,Endcap,"Monday, June 30, 2025"
2536,Spinner,"Monday, June 30, 2025"
2536,Endcap,"Monday, June 30, 2025"
5956,Spinner,"Monday, June 30, 2025"
5956,Endcap,"Monday, June 30, 2025"
5859,Endcap,"Monday, June 30, 2025"
5635,Endcap,"Monday, June 30, 2025"
1826,Spinner,"Monday, June 30, 2025"
1826,Endcap,"Monday, June 30, 2025"
1624,Spinner,"Monday, June 30, 2025"
1624,Endcap,"Monday, June 30, 2025"
1574,Spinner,"Monday, June 30, 2025"
1574,Endcap,"Monday, June 30, 2025"
3141,Endcap,"Monday, June 30, 2025"
3140,Endcap,"Monday, June 30, 2025"
2557,Spinner,"Monday, June 30, 2025"
2557,Endcap,"Monday, June 30, 2025"
3138,Endcap,"Monday, June 30, 2025"
5134,Endcap,"Monday, June 30, 2025"
3139,Endcap,"Monday, June 30, 2025"
2556,Spinner,"Monday, June 30, 2025"
2556,Endcap,"Monday, June 30, 2025"
1989,Spinner,"Monday, June 30, 2025"
1989,Endcap,"Monday, June 30, 2025"
2099,Endcap,"Monday, June 30, 2025"
2507,Spinner,"Monday, June 30, 2025"
2507,Endcap,"Monday, June 30, 2025"
5658,Endcap,"Monday, June 30, 2025"
5659,Endcap,"Monday, June 30, 2025"
5633,Endcap,"Monday, June 30, 2025"
2277,Spinner,"Monday, June 30, 2025"
2277,Endcap,"Monday, June 30, 2025"
5337,Spinner,"Monday, June 30, 2025"
5337,Endcap,"Monday, June 30, 2025"
5394,Spinner,"Monday, June 30, 2025"
5394,Endcap,"Monday, June 30, 2025"
5701,Spinner,"Monday, June 30, 2025"
5701,Endcap,"Monday, June 30, 2025"
5600,Endcap,"Monday, June 30, 2025"
2517,Spinner,"Monday, June 30, 2025"
2517,Endcap,"Monday, June 30, 2025"
2242,Spinner,"Monday, June 30, 2025"
2242,Endcap,"Monday, June 30, 2025"
3101,Endcap,"Monday, June 30, 2025"
5930,Spinner,"Monday, June 30, 2025"
5930,Endcap,"Monday, June 30, 2025"
5640,Endcap,"Monday, June 30, 2025"
2523,Spinner,"Monday, June 30, 2025"
2523,Endcap,"Monday, June 30, 2025"
4171,Spinner,"Monday, June 30, 2025"
4171,Endcap,"Monday, June 30, 2025"
2546,Spinner,"Monday, June 30, 2025"
