Store Number,Number of Scales,Tracking for Scales Shipment,Power/Data Install Date,Power/Data Install Vendor,Scale Install Date,Scale Install Vendor
2771,3,TBD,9/28/2023,Wachter,TBD,Hobart
2491,3,TBD,8/28/2023,Wachter,TBD,Hobart
5403,3,TBD,8/28/2023,Wachter,TBD,Hobart
1093,3,TBD,8/24/2023,Wachter,TBD,Hobart
1734,3,TBD,8/23/2023,Wachter,TBD,Hobart
1690,3,TBD,8/22/2023,Wachter,TBD,Hobart
2728,3,TBD,8/21/2023,Wachter,TBD,Hobart
3210,3,TBD,8/18/2023,Wachter,TBD,Hobart
1451,3,TBD,8/17/2023,Wachter,TBD,Hobart
775,3,TBD,8/14/2023,Wachter,TBD,Hobart
796,3,TBD,8/7/2023,Wachter,TBD,Hobart
5157,3,TBD,7/27/2023,Wachter,TBD,Hobart
1421,4,TBD,7/26/2023,Wachter,TBD,Hobart
1028,3,TBD,7/24/2023,Wachter,TBD,Hobart
603,3,TBD,7/24/2023,Wachter,TBD,Hobart
199,3,TBD,7/20/2023,Wachter,TBD,Hobart
1505,3,TBD,7/26/2023,Wachter,TBD,Hobart
1259,3,TBD,7/14/2023,Wachter,TBD,Hobart
1247,3,TBD,7/19/2023,Wachter,TBD,Hobart
1404,3,TBD,7/17/2023,Wachter,TBD,Hobart
3891,3,TBD,7/24/2023,Wachter,TBD,Hobart
1668,3,TBD,7/18/2023,Wachter,TBD,Hobart
3893,3,TBD,7/25/2023,Wachter,TBD,Hobart
5199,3,TBD,7/21/2023,Wachter,TBD,Hobart
1955,3,TBD,8/4/2023,Wachter,TBD,Hobart
5398,3,TBD,8/1/2023,Wachter,TBD,Hobart
3837,3,TBD,7/31/2023,Wachter,TBD,Hobart
1211,3,TBD,7/28/2023,Wachter,TBD,Hobart
301,3,780218983483; 780218985019; 780218986519; 780218987022,6/21/2023,Wachter,7/12/2023,Mettler - Toledo
316,3,780119460600; 780119461993; 780119462420; 780119464076,6/15/2023,Wachter,7/19/2023,Mettler - Toledo
5088,3,TBD,6/30/2023,Wachter,TBD,Hobart
588,3,780170243758; 780170244971; 780170245897; 780170247672,6/27/2023,Wachter,7/12/2023,Mettler - Toledo
335,3,780167855670; 780167857651; 780167859106; 780167860669,6/27/2023,Wachter,7/20/2023,Mettler - Toledo
1490,3,TBD,6/29/2023,Wachter,TBD,Hobart
5452,2,TBD,6/30/2023,Wachter,TBD,Hobart
5393,2,TBD,6/28/2023,Wachter,8/14/2023,Mettler - Toledo
328,3,TBD,7/31/2023,Wachter,TBD,Hobart
