store_nbr,Estimated In-store Week,Estimated Receipt Qty,Direct to Store Receipt Qty,Direct to Store PO Nbr
1,WK08,27,0,
2,WK08,29,95,
3,WK08,9,0,
4,WK08,32,95,
5,WK08,12,0,
7,WK08,1,0,
8,WK08,7,0,
9,WK08,10,0,
10,WK08,35,0,
11,WK08,50,0,
12,WK08,15,0,
13,WK08,13,0,
14,WK08,30,0,
15,WK08,27,105,
16,WK08,17,0,
17,WK08,18,0,
19,WK08,10,96,
20,WK08,34,0,
21,WK08,20,0,
22,WK08,15,0,
23,WK08,21,0,
25,WK08,4,0,
26,WK08,15,0,
27,WK08,19,0,
28,WK08,14,0,
30,WK08,8,0,
32,WK08,6,0,
34,WK08,8,0,
35,WK08,9,0,
35,WK10,1,0,
36,WK08,13,0,
37,WK08,12,118,
38,WK08,8,0,
39,WK08,12,0,
39,WK10,2,0,
40,WK08,23,0,
41,WK08,6,0,
42,WK08,6,0,
43,WK08,12,0,
45,WK08,7,0,
46,WK08,17,89,
47,WK08,4,0,
48,WK08,5,0,
49,WK08,9,0,
50,WK08,9,0,
52,WK08,15,0,
54,WK08,8,0,
56,WK08,16,83,
58,WK08,32,0,
59,WK08,37,0,
59,WK13,0,105,
60,WK08,18,0,
61,WK08,33,0,
63,WK08,15,0,
65,WK08,43,0,
66,WK08,43,0,
67,WK08,48,0,
69,WK08,19,97,
71,WK08,20,0,
72,WK08,8,0,
73,WK08,5,0,
75,WK08,6,0,
76,WK08,37,0,
77,WK08,10,0,
78,WK08,4,0,
79,WK08,39,0,
81,WK08,5,0,
82,WK08,13,96,
85,WK08,10,0,
86,WK08,34,0,
87,WK08,7,0,
88,WK08,7,0,
89,WK08,36,0,
90,WK08,14,83,
92,WK08,29,0,
93,WK08,5,0,
95,WK08,14,97,
96,WK08,9,0,
98,WK08,3,0,
99,WK08,9,0,
100,WK08,39,0,
101,WK08,26,0,
103,WK08,15,0,
104,WK08,14,0,
105,WK08,13,0,
107,WK08,14,0,
108,WK08,6,0,
109,WK08,8,0,
112,WK08,5,0,
113,WK08,13,0,
114,WK08,6,0,
117,WK08,21,0,
118,WK08,7,0,
119,WK08,32,0,
121,WK08,6,0,
122,WK08,11,0,
125,WK08,36,0,
126,WK08,3,0,
127,WK08,8,0,
128,WK08,9,0,
129,WK08,12,0,
131,WK08,13,102,
134,WK08,19,0,
135,WK08,12,0,
135,WK10,9,0,
137,WK08,14,0,
138,WK08,14,108,
139,WK08,23,0,
140,WK08,10,0,
141,WK08,15,0,
143,WK08,12,0,
144,WK08,37,0,
146,WK08,10,0,
147,WK08,27,0,
148,WK08,14,109,
149,WK08,5,0,
151,WK08,29,0,
152,WK08,27,82,
153,WK08,1,0,
154,WK08,20,0,
155,WK08,7,0,
157,WK08,18,0,
158,WK08,16,0,
159,WK08,3,0,
160,WK08,41,0,
161,WK08,22,0,
163,WK08,10,0,
165,WK08,7,0,
166,WK08,14,83,
167,WK08,8,0,
168,WK08,26,0,
170,WK08,5,0,
172,WK08,17,0,
173,WK08,22,0,
174,WK08,1,0,
177,WK08,31,0,
179,WK08,17,0,
180,WK08,10,0,
181,WK08,2,0,
182,WK08,5,0,
184,WK08,12,0,
184,WK10,1,0,
185,WK08,29,0,
186,WK08,13,0,
188,WK08,26,0,
189,WK08,9,0,
189,WK10,7,0,
189,WK11,1,0,
190,WK08,8,0,
192,WK08,12,0,
195,WK08,16,0,
195,WK10,1,0,
196,WK08,5,0,
202,WK08,6,0,
204,WK08,16,0,
205,WK08,11,0,
206,WK08,8,0,
207,WK08,6,0,
211,WK08,9,0,
212,WK08,7,0,
213,WK08,6,0,
214,WK08,34,0,
216,WK08,9,0,
217,WK08,6,0,
219,WK08,35,0,
220,WK08,12,0,
221,WK08,2,0,
222,WK08,3,0,
225,WK08,10,0,
226,WK08,10,0,
228,WK08,10,0,
230,WK08,7,0,
231,WK08,18,0,
232,WK08,19,0,
234,WK08,13,0,
236,WK08,8,0,
237,WK08,9,0,
238,WK08,25,0,
242,WK08,28,0,
243,WK08,7,0,
246,WK08,2,0,
247,WK08,8,0,
248,WK08,9,0,
249,WK08,8,0,
250,WK08,14,108,
251,WK08,24,0,
252,WK08,7,0,
256,WK08,7,0,
257,WK08,9,0,
258,WK08,5,0,
259,WK08,11,0,
260,WK08,7,0,
261,WK08,23,0,
262,WK08,19,0,
