Store Number,Market,Approved Installation Date,Planned Go-Live Date,Boxed Coin Delivery Date
1939,180,8/27/2024,8/28/2024,8/19/2024
1958,80,8/27/2024,8/28/2024,6/28/2024
3227,391,8/27/2024,8/28/2024,8/19/2024
3269,180,8/27/2024,8/28/2024,8/19/2024
5167,582,8/27/2024,8/28/2024,8/20/2024
823,345,8/27/2024,8/28/2024,8/20/2024
962,389,8/27/2024,8/28/2024,8/21/2024
1099,409,8/28/2024,8/29/2024,8/19/2024
1896,391,8/28/2024,8/29/2024,8/19/2024
2046,180,8/28/2024,8/29/2024,8/19/2024
2153,183,8/28/2024,8/29/2024,8/20/2024
2178,179,8/28/2024,8/29/2024,8/22/2024
2307,403,8/28/2024,8/29/2024,8/20/2024
2634,180,8/28/2024,8/29/2024,8/20/2024
2924,384,8/28/2024,8/29/2024,8/20/2024
3232,403,8/28/2024,8/29/2024,8/20/2024
395,80,8/28/2024,8/29/2024,7/1/2024
4696,582,8/28/2024,8/29/2024,8/20/2024
5270,582,8/28/2024,8/29/2024,8/20/2024
873,375,8/28/2024,8/29/2024,8/19/2024
1788,183,8/29/2024,8/30/2024,8/19/2024
1827,582,8/29/2024,8/30/2024,8/20/2024
1932,179,8/29/2024,8/30/2024,8/20/2024
2013,179,8/29/2024,8/30/2024,8/19/2024
2140,180,8/29/2024,8/30/2024,8/21/2024
2656,375,8/29/2024,8/30/2024,8/20/2024
397,80,8/29/2024,8/30/2024,7/1/2024
4068,582,8/29/2024,8/30/2024,8/20/2024
5123,391,8/29/2024,8/30/2024,8/19/2024
5763,403,8/29/2024,8/30/2024,8/20/2024
850,385,8/29/2024,8/30/2024,8/19/2024
986,388,8/29/2024,8/30/2024,8/21/2024
1954,183,8/30/2024,8/31/2024,8/19/2024
2143,179,8/30/2024,8/31/2024,8/19/2024
2183,180,8/30/2024,8/31/2024,8/22/2024
2293,585,8/30/2024,8/31/2024,8/19/2024
2511,582,8/30/2024,8/31/2024,8/20/2024
2659,183,8/30/2024,8/31/2024,8/21/2024
2763,569,8/30/2024,8/31/2024,7/1/2024
3208,582,8/30/2024,8/31/2024,8/20/2024
3423,385,8/30/2024,8/31/2024,8/20/2024
4208,401,8/30/2024,8/31/2024,8/20/2024
4335,391,8/30/2024,8/31/2024,8/19/2024
5076,179,8/30/2024,8/31/2024,8/19/2024
5235,403,8/30/2024,8/31/2024,8/20/2024
4676,570,8/30/2024,8/31/2024,8/19/2024
1200,391,8/31/2024,9/1/2024,8/26/2024
1856,179,8/31/2024,9/1/2024,8/26/2024
1868,180,8/31/2024,9/1/2024,8/26/2024
2047,179,8/31/2024,9/1/2024,8/26/2024
2202,180,8/31/2024,9/1/2024,8/26/2024
2207,403,8/31/2024,9/1/2024,8/27/2024
3620,403,8/31/2024,9/1/2024,8/26/2024
4438,582,8/31/2024,9/1/2024,8/27/2024
5049,380,8/31/2024,9/1/2024,8/26/2024
5350,403,8/31/2024,9/1/2024,8/27/2024
5809,80,8/31/2024,9/1/2024,6/28/2024
829,385,8/31/2024,9/1/2024,8/26/2024
3886,80,9/3/2024,9/4/2024,6/28/2024
458,78,9/3/2024,9/4/2024,7/1/2024
463,84,9/4/2024,9/5/2024,7/1/2024
5808,569,9/4/2024,9/5/2024,7/1/2024
3724,496,9/5/2024,9/6/2024,7/22/2024
5449,62,9/5/2024,9/6/2024,7/1/2024
595,569,9/5/2024,9/6/2024,7/1/2024
4466,562,9/6/2024,9/7/2024,6/18/2024
4577,542,9/6/2024,9/7/2024,7/16/2024
490,78,9/6/2024,9/7/2024,7/1/2024
864,28,9/6/2024,9/7/2024,7/22/2024
1316,439,9/9/2024,9/10/2024,8/30/2024
1592,205,9/9/2024,9/10/2024,
1749,183,9/9/2024,9/10/2024,
1931,440,9/9/2024,9/10/2024,
1936,196,9/9/2024,9/10/2024,9/3/2024
1994,187,9/9/2024,9/10/2024,9/3/2024
2192,436,9/9/2024,9/10/2024,9/2/2024
2228,154,9/9/2024,9/10/2024,9/2/2024
2332,181,9/9/2024,9/10/2024,
2358,196,9/9/2024,9/10/2024,
2504,188,9/9/2024,9/10/2024,9/2/2024
2530,181,9/9/2024,9/10/2024,9/2/2024
2639,181,9/9/2024,9/10/2024,9/3/2024
2644,204,9/9/2024,9/10/2024,
2681,180,9/9/2024,9/10/2024,
3019,490,9/9/2024,9/10/2024,
3127,490,9/9/2024,9/10/2024,9/2/2024
3268,440,9/9/2024,9/10/2024,
3824,585,9/9/2024,9/10/2024,9/2/2024
4734,585,9/9/2024,9/10/2024,
1366,440,9/10/2024,9/11/2024,8/30/2024
1798,205,9/10/2024,9/11/2024,
1908,440,9/10/2024,9/11/2024,8/30/2024
1984,154,9/10/2024,9/11/2024,9/2/2024
2055,183,9/10/2024,9/11/2024,
2079,196,9/10/2024,9/11/2024,8/30/2024
2100,196,9/10/2024,9/11/2024,
2224,181,9/10/2024,9/11/2024,9/2/2024
2351,188,9/10/2024,9/11/2024,9/2/2024
2398,183,9/10/2024,9/11/2024,
2424,187,9/10/2024,9/11/2024,9/2/2024
2510,440,9/10/2024,9/11/2024,
2758,181,9/10/2024,9/11/2024,9/3/2024
2892,376,9/10/2024,9/11/2024,9/2/2024
3126,490,9/10/2024,9/11/2024,
3334,187,9/10/2024,9/11/2024,
5097,204,9/10/2024,9/11/2024,
5334,376,9/10/2024,9/11/2024,9/2/2024
5376,204,9/10/2024,9/11/2024,
5957,585,9/10/2024,9/11/2024,
1698,183,9/11/2024,9/12/2024,
1752,204,9/11/2024,9/12/2024,
1946,187,9/11/2024,9/12/2024,
2097,188,9/11/2024,9/12/2024,9/2/2024
2125,380,9/11/2024,9/12/2024,9/2/2024
2127,440,9/11/2024,9/12/2024,8/30/2024
2130,183,9/11/2024,9/12/2024,
2138,181,9/11/2024,9/12/2024,
2289,154,9/11/2024,9/12/2024,9/3/2024
2417,196,9/11/2024,9/12/2024,
2522,196,9/11/2024,9/12/2024,8/30/2024
2682,181,9/11/2024,9/12/2024,9/3/2024
3128,490,9/11/2024,9/12/2024,
3313,376,9/11/2024,9/12/2024,
3632,205,9/11/2024,9/12/2024,
4403,187,9/11/2024,9/12/2024,9/2/2024
5090,440,9/11/2024,9/12/2024,8/30/2024
5159,204,9/11/2024,9/12/2024,
5444,436,9/11/2024,9/12/2024,
984,376,9/11/2024,9/12/2024,9/2/2024
1252,380,9/12/2024,9/13/2024,9/2/2024
1453,440,9/12/2024,9/13/2024,8/30/2024
1542,196,9/12/2024,9/13/2024,
1611,205,9/12/2024,9/13/2024,
1672,436,9/12/2024,9/13/2024,9/4/2024
1828,439,9/12/2024,9/13/2024,8/30/2024
2014,204,9/12/2024,9/13/2024,
2116,187,9/12/2024,9/13/2024,9/2/2024
2369,181,9/12/2024,9/13/2024,
2370,188,9/12/2024,9/13/2024,9/2/2024
2399,184,9/12/2024,9/13/2024,9/4/2024
2434,196,9/12/2024,9/13/2024,8/30/2024
2619,204,9/12/2024,9/13/2024,
3329,187,9/12/2024,9/13/2024,
3535,157,9/12/2024,9/13/2024,
3566,380,9/12/2024,9/13/2024,9/2/2024
3583,188,9/12/2024,9/13/2024,9/2/2024
4156,181,9/12/2024,9/13/2024,9/3/2024
4284,380,9/12/2024,9/13/2024,9/2/2024
4639,376,9/12/2024,9/13/2024,9/2/2024
1202,439,9/13/2024,9/14/2024,8/30/2024
1428,204,9/13/2024,9/14/2024,
1432,204,9/13/2024,9/14/2024,
1753,184,9/13/2024,9/14/2024,
1762,157,9/13/2024,9/14/2024,
1940,188,9/13/2024,9/14/2024,9/2/2024
1975,181,9/13/2024,9/14/2024,
1987,205,9/13/2024,9/14/2024,
1997,188,9/13/2024,9/14/2024,9/2/2024
2056,188,9/13/2024,9/14/2024,9/2/2024
2092,187,9/13/2024,9/14/2024,
2338,196,9/13/2024,9/14/2024,9/2/2024
2545,196,9/13/2024,9/14/2024,9/4/2024
3176,490,9/13/2024,9/14/2024,
3245,436,9/13/2024,9/14/2024,9/2/2024
3740,490,9/13/2024,9/14/2024,9/2/2024
4196,490,9/13/2024,9/14/2024,9/2/2024
4389,181,9/13/2024,9/14/2024,9/2/2024
5676,380,9/13/2024,9/14/2024,9/2/2024
1422,204,9/14/2024,9/15/2024,
1434,391,9/14/2024,9/15/2024,
1659,379,9/14/2024,9/15/2024,
1930,184,9/14/2024,9/15/2024,
2142,184,9/14/2024,9/15/2024,
2152,188,9/14/2024,9/15/2024,
2271,440,9/14/2024,9/15/2024,
2813,440,9/14/2024,9/15/2024,9/4/2024
2844,188,9/14/2024,9/15/2024,
5137,376,9/14/2024,9/15/2024,
905,379,9/14/2024,9/15/2024,
4288,379,9/16/2024,9/17/2024,9/2/2024
4747,490,9/16/2024,9/17/2024,9/2/2024
1231,379,9/17/2024,9/18/2024,9/2/2024
3867,379,9/17/2024,9/18/2024,
2223,585,9/18/2024,9/19/2024,
4567,379,9/18/2024,9/19/2024,9/2/2024
5341,379,9/19/2024,9/20/2024,9/2/2024
1045,379,9/20/2024,9/21/2024,9/2/2024
