Store,safety bowl div,Wk,Associate Material Handling,Associate Falls,Associate Falling Merchandise,Associate Other,Accident Free Week,Safety Meetings,Late Reporting,Total Points,YTD Points, Five Star ,Diff,Safety Bowl Div Rank
3164,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.84 ,0,1
4607,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.82 ,0,2
3870,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.78 ,0,3
7309,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.78 ,0,4
2835,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.78 ,1,5
7137,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.77 ,0,6
5702,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.77 ,0,7
3504,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.77 ,0,8
3935,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.77 ,0,9
5829,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.76 ,-1,10
3579,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.76 ,0,11
5094,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.76 ,0,12
4373,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.75 ,-1,13
998,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.75 ,0,14
5805,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.75 ,0,15
4619,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.75 ,0,16
7043,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.75 ,0,17
3442,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.75 ,0,18
2876,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.75 ,0,19
5257,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.75 ,0,20
4220,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.75 ,0,21
2686,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.75 ,0,22
5719,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.74 ,-2,23
4617,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.74 ,-1,24
5774,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.74 ,-1,25
6587,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.74 ,0,26
7206,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.74 ,0,27
5716,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.74 ,0,28
4618,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.74 ,0,29
3574,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.74 ,0,30
6786,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.74 ,0,31
3424,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.74 ,0,32
5306,Safety Sweep,38,3,1,2,1,7,0,0,14,42, 4.74 ,0,33
