0,1,2,3,4
STORE #,STORE TYPE,CITY,STATE,MDG FINAL
1,Supercenter,ROGERS,AR,FULL
2,Supercenter,HARRISON,AR,QTR
3,Supercenter,COMMERCE,GA,FULL
4,Supercenter,SILOAM SPRINGS,AR,HALF
5,Supercenter,CONWAY,AR,FULL
7,Supercenter,SHERWOOD,AR,FULL
8,Supercenter,MORRILTON,AR,HALF
9,Supercenter,SIKESTON,MO,FULL
10,Supercenter,TAHLEQUAH,OK,QTR
11,Supercenter,MOUNTAIN HOME,AR,FULL
12,Supercenter,CLAREMORE,OK,FULL
13,Supercenter,CARTHAGE,MO,HALF
14,Supercenter,LEBANON,MO,FULL
15,Supercenter,WEST PLAINS,MO,HALF
16,Supercenter,VAN BUREN,AR,FULL
17,Supercenter,NEOSHO,MO,HALF
18,Supercenter,NEWPORT,AR,HALF
19,Supercenter,POPLAR BLUFF,MO,FULL
20,Supercenter,CLINTON,MO,FULL
21,Supercenter,SAINT ROBERT,MO,FULL
22,Supercenter,PRYOR,OK,FULL
23,Supercenter,RUSTON,LA,HALF
24,Supercenter,JACKSONVILLE,AR,FULL
25,Supercenter,MEXICO,MO,FULL
26,Supercenter,LEAVENWORTH,KS,FULL
27,Supercenter,SALEM,MO,QTR
28,Supercenter,MIAMI,OK,HALF
29,Supercenter,JEFFERSON CITY,MO,FULL
30,Supercenter,DEXTER,MO,FULL
31,Supercenter,POTEAU,OK,FULL
32,Wal-Mart,BRANSON,MO,QTR
33,Supercenter,NASHVILLE,AR,QTR
34,Supercenter,NEVADA,MO,FULL
35,Supercenter,MANHATTAN,KS,FULL
36,Supercenter,PARAGOULD,AR,FULL
37,Supercenter,FARMINGTON,MO,FULL
38,Supercenter,IDABEL,OK,HALF
39,Supercenter,FORT SCOTT,KS,FULL
40,Supercenter,MOBERLY,MO,FULL
41,Supercenter,BARTLESVILLE,OK,FULL
42,Supercenter,COFFEYVILLE,KS,QTR
43,Supercenter,JUNCTION CITY,KS,FULL
44,Wal-Mart,ELDON,MO,QTR
45,Supercenter,JONESBORO,AR,QTR
46,Supercenter,BOLIVAR,MO,FULL
47,Supercenter,SALLISAW,OK,HALF
48,Supercenter,MONETT,MO,HALF
49,Supercenter,HUGO,OK,HALF
50,Supercenter,VINITA,OK,HALF
51,Supercenter,FULTON,MO,QTR
52,Supercenter,HOT SPRINGS,AR,QTR
55,Supercenter,BOONEVILLE,AR,QTR
56,Supercenter,AVA,MO,QTR
58,Supercenter,RUSSELLVILLE,AR,FULL
59,Supercenter,JOPLIN,MO,FULL
60,Supercenter,TROY,MO,FULL
61,Supercenter,WARRENSBURG,MO,QTR
62,Supercenter,BLYTHEVILLE,AR,FULL
63,Supercenter,WAGONER,OK,QTR
64,Supercenter,BROWNSVILLE,TN,FULL
65,Supercenter,SULLIVAN,MO,HALF
66,Supercenter,CLARKSVILLE,AR,QTR
67,Supercenter,MENA,AR,QTR
68,Supercenter,WYNNE,AR,HALF
69,Supercenter,FESTUS,MO,FULL
70,Supercenter,WEST MEMPHIS,AR,HALF
71,Supercenter,POCAHONTAS,AR,FULL
72,Supercenter,PITTSBURG,KS,FULL
73,Supercenter,SAPULPA,OK,FULL
74,Supercenter,OSCEOLA,AR,QTR
75,Supercenter,PINEVILLE,LA,FULL
76,Supercenter,BERRYVILLE,AR,QTR
77,Supercenter,TAYLOR,TX,FULL
78,Supercenter,MARSHFIELD,MO,FULL
79,Supercenter,JOPLIN,MO,FULL
80,Supercenter,COLUMBIA,MO,FULL
81,Supercenter,STILWELL,OK,QTR
82,Supercenter,PERRYVILLE,MO,HALF
83,Supercenter,MAGNOLIA,AR,QTR
85,Supercenter,BENTON,AR,HALF
86,Supercenter,SPRINGFIELD,MO,FULL
87,Supercenter,MINDEN,LA,FULL
88,Supercenter,MOUNTAIN GROVE,MO,HALF
89,Supercenter,CAMDENTON,MO,FULL
90,Supercenter,GROVE,OK,HALF
91,Supercenter,FORREST CITY,AR,QTR
92,Supercenter,AURORA,MO,HALF
93,Supercenter,COVINGTON,TN,FULL
94,Supercenter,MILLINGTON,TN,HALF
95,Supercenter,DESLOGE,MO,FULL
96,Supercenter,HARRISONVILLE,MO,FULL
97,Supercenter,RIPLEY,TN,HALF
98,Supercenter,BASTROP,LA,FULL
99,Supercenter,UNION,MO,QTR
100,Supercenter,BENTONVILLE,AR,HALF
101,Supercenter,ROLLA,MO,FULL
102,Supercenter,STUTTGART,AR,QTR
103,Supercenter,SHAWNEE,OK,FULL
104,Supercenter,MILAN,TN,FULL
105,Supercenter,CORINTH,MS,QTR
106,Supercenter,FULTON,KY,QTR
107,Supercenter,MARTIN,TN,HALF
108,Supercenter,GUTHRIE,OK,FULL
109,Supercenter,CAMERON,MO,FULL
110,Supercenter,WINTER GARDEN,FL,FULL
111,Supercenter,CHANUTE,KS,FULL
112,Supercenter,STARKVILLE,MS,HALF
113,Supercenter,CHICKASHA,OK,FULL
114,Supercenter,BOONEVILLE,MS,QTR
115,Supercenter,WEST POINT,MS,FULL
117,Wal-Mart,BROKEN BOW,OK,QTR
118,Supercenter,AMORY,MS,HALF
119,Supercenter,BATESVILLE,AR,FULL
120,Supercenter,HUMBOLDT,TN,FULL
121,Supercenter,OKMULGEE,OK,FULL
122,Supercenter,JACKSON,MO,QTR
123,Supercenter,SEMINOLE,OK,QTR
124,Supercenter,LITTLE ROCK,AR,FULL
125,Supercenter,FORT SMITH,AR,FULL
126,Supercenter,LITTLE ROCK,AR,FULL
127,Supercenter,MALVERN,AR,HALF
128,Supercenter,JONESBORO,AR,HALF
129,Supercenter,ARDMORE,OK,HALF
130,Supercenter,MUSKOGEE,OK,FULL
131,Supercenter,MOUNT PLEASANT,TX,FULL
132,Supercenter,KINGFISHER,OK,QTR
133,Supercenter,ASHDOWN,AR,QTR
134,Supercenter,ELK CITY,OK,FULL
135,Supercenter,CHILLICOTHE,MO,FULL
137,Supercenter,STILLWATER,OK,FULL
138,Supercenter,SPRINGFIELD,MO,FULL
139,Supercenter,PURCELL,OK,FULL
140,Supercenter,LUFKIN,TX,FULL
141,Supercenter,FORT SMITH,AR,FULL
143,Supercenter,BENTON,KY,FULL
144,Supercenter,FAYETTEVILLE,AR,FULL
145,Supercenter,BOWLING GREEN,MO,HALF
146,Supercenter,GILMER,TX,QTR
147,Supercenter,DENISON,TX,QTR
148,Supercenter,PARIS,TX,QTR
149,Supercenter,JONESBORO,LA,QTR
150,Supercenter,WOODWARD,OK,FULL
151,Supercenter,MCALESTER,OK,FULL
152,Supercenter,DE SOTO,MO,FULL
153,Supercenter,NEW ALBANY,MS,HALF
154,Supercenter,ABINGDON,VA,FULL
155,Supercenter,SENATOBIA,MS,HALF
157,Supercenter,SEARCY,AR,FULL
158,Supercenter,BONHAM,TX,HALF
159,Supercenter,COLUMBIA,MO,FULL
160,Supercenter,ASH FLAT,AR,QTR
161,Supercenter,HUNTINGDON,TN,QTR
162,Supercenter,ANADARKO,OK,HALF
