Store,Start Date and Time,End Date and Time
4558,2/23/2024 10:00,3/19/2024 16:00
4588,2/23/2024 10:00,3/19/2024 16:00
4627,2/23/2024 10:00,3/19/2024 16:00
5036,2/23/2024 10:00,3/19/2024 16:00
5116,2/23/2024 10:00,3/19/2024 16:00
5162,2/23/2024 10:00,3/19/2024 16:00
5191,2/23/2024 10:00,3/19/2024 16:00
5210,2/23/2024 10:00,3/19/2024 16:00
5252,2/23/2024 10:00,3/19/2024 16:00
5260,2/23/2024 10:00,3/19/2024 16:00
5266,2/23/2024 10:00,3/19/2024 16:00
5275,2/23/2024 10:00,3/19/2024 16:00
5287,2/23/2024 10:00,3/19/2024 16:00
5288,2/23/2024 10:00,3/19/2024 16:00
5325,2/23/2024 10:00,3/19/2024 16:00
5363,2/23/2024 10:00,3/19/2024 16:00
5388,2/23/2024 10:00,3/19/2024 16:00
5420,2/23/2024 10:00,3/19/2024 16:00
5428,2/23/2024 10:00,3/19/2024 16:00
5641,2/23/2024 10:00,3/19/2024 16:00
5672,2/23/2024 10:00,3/19/2024 16:00
5676,2/23/2024 10:00,3/19/2024 16:00
5764,2/23/2024 10:00,3/19/2024 16:00
5823,2/23/2024 10:00,3/19/2024 16:00
5871,2/23/2024 10:00,3/19/2024 16:00
5912,2/23/2024 10:00,3/19/2024 16:00
5930,2/23/2024 10:00,3/19/2024 16:00
5954,2/23/2024 10:00,3/19/2024 16:00
6397,2/23/2024 10:00,3/19/2024 16:00
6579,2/23/2024 10:00,3/19/2024 16:00
6963,2/23/2024 10:00,3/19/2024 16:00
