STORE_NBR,ITEM_NBR,ITEM1_DESC,CURRENT_RTL
19,675625453,HELLO KITTY CRY ER,8.88
21,675562014,HELLOKITTY PLSH KYCH,9.88
21,675562021,STITCH DIARY KEYCH,9.88
21,676314867,HELLOKITTY CLIP 4PC,7.88
21,675562005,STITCH/ANGEL KEYCHN,9.88
21,675625455,HELLOKITTY EAR SET,7.88
21,675562821,HKITTY/KEROPPI KYCH,8.88
21,675562075,HELLO KITTY BFF PDS,8.88
21,675562357,JACK PLUSH KEYCHAIN,9.88
21,675562016,MYMELODY PLUSH KEYCH,9.88
21,675562064,STITCH/ANGEL BFF PD,8.88
21,675625465,DEADPL/WLVERNE BFFPD,8.88
21,675562524,STITCH BOW CLIP SET,8.88
21,675677762,KUROMI PLUSH KEYCH,9.88
21,675562002,SNOOPY BFF KEYCHAIN,8.88
21,675562028,HELLOKITTY BFF KEYCH,9.88
21,675625453,HELLO KITTY CRY ER,8.88
21,675562010,HELLOKITTY KEYCH BAG,9.88
21,675562001,STITCH/ANGEL KEYCHN,8.88
21,675562083,STITCH CRYSTAL PEND,8.88
21,675562099,HELLO KITTY CRYS ER,8.88
21,675562057,HKITTY CRYSTAL PD,8.88
21,675562121,HELLO KITTY PD/ER,7.88
21,675677756,STITCH KEYCHAIN BAG,9.88
21,675562685,HELLOKITTY SCRUNCHIE,7.88
21,675561998,CHEER BEAR KEYCHAIN,8.88
21,675562009,HKITTY POMPOM KEYCH,9.88
21,675562097,KUROMI HOOP EARRING,7.88
21,675677758,HELLOKITTY BFF KEYCH,9.88
22,675562123,HELLOKITTY HRT PD/ER,7.88
22,676314867,HELLOKITTY CLIP 4PC,7.88
22,675625453,HELLO KITTY CRY ER,8.88
22,675562524,STITCH BOW CLIP SET,8.88
22,675562005,STITCH/ANGEL KEYCHN,9.88
22,675562083,STITCH CRYSTAL PEND,8.88
22,675625455,HELLOKITTY EAR SET,7.88
22,675562685,HELLOKITTY SCRUNCHIE,7.88
22,675677762,KUROMI PLUSH KEYCH,9.88
22,675562001,STITCH/ANGEL KEYCHN,8.88
22,675561998,CHEER BEAR KEYCHAIN,8.88
22,675562014,HELLOKITTY PLSH KYCH,9.88
22,675562009,HKITTY POMPOM KEYCH,9.88
22,675562016,MYMELODY PLUSH KEYCH,9.88
22,675562002,SNOOPY BFF KEYCHAIN,8.88
22,675562097,KUROMI HOOP EARRING,7.88
22,675562821,HKITTY/KEROPPI KYCH,8.88
22,675562028,HELLOKITTY BFF KEYCH,9.88
22,675562021,STITCH DIARY KEYCH,9.88
22,675625465,DEADPL/WLVERNE BFFPD,8.88
22,675562057,HKITTY CRYSTAL PD,8.88
22,675677758,HELLOKITTY BFF KEYCH,9.88
22,675562010,HELLOKITTY KEYCH BAG,9.88
22,675562121,HELLO KITTY PD/ER,7.88
22,675677756,STITCH KEYCHAIN BAG,9.88
23,675562591,STITCH CLIP SET 6PCS,7.88
23,675562123,HELLOKITTY HRT PD/ER,7.88
23,675562121,HELLO KITTY PD/ER,7.88
23,675561998,CHEER BEAR KEYCHAIN,8.88
23,675562075,HELLO KITTY BFF PDS,8.88
23,675562057,HKITTY CRYSTAL PD,8.88
23,675562524,STITCH BOW CLIP SET,8.88
23,675562021,STITCH DIARY KEYCH,9.88
23,675677762,KUROMI PLUSH KEYCH,9.88
23,675562014,HELLOKITTY PLSH KYCH,9.88
23,675562009,HKITTY POMPOM KEYCH,9.88
23,675562097,KUROMI HOOP EARRING,7.88
23,675562821,HKITTY/KEROPPI KYCH,8.88
23,675625465,DEADPL/WLVERNE BFFPD,8.88
23,675562357,JACK PLUSH KEYCHAIN,9.88
23,675625453,HELLO KITTY CRY ER,8.88
23,675625455,HELLOKITTY EAR SET,7.88
23,675562002,SNOOPY BFF KEYCHAIN,8.88
23,675562064,STITCH/ANGEL BFF PD,8.88
23,675677758,HELLOKITTY BFF KEYCH,9.88
23,675562010,HELLOKITTY KEYCH BAG,9.88
23,675562685,HELLOKITTY SCRUNCHIE,7.88
23,675562001,STITCH/ANGEL KEYCHN,8.88
23,676314867,HELLOKITTY CLIP 4PC,7.88
23,675562016,MYMELODY PLUSH KEYCH,9.88
23,675562083,STITCH CRYSTAL PEND,8.88
