Location Number,June 3 Hours,Week 19 (6/4-5) Additional Hours
377,16,33
525,13,28
840,16,33
920,16,33
998,13,28
2226,13,28
2328,13,28
2391,13,28
2392,13,28
2393,13,28
2394,13,28
2395,13,28
2396,8,18
2397,13,28
2406,13,28
2414,13,28
2425,16,33
2431,16,33
2433,13,28
2442,13,28
2451,13,28
2465,16,33
2468,13,28
2486,13,28
2487,13,28
2488,16,33
2499,13,28
2590,13,28
2632,13,28
2685,13,28
2686,16,33
2689,13,28
2699,16,33
2731,16,33
2741,13,28
2742,13,28
2743,13,28
2744,13,28
2745,13,28
2773,16,33
2801,16,33
2826,13,28
2835,13,28
2839,13,28
2840,16,33
2858,16,33
2870,16,33
2875,13,28
2876,13,28
2877,13,28
2878,13,28
2880,13,28
2887,13,28
2907,13,28
2919,16,33
2930,13,28
2940,16,33
2944,16,33
2974,13,28
2975,13,28
2976,13,28
2977,13,28
2979,13,28
2981,13,28
2984,16,33
2995,13,28
2998,13,28
3011,13,28
3013,13,28
3015,13,28
3019,13,28
3022,13,28
3023,13,28
3026,13,28
3042,13,28
3043,16,33
3046,13,28
3047,13,28
3049,13,28
3050,13,28
3062,13,28
3066,13,28
3069,13,28
3070,13,28
3071,13,28
3072,13,28
3074,13,28
3082,13,28
3083,13,28
3084,13,28
3090,13,28
3094,13,28
3098,13,28
3099,8,18
3101,13,28
3104,13,28
3110,13,28
3111,13,28
3123,13,28
3126,13,28
3127,13,28
3128,13,28
3131,13,28
3132,13,28
3133,8,18
3135,13,28
3138,13,28
3139,13,28
3140,13,28
3141,13,28
3143,13,28
3144,13,28
3145,8,18
3146,13,28
3147,13,28
3152,13,28
3153,13,28
3154,13,28
3155,8,18
3156,13,28
3157,13,28
3161,13,28
3162,13,28
3164,13,28
3166,13,28
3168,13,28
3172,13,28
3173,13,28
3175,13,28
3176,13,28
3178,13,28
3179,13,28
3183,13,28
3184,13,28
3185,13,28
3198,13,28
3199,13,28
3202,16,33
3204,16,33
3238,13,28
3275,13,28
3287,13,28
3299,13,28
3314,13,28
3315,13,28
3317,13,28
3327,16,33
3330,13,28
3338,16,33
3340,13,28
3341,13,28
3354,13,28
3355,13,28
3356,13,28
3357,13,28
3359,13,28
3377,13,28
3385,13,28
3392,13,28
3411,16,33
3414,16,33
3419,13,28
3424,13,28
3442,16,33
3449,16,33
3450,16,33
3452,13,28
3456,16,33
3457,13,28
3479,13,28
3504,13,28
3508,13,28
3509,13,28
3512,13,28
3517,13,28
