Mkt,Wk,Reg,Associate Material Handling,Associate Falls,Associate Falling Merchandise,Associate Other,Accident Free Week,Safety Meetings,Late Reporting,Points For the Week,YTD Points, Five Star ,Sales Growth,BU Rank,Company Rank
8,38,14,2,1,3,1,0,0,0,7,35, 4.36 ,11.79%,1,2
30,38,3,2,1,3,1,7,0,0,14,34, 4.32 ,7.45%,2,6
322,38,42,2,1,3,0,0,0,0,6,27, 4.40 ,12.56%,3,20
118,38,9,2,0,3,0,0,0,0,5,25, 4.52 ,15.98%,4,43
145,38,12,2,0,3,0,0,0,0,5,25, 4.37 ,9.09%,5,47
2,38,14,2,0,3,0,0,0,0,5,24, 4.45 ,12.43%,6,59
329,38,12,2,0,3,0,0,0,0,5,24, 4.45 ,11.96%,7,60
112,38,9,2,1,0,0,0,0,0,3,24, 4.45 ,10.08%,8,61
22,38,2,0,0,3,1,0,0,0,4,24, 4.29 ,11.97%,9,70
4,38,12,2,1,3,1,7,0,0,14,23, 4.56 ,4.21%,10,72
105,38,9,2,0,3,0,0,0,0,5,23, 4.46 ,9.32%,11,76
23,38,2,0,1,3,1,0,0,0,5,23, 4.35 ,7.68%,12,87
10,38,14,2,1,0,1,0,0,0,4,22, 4.47 ,10.60%,13,89
328,38,42,2,1,0,0,0,0,0,3,22, 4.45 ,12.51%,14,90
109,38,9,0,1,0,0,0,0,0,1,21, 4.54 ,4.27%,15,98
39,38,2,2,0,3,1,0,0,-3,3,21, 4.44 ,11.72%,16,100
90,38,9,0,0,3,0,0,0,0,3,20, 4.54 ,12.12%,17,105
326,38,42,2,1,0,1,0,0,-3,1,20, 4.42 ,13.57%,18,115
127,38,42,2,0,0,0,0,0,0,2,19, 4.48 ,14.46%,19,122
20,38,2,2,1,3,1,7,0,0,14,19, 4.43 ,10.44%,20,125
13,38,14,0,0,3,0,0,0,-3,0,19, 4.43 ,8.42%,21,126
21,38,2,2,1,3,1,0,0,0,7,19, 4.38 ,9.24%,22,127
327,38,42,0,0,3,1,0,0,-3,1,19, 4.32 ,12.08%,23,128
137,38,12,0,0,3,0,0,0,-3,0,18, 4.48 ,13.70%,24,131
120,38,2,2,1,3,1,7,0,0,14,18, 4.37 ,11.58%,25,139
144,38,12,2,0,3,0,0,0,-3,2,18, 4.35 ,8.01%,26,140
138,38,14,2,0,3,1,0,0,0,6,17, 4.50 ,4.11%,27,149
135,38,42,2,1,3,0,0,0,0,6,16, 4.53 ,12.70%,28,175
553,38,9,2,0,3,1,0,0,0,6,16, 4.49 ,2.22%,29,179
89,38,9,0,1,3,0,0,0,0,4,16, 4.44 ,8.58%,30,184
122,38,2,0,0,3,1,0,0,0,4,16, 4.39 ,9.53%,31,191
123,38,2,2,1,3,0,0,0,0,6,16, 4.37 ,12.15%,32,193
110,38,9,0,0,3,0,0,0,0,3,15, 4.62 ,13.35%,33,196
11,38,14,0,1,3,0,0,0,0,4,15, 4.48 ,10.16%,34,202
35,38,2,2,1,3,1,0,0,0,7,15, 4.40 ,11.22%,35,214
97,38,3,2,0,3,1,0,0,0,6,15, 4.40 ,8.33%,36,215
153,38,12,0,0,3,0,0,0,0,3,15, 4.38 ,16.04%,37,218
323,38,42,2,1,0,1,0,0,0,4,15, 4.32 ,16.12%,38,224
3,38,14,0,0,3,0,0,0,0,3,15, 4.30 ,9.49%,39,226
24,38,2,0,1,3,1,0,0,0,5,14, 4.50 ,7.40%,40,235
136,38,12,0,1,3,1,0,0,0,5,14, 4.50 ,1.97%,41,236
119,38,2,2,1,0,0,0,0,0,3,14, 4.36 ,11.58%,42,245
98,38,3,2,1,0,1,0,0,0,4,13, 4.47 ,11.77%,43,261
111,38,9,2,1,3,0,0,0,0,6,13, 4.41 ,4.41%,44,276
94,38,3,0,1,3,0,0,0,0,4,13, 4.39 ,14.50%,45,279
149,38,12,0,0,3,0,0,0,0,3,13, 4.38 ,10.89%,46,280
19,38,2,2,0,3,0,0,0,0,5,13, 4.37 ,6.61%,47,284
93,38,3,2,1,0,0,0,0,0,3,13, 4.35 ,9.70%,48,287
324,38,42,2,0,0,0,0,0,0,2,13, 4.33 ,12.90%,49,291
147,38,12,2,1,3,0,0,0,0,6,12, 4.50 ,11.92%,50,301
121,38,2,2,0,3,1,0,0,0,6,12, 4.48 ,11.89%,51,305
325,38,42,2,1,3,0,0,0,-3,3,12, 4.47 ,12.80%,52,307
151,38,12,0,1,3,0,0,0,0,4,12, 4.46 ,13.23%,53,311
92,38,9,0,0,3,0,0,0,0,3,12, 4.41 ,3.53%,54,320
16,38,3,0,0,3,1,0,0,-3,1,12, 4.33 ,1.71%,55,332
811,38,29,0,0,0,0,0,0,0,0,11, 4.79 ,11.03%,56,335
18,38,2,2,0,0,1,0,0,0,3,11, 4.56 ,11.08%,57,337
115,38,9,2,0,3,1,0,0,0,6,11, 4.50 ,13.84%,58,344
15,38,14,0,1,3,1,0,0,0,5,11, 4.49 ,6.71%,59,346
5,38,12,2,0,3,1,0,0,0,6,11, 4.41 ,13.45%,60,355
26,38,2,2,1,3,0,0,0,0,6,11, 4.41 ,10.84%,61,356
101,38,3,0,0,0,0,0,0,0,0,11, 4.38 ,10.26%,62,361
334,38,42,2,1,3,0,0,0,0,6,11, 4.36 ,10.81%,63,362
7,38,14,0,0,3,0,0,0,0,3,10, 4.45 ,12.59%,64,372
107,38,9,0,1,3,0,0,0,-3,1,10, 4.44 ,6.71%,65,376
801,38,29,0,1,0,0,0,0,0,1,9, 4.80 ,12.77%,66,389
91,38,9,2,1,3,0,0,0,-6,0,9, 4.45 ,7.95%,67,394
