Club List,Grower,Rack QTY,RECEIPT UNITS WK 30,Wk 30 Racks,RECEIPT UNITS WK  31,Wk 31 racks,RECEIPT UNITS WK 32,Wk 32 racks,RECEIPT UNITS WK 33,Wk 33 racks ,RECEIPT UNITS WK 34,Wk 34 Racks,RECEIPT WUNITS K 35,Wk 35 Racks,RECEIPT UNITS WK 36,Wk 36 Racks,RECEIPT  UNITS WK 37,Wk 37 Racks,RECEIPT UNITS WK 38,Wk 38 Racks
6260,south central ,12,146,12,30,3,269,22,214,18,119,10,189,16,0,0,0,0,0,0.0
6329,south central ,12,177,15,112,9,268,22,183,15,236,20,304,25,-8,-1,0,0,0,0.0
6377,south central ,12,243,20,52,4,409,34,354,30,148,12,287,24,-3,0,0,0,0,0.0
6435,south central ,12,148,12,123,10,227,19,258,22,166,14,235,20,47,4,0,0,0,0.0
6501,south central ,12,87,7,129,11,258,22,137,11,174,14,213,18,0,0,0,0,-1,-0.1
6503,south central ,12,254,21,56,5,452,38,314,26,205,17,356,30,50,4,0,0,0,0.0
6507,south central ,12,209,17,60,5,258,22,189,16,147,12,212,18,0,0,0,0,0,0.0
6512,south central ,12,20,2,105,9,101,8,110,9,106,9,118,10,0,0,0,0,0,0.0
8102,south central ,12,76,6,98,8,175,15,193,16,148,12,192,16,49,4,-1,0,0,0.0
8104,south central ,12,251,21,87,7,493,41,475,40,38,3,364,30,-2,0,-3,0,0,0.0
8106,south central ,12,168,14,58,5,230,19,177,15,90,7,151,13,42,3,46,4,0,0.0
8107,south central ,12,144,12,162,14,361,30,331,28,119,10,241,20,-2,0,0,0,0,0.0
8112,south central ,12,60,5,107,9,134,11,59,5,129,11,117,10,23,2,23,2,23,1.9
8192,south central ,12,190,16,139,12,414,34,384,32,162,14,366,31,0,0,0,0,0,0.0
8196,south central ,12,111,9,191,16,353,29,388,32,110,9,241,20,0,0,-1,0,0,0.0
8236,south central ,12,235,20,67,6,371,31,304,25,132,11,232,19,-2,0,-1,0,-1,-0.1
8247,south central ,12,23,2,86,7,146,12,104,9,121,10,139,12,49,4,46,4,46,3.9
8257,south central ,12,63,5,124,10,159,13,190,16,29,2,141,12,0,0,0,0,0,0.0
8266,south central ,12,232,19,109,9,462,38,393,33,174,15,354,30,-2,0,0,0,0,0.0
8271,south central ,12,204,17,114,9,333,28,226,19,307,26,351,29,13,1,0,0,-2,-0.2
8292,south central ,12,44,4,35,3,127,11,161,13,103,9,109,9,52,4,46,4,0,0.0
8294,south central ,12,41,3,25,2,97,8,61,5,133,11,142,12,-2,0,0,0,0,0.0
4109,One Floral,30,0,0,0,0,0,0,126,4,170,6,142,5,117,4,7,0,0,0.0
4702,One Floral,30,0,0,0,0,0,0,37,1,35,1,85,3,71,2,25,1,46,1.5
4707,One Floral,30,0,0,600,20,595,20,"1,106",37,802,27,176,6,-5,0,-3,0,0,0.0
4712,One Floral,30,0,0,0,0,0,0,50,2,61,2,145,5,42,1,24,1,0,0.0
4713,One Floral,30,0,0,0,0,0,0,97,3,112,4,127,4,-2,0,-1,0,0,0.0
4720,One Floral,30,0,0,0,0,0,0,73,2,54,2,87,3,51,2,45,2,0,0.0
4721,One Floral,30,0,0,0,0,0,0,180,6,0,0,171,6,54,2,66,2,0,0.0
4731,One Floral,30,0,0,331,11,459,15,346,12,442,15,127,4,46,2,39,1,46,1.5
4741,One Floral,30,0,0,428,14,424,14,416,14,479,16,189,6,45,2,0,0,0,0.0
4742,One Floral,30,0,0,0,0,0,0,167,6,2,0,178,6,125,4,1,0,0,0.0
4743,One Floral,30,0,0,0,0,0,0,205,7,150,5,124,4,53,2,106,4,43,1.4
4761,One Floral,30,0,0,525,18,526,18,519,17,559,19,175,6,46,2,0,0,0,0.0
4763,One Floral,30,0,0,0,0,0,0,66,2,23,1,63,2,93,3,20,1,-2,-0.1
4764,One Floral,30,0,0,0,0,0,0,65,2,79,3,119,4,1,0,0,0,-1,0.0
4769,One Floral,30,0,0,0,0,0,0,120,4,22,1,64,2,64,2,19,1,1,0.0
4772,One Floral,30,0,0,0,0,0,0,126,4,81,3,140,5,0,0,-5,0,0,0.0
4775,One Floral,30,0,0,0,0,0,0,88,3,108,4,210,7,57,2,39,1,0,0.0
4778,One Floral,30,0,0,426,14,372,12,415,14,351,12,126,4,-2,0,0,0,39,1.3
4781,One Floral,30,0,0,161,5,220,7,212,7,211,7,111,4,0,0,0,0,0,0.0
4782,One Floral,30,0,0,0,0,0,0,45,2,56,2,45,2,31,1,-2,0,23,0.8
4783,One Floral,30,0,0,0,0,0,0,177,6,102,3,181,6,125,4,39,1,44,1.5
4785,One Floral,30,0,0,0,0,0,0,162,5,101,3,65,2,0,0,0,0,0,0.0
4791,One Floral,30,0,0,234,8,301,10,277,9,276,9,205,7,56,2,0,0,0,0.0
4801,One Floral,30,0,0,0,0,0,0,197,7,110,4,52,2,0,0,0,0,0,0.0
4815,One Floral,30,0,0,504,17,528,18,524,17,323,11,159,5,-2,0,0,0,0,0.0
4828,One Floral,30,0,0,0,0,0,0,108,4,158,5,37,1,0,0,-1,0,0,0.0
4837,One Floral,30,0,0,0,0,0,0,182,6,206,7,145,5,133,4,36,1,22,0.7
4839,One Floral,30,0,0,492,16,489,16,408,14,390,13,186,6,-1,0,-2,0,-5,-0.2
4843,One Floral,30,0,0,0,0,0,0,35,1,16,1,124,4,92,3,32,1,-2,-0.1
4850,One Floral,30,0,0,0,0,0,0,76,3,34,1,129,4,32,1,17,1,44,1.5
4851,One Floral,30,0,0,344,11,350,12,357,12,364,12,81,3,0,0,-2,0,-2,-0.1
4852,One Floral,30,0,0,0,0,0,0,206,7,154,5,34,1,0,0,0,0,0,0.0
4870,One Floral,30,0,0,557,19,562,19,554,18,680,23,160,5,23,1,23,1,23,0.8
4874,One Floral,30,0,0,0,0,0,0,183,6,192,6,268,9,140,5,9,0,46,1.5
4875,One Floral,30,0,0,386,13,385,13,423,14,452,15,206,7,-2,0,0,0,-1,0.0
4878,One Floral,30,0,0,634,21,629,21,521,17,715,24,0,0,-5,0,0,0,0,0.0
4905,One Floral,30,0,0,0,0,0,0,252,8,207,7,159,5,89,3,-1,0,-1,0.0
4906,One Floral,30,0,0,0,0,0,0,217,7,173,6,215,7,174,6,40,1,43,1.4
4911,One Floral,30,0,0,0,0,0,0,181,6,212,7,184,6,143,5,80,3,-8,-0.3
4914,One Floral,30,0,0,0,0,0,0,198,7,161,5,72,2,86,3,-1,0,-2,-0.1
4920,One Floral,30,0,0,249,8,255,8,368,12,211,7,258,9,-1,0,0,0,0,0.0
4925,One Floral,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4926,One Floral,30,0,0,192,6,233,8,171,6,214,7,92,3,23,1,23,1,23,0.8
4939,One Floral,30,0,0,0,0,0,0,68,2,45,2,83,3,7,0,0,0,0,0.0
4942,One Floral,30,0,0,357,12,533,18,486,16,592,20,-3,0,-3,0,-5,0,-3,-0.1
4944,One Floral,30,0,0,304,10,270,9,366,12,257,9,161,5,0,0,0,0,38,1.3
4948,One Floral,30,0,0,0,0,0,0,185,6,0,0,181,6,131,4,75,3,-1,0.0
4958,One Floral,30,0,0,0,0,0,0,117,4,70,2,83,3,1,0,23,1,0,0.0
4982,One Floral,30,0,0,64,2,100,3,123,4,132,4,47,2,0,0,0,0,45,1.5
4985,One Floral,30,0,0,612,20,630,21,620,21,503,17,285,10,-1,0,0,0,0,0.0
4991,One Floral,30,0,0,0,0,0,0,64,2,110,4,74,2,14,0,-3,0,-5,-0.2
4992,One Floral,30,0,0,212,7,242,8,204,7,190,6,105,4,-1,0,-5,0,0,0.0
4998,One Floral,30,0,0,0,0,0,0,160,5,139,5,115,4,0,0,0,0,0,0.0
4999,One Floral,30,0,0,348,12,348,12,357,12,242,8,206,7,0,0,0,0,0,0.0
6188,One Floral,30,0,0,0,0,0,0,175,6,5,0,123,4,35,1,1,0,21,0.7
6202,One Floral,30,0,0,0,0,0,0,210,7,176,6,154,5,86,3,10,0,46,1.5
6212,One Floral,30,0,0,0,0,0,0,65,2,140,5,64,2,46,2,0,0,0,0.0
6218,One Floral,30,0,0,0,0,0,0,72,2,110,4,108,4,42,1,45,2,46,1.5
6220,One Floral,30,0,0,0,0,0,0,130,4,117,4,115,4,58,2,21,1,0,0.0
6228,One Floral,30,0,0,264,9,435,14,281,9,458,15,90,3,0,0,0,0,-6,-0.2
6238,One Floral,30,0,0,381,13,395,13,346,12,312,10,142,5,-9,0,-2,0,0,0.0
6244,One Floral,30,0,0,0,0,0,0,183,6,90,3,151,5,78,3,110,4,-1,0.0
6245,One Floral,30,0,0,0,0,0,0,85,3,83,3,120,4,0,0,0,0,0,0.0
6246,One Floral,30,0,0,0,0,0,0,152,5,142,5,122,4,31,1,58,2,46,1.5
6247,One Floral,30,0,0,319,11,326,11,463,15,505,17,202,7,0,0,0,0,0,0.0
6252,One Floral,30,0,0,530,18,388,13,479,16,519,17,230,8,-3,0,0,0,0,0.0
6255,One Floral,30,0,0,0,0,0,0,217,7,165,5,152,5,150,5,17,1,20,0.7
6259,One Floral,30,0,0,0,0,0,0,167,6,1,0,165,5,42,1,15,1,46,1.5
6262,One Floral,30,0,0,0,0,0,0,88,3,74,2,110,4,-3,0,0,0,0,0.0
6265,One Floral,30,0,0,0,0,0,0,193,6,115,4,166,6,65,2,44,1,42,1.4
6267,One Floral,30,0,0,608,20,622,21,583,19,895,30,155,5,-7,0,-5,0,0,0.0
6269,One Floral,30,0,0,0,0,0,0,65,2,29,1,122,4,42,1,6,0,0,0.0
6275,One Floral,30,0,0,586,20,597,20,555,18,761,25,197,7,-2,0,0,0,0,0.0
6315,One Floral,30,0,0,198,7,220,7,279,9,321,11,47,2,0,0,0,0,-3,-0.1
6319,One Floral,30,0,0,254,8,312,10,364,12,287,10,148,5,46,2,42,1,46,1.5
6324,One Floral,30,0,0,215,7,161,5,141,5,196,7,56,2,0,0,0,0,0,0.0
6325,One Floral,30,0,0,308,10,367,12,358,12,473,16,122,4,0,0,-3,0,0,0.0
6328,One Floral,30,0,0,125,4,210,7,180,6,148,5,89,3,-6,0,0,0,0,0.0
6331,One Floral,30,0,0,339,11,344,11,324,11,321,11,-2,0,0,0,-5,0,0,0.0
6334,One Floral,30,0,0,358,12,282,9,381,13,116,4,175,6,3,0,46,2,46,1.5
6335,One Floral,30,0,0,0,0,0,0,127,4,151,5,95,3,0,0,-2,0,0,0.0
6336,One Floral,30,0,0,0,0,0,0,163,5,92,3,111,4,2,0,-2,0,-1,0.0
6338,One Floral,30,0,0,0,0,0,0,188,6,92,3,138,5,71,2,14,0,46,1.5
6339,One Floral,30,0,0,614,20,678,23,664,22,648,22,123,4,0,0,0,0,-5,-0.2
6341,One Floral,30,0,0,0,0,0,0,86,3,122,4,90,3,0,0,-3,0,-2,-0.1
6342,One Floral,30,0,0,353,12,353,12,349,12,280,9,117,4,38,1,-2,0,0,0.0
6349,One Floral,30,0,0,206,7,268,9,255,8,309,10,116,4,-8,0,-2,0,-5,-0.2
6350,One Floral,30,0,0,0,0,0,0,280,9,252,8,205,7,183,6,47,2,46,1.5
6358,One Floral,30,0,0,153,5,237,8,222,7,213,7,107,4,-3,0,0,0,-5,-0.2
6359,One Floral,30,0,0,354,12,316,11,363,12,427,14,0,0,-1,0,0,0,0,0.0
6361,One Floral,30,0,0,0,0,0,0,107,4,103,3,122,4,44,1,0,0,0,0.0
6363,One Floral,30,0,0,0,0,0,0,209,7,127,4,92,3,0,0,0,0,0,0.0
6364,One Floral,30,0,0,0,0,0,0,167,6,88,3,139,5,0,0,-6,0,0,0.0
6367,One Floral,30,0,0,0,0,0,0,168,6,14,0,182,6,34,1,41,1,0,0.0
6372,One Floral,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0
6376,One Floral,30,0,0,0,0,0,0,166,6,137,5,153,5,72,2,22,1,-5,-0.2
6381,One Floral,30,0,0,0,0,0,0,196,7,181,6,215,7,129,4,76,3,-1,0.0
6384,One Floral,30,0,0,531,18,502,17,645,21,635,21,20,1,-3,0,-2,0,0,0.0
6388,One Floral,30,0,0,590,20,606,20,622,21,499,17,249,8,-2,0,-2,0,-5,-0.2
6403,One Floral,30,0,0,0,0,0,0,123,4,120,4,68,2,0,0,-1,0,-1,0.0
6412,One Floral,30,0,0,166,6,184,6,210,7,169,6,175,6,23,1,-2,0,0,0.0
6415,One Floral,30,0,0,328,11,401,13,390,13,237,8,223,7,2,0,0,0,43,1.4
6417,One Floral,30,0,0,148,5,235,8,312,10,337,11,115,4,0,0,-12,0,0,0.0
6418,One Floral,30,0,0,480,16,495,16,426,14,526,18,178,6,-1,0,-2,0,-1,0.0
6419,One Floral,30,0,0,138,5,281,9,394,13,299,10,19,1,0,0,-2,0,0,0.0
6421,One Floral,30,0,0,0,0,0,0,171,6,9,0,165,5,70,2,2,0,0,0.0
6422,One Floral,30,0,0,0,0,0,0,180,6,176,6,104,3,117,4,8,0,46,1.5
6426,One Floral,30,0,0,219,7,219,7,152,5,138,5,197,7,63,2,46,2,0,0.0
6429,One Floral,30,0,0,122,4,211,7,156,5,206,7,209,7,6,0,0,0,0,0.0
6437,One Floral,30,0,0,350,12,351,12,392,13,180,6,163,5,22,1,23,1,0,0.0
6439,One Floral,30,0,0,0,0,0,0,163,5,103,3,116,4,123,4,13,0,0,0.0
6441,One Floral,30,0,0,0,0,0,0,82,3,100,3,78,3,0,0,0,0,-5,-0.2
6444,One Floral,30,0,0,87,3,169,6,165,5,204,7,36,1,0,0,0,0,0,0.0
6445,One Floral,30,0,0,0,0,0,0,102,3,90,3,89,3,0,0,-2,0,0,0.0
6453,One Floral,30,0,0,0,0,0,0,82,3,14,0,112,4,57,2,24,1,1,0.0
6454,One Floral,30,0,0,264,9,264,9,326,11,246,8,196,7,-2,0,0,0,-11,-0.4
6464,One Floral,30,0,0,294,10,411,14,322,11,284,9,161,5,0,0,-6,0,-1,0.0
6471,One Floral,30,0,0,0,0,0,0,88,3,13,0,66,2,21,1,19,1,0,0.0
6474,One Floral,30,0,0,201,7,212,7,194,6,219,7,152,5,-2,0,-1,0,0,0.0
6479,One Floral,30,0,0,178,6,133,4,216,7,206,7,192,6,0,0,0,0,0,0.0
6482,One Floral,30,0,0,0,0,0,0,167,6,0,0,169,6,126,4,20,1,-2,-0.1
6485,One Floral,30,0,0,397,13,406,14,419,14,602,20,15,1,-2,0,-3,0,-6,-0.2
6487,One Floral,30,0,0,375,12,467,16,458,15,446,15,82,3,-1,0,0,0,0,0.0
6489,One Floral,30,0,0,258,9,229,8,430,14,270,9,43,1,-2,0,-2,0,-2,-0.1
6502,One Floral,30,0,0,0,0,0,0,68,2,101,3,97,3,7,0,-3,0,0,0.0
6505,One Floral,30,0,0,197,7,170,6,180,6,160,5,148,5,13,0,0,0,0,0.0
6521,One Floral,30,0,0,0,0,0,0,58,2,10,0,64,2,93,3,23,1,0,0.0
6527,One Floral,30,0,0,0,0,0,0,177,6,124,4,164,5,88,3,0,0,0,0.0
6528,One Floral,30,0,0,187,6,320,11,293,10,120,4,147,5,-2,0,0,0,-2,-0.1
6535,One Floral,30,0,0,150,5,196,7,59,2,151,5,87,3,16,1,0,0,0,0.0
6562,One Floral,30,0,0,141,5,254,8,306,10,145,5,144,5,1,0,42,1,46,1.5
6637,One Floral,30,0,0,0,0,0,0,64,2,75,3,72,2,2,0,-2,0,0,0.0
6657,One Floral,30,0,0,449,15,755,25,601,20,695,23,110,4,-12,0,-7,0,-2,-0.1
6658,One Floral,30,0,0,177,6,258,9,185,6,196,7,175,6,6,0,0,0,0,0.0
6659,One Floral,30,0,0,341,11,297,10,405,14,286,10,206,7,36,1,-2,0,44,1.5
6660,One Floral,30,0,0,117,4,175,6,108,4,147,5,212,7,0,0,0,0,0,0.0
6661,One Floral,30,0,0,241,8,261,9,183,6,220,7,134,4,0,0,0,0,44,1.5
6662,One Floral,30,0,0,258,9,324,11,342,11,338,11,203,7,46,2,-6,0,-5,-0.2
6663,One Floral,30,0,0,352,12,352,12,356,12,283,9,220,7,-2,0,-1,0,0,0.0
6664,One Floral,30,0,0,431,14,478,16,459,15,533,18,66,2,0,0,-2,0,-3,-0.1
6666,One Floral,30,0,0,385,13,363,12,450,15,386,13,231,8,-8,0,-9,0,-1,0.0
6667,One Floral,30,0,0,178,6,103,3,298,10,203,7,65,2,21,1,0,0,0,0.0
6779,One Floral,30,0,0,314,10,319,11,306,10,341,11,120,4,22,1,-3,0,0,0.0
6781,One Floral,30,0,0,0,0,0,0,183,6,-1,0,166,6,122,4,-1,0,-1,0.0
6867,One Floral,30,0,0,0,0,0,0,68,2,47,2,213,7,16,1,0,0,-2,-0.1
7189,One Floral,30,0,0,263,9,447,15,173,6,336,11,110,4,6,0,0,0,0,0.0
7676,One Floral,30,0,0,0,0,0,0,219,7,215,7,181,6,183,6,0,0,0,0.0
8111,One Floral,30,0,0,498,17,493,16,391,13,512,17,46,2,-6,0,-1,0,-12,-0.4
8114,One Floral,30,0,0,0,0,0,0,134,4,66,2,190,6,94,3,-1,0,46,1.5
8117,One Floral,30,0,0,517,17,534,18,414,14,458,15,180,6,-6,0,-3,0,-2,-0.1
8119,One Floral,30,0,0,0,0,0,0,210,7,278,9,45,2,0,0,0,0,0,0.0
8120,One Floral,30,0,0,0,0,0,0,153,5,9,0,-3,0,0,0,0,0,0,0.0
8123,One Floral,30,0,0,327,11,508,17,461,15,553,18,227,8,0,0,0,0,0,0.0
8125,One Floral,30,0,0,0,0,93,3,152,5,53,2,94,3,36,1,-5,0,0,0.0
8126,One Floral,30,0,0,0,0,0,0,65,2,34,1,13,0,63,2,1,0,-1,0.0
8128,One Floral,30,0,0,383,13,535,18,353,12,365,12,108,4,0,0,0,0,0,0.0
8130,One Floral,30,0,0,0,0,0,0,72,2,72,2,95,3,0,0,0,0,0,0.0
8132,One Floral,30,0,0,229,8,203,7,246,8,229,8,82,3,-3,0,0,0,-2,-0.1
8133,One Floral,30,0,0,157,5,318,11,179,6,220,7,97,3,0,0,0,0,0,0.0
8135,One Floral,30,0,0,353,12,299,10,380,13,329,11,92,3,0,0,-5,0,0,0.0
8138,One Floral,30,0,0,0,0,0,0,199,7,102,3,105,4,-1,0,0,0,-1,0.0
8141,One Floral,30,0,0,0,0,0,0,71,2,134,4,71,2,6,0,0,0,-1,0.0
8150,One Floral,30,0,0,0,0,0,0,76,3,134,4,101,3,0,0,46,2,0,0.0
8153,One Floral,30,0,0,0,0,0,0,217,7,202,7,181,6,109,4,47,2,43,1.4
8156,One Floral,30,0,0,0,0,0,0,71,2,32,1,108,4,22,1,9,0,0,0.0
8157,One Floral,30,0,0,0,0,0,0,78,3,73,2,59,2,29,1,0,0,46,1.5
8163,One Floral,30,0,0,254,8,255,9,287,10,282,9,158,5,12,0,0,0,0,0.0
8167,One Floral,30,0,0,195,6,178,6,229,8,231,8,-2,0,-1,0,0,0,0,0.0
8173,One Floral,30,0,0,0,0,0,0,68,2,47,2,72,2,3,0,0,0,0,0.0
8174,One Floral,30,0,0,458,15,458,15,425,14,692,23,46,2,-1,0,0,0,-2,-0.1
8176,One Floral,30,0,0,520,17,526,18,504,17,544,18,350,12,0,0,-1,0,0,0.0
8180,One Floral,30,0,0,446,15,561,19,495,16,219,7,390,13,9,0,-1,0,0,0.0
8181,One Floral,30,0,0,0,0,0,0,132,4,95,3,287,10,9,0,0,0,0,0.0
8182,One Floral,30,0,0,451,15,457,15,415,14,359,12,257,9,46,2,46,2,-2,-0.1
8184,One Floral,30,0,0,277,9,295,10,284,9,461,15,20,1,38,1,0,0,0,0.0
8188,One Floral,30,0,0,224,7,298,10,178,6,270,9,43,1,21,1,23,1,23,0.8
8190,One Floral,30,0,0,0,0,0,0,36,1,56,2,74,2,50,2,2,0,0,0.0
8197,One Floral,30,0,0,244,8,393,13,382,13,304,10,199,7,46,2,46,2,0,0.0
8205,One Floral,30,0,0,317,11,318,11,318,11,318,11,195,6,-6,0,-1,0,-2,-0.1
8207,One Floral,30,0,0,248,8,252,8,274,9,265,9,296,10,44,1,0,0,0,0.0
8208,One Floral,30,0,0,420,14,419,14,818,27,487,16,237,8,-8,0,0,0,-2,-0.1
8210,One Floral,30,0,0,0,0,0,0,183,6,202,7,165,5,80,3,5,0,-1,0.0
8215,One Floral,30,0,0,350,12,315,11,204,7,198,7,191,6,0,0,-5,0,0,0.0
8221,One Floral,30,0,0,0,0,0,0,93,3,85,3,43,1,117,4,21,1,0,0.0
8224,One Floral,30,0,0,0,0,0,0,185,6,184,6,173,6,89,3,95,3,0,0.0
8226,One Floral,30,0,0,0,0,0,0,208,7,186,6,181,6,119,4,0,0,-1,0.0
8227,One Floral,30,0,0,0,0,0,0,117,4,168,6,131,4,61,2,97,3,27,0.9
8237,One Floral,30,0,0,0,0,0,0,171,6,257,9,207,7,110,4,13,0,46,1.5
8239,One Floral,30,0,0,210,7,158,5,202,7,181,6,139,5,7,0,-3,0,0,0.0
8241,One Floral,30,0,0,336,11,360,12,322,11,358,12,206,7,0,0,0,0,-5,-0.2
8242,One Floral,30,0,0,0,0,0,0,178,6,49,2,169,6,134,4,70,2,-1,0.0
8243,One Floral,30,0,0,287,10,290,10,425,14,350,12,169,6,43,1,46,2,0,0.0
8244,One Floral,30,0,0,0,0,0,0,92,3,122,4,95,3,12,0,45,2,46,1.5
8245,One Floral,30,0,0,0,0,0,0,74,2,81,3,98,3,29,1,-2,0,0,0.0
8246,One Floral,30,0,0,0,0,0,0,109,4,85,3,66,2,9,0,0,0,0,0.0
8248,One Floral,30,0,0,0,0,0,0,165,5,0,0,70,2,32,1,54,2,-3,-0.1
8250,One Floral,30,0,0,0,0,0,0,45,2,30,1,117,4,28,1,6,0,23,0.8
8251,One Floral,30,0,0,269,9,281,9,261,9,247,8,186,6,0,0,-3,0,0,0.0
8254,One Floral,30,0,0,377,13,390,13,359,12,445,15,158,5,-6,0,-1,0,0,0.0
8259,One Floral,30,0,0,0,0,0,0,82,3,3,0,61,2,42,1,7,0,0,0.0
8262,One Floral,30,0,0,0,0,0,0,171,6,1,0,90,3,52,2,8,0,0,0.0
8263,One Floral,30,0,0,320,11,310,10,360,12,318,11,184,6,-2,0,0,0,0,0.0
8264,One Floral,30,0,0,0,0,0,0,81,3,94,3,125,4,75,3,27,1,0,0.0
8265,One Floral,30,0,0,0,0,0,0,199,7,44,1,240,8,12,0,0,0,0,0.0
8267,One Floral,30,0,0,0,0,0,0,188,6,95,3,125,4,68,2,16,1,46,1.5
8268,One Floral,30,0,0,0,0,0,0,196,7,133,4,188,6,65,2,-3,0,-1,0.0
8269,One Floral,30,0,0,0,0,0,0,137,5,124,4,109,4,76,3,11,0,0,0.0
8270,One Floral,30,0,0,0,0,0,0,207,7,187,6,176,6,81,3,-3,0,0,0.0
8273,One Floral,30,0,0,0,0,0,0,185,6,115,4,217,7,191,6,14,0,0,0.0
8274,One Floral,30,0,0,0,0,0,0,145,5,217,7,131,4,44,1,7,0,-5,-0.2
8275,One Floral,30,0,0,0,0,0,0,174,6,216,7,112,4,122,4,66,2,-3,-0.1
8276,One Floral,30,0,0,227,8,206,7,191,6,261,9,71,2,44,1,-1,0,0,0.0
8277,One Floral,30,0,0,0,0,0,0,200,7,147,5,210,7,61,2,-3,0,0,0.0
8279,One Floral,30,0,0,0,0,0,0,219,7,217,7,181,6,78,3,45,2,0,0.0
8280,One Floral,30,0,0,0,0,0,0,207,7,163,5,124,4,67,2,20,1,-2,-0.1
8281,One Floral,30,0,0,0,0,0,0,117,4,82,3,83,3,10,0,0,0,0,0.0
8282,One Floral,30,0,0,0,0,0,0,210,7,117,4,185,6,83,3,14,0,45,1.5
8284,One Floral,30,0,0,0,0,0,0,163,5,218,7,171,6,180,6,3,0,0,0.0
8285,One Floral,30,0,0,385,13,460,15,398,13,498,17,65,2,-2,0,0,0,-1,0.0
8286,One Floral,30,0,0,0,0,0,0,59,2,52,2,83,3,50,2,12,0,0,0.0
8288,One Floral,30,0,0,0,0,0,0,214,7,165,5,115,4,129,4,12,0,0,0.0
8289,One Floral,30,0,0,224,7,257,9,211,7,211,7,141,5,5,0,0,0,0,0.0
8290,One Floral,30,0,0,0,0,0,0,49,2,47,2,61,2,2,0,0,0,-1,0.0
8291,One Floral,30,0,0,183,6,181,6,204,7,193,6,118,4,23,1,23,1,23,0.8
8293,One Floral,30,0,0,393,13,387,13,357,12,338,11,188,6,-1,0,-2,0,0,0.0
8295,One Floral,30,0,0,0,0,0,0,115,4,151,5,89,3,74,2,29,1,0,0.0
8296,One Floral,30,0,0,501,17,552,18,502,17,488,16,267,9,2,0,0,0,-2,-0.1
8297,One Floral,30,0,0,339,11,306,10,336,11,294,10,161,5,0,0,0,0,0,0.0
8298,One Floral,30,0,0,406,14,421,14,351,12,474,16,144,5,-13,0,-2,0,0,0.0
8299,One Floral,30,0,0,0,0,0,0,167,6,161,5,120,4,80,3,46,2,0,0.0
