Club List,Grower,Rack QTY,RECEIPT UNITS WK 30,Wk 30 Racks,RECEIPT UNITS WK  31,Wk 31 racks,RECEIPT UNITS WK 32,Wk 32 racks,RECEIPT UNITS WK 33,Wk 33 racks ,RECEIPT UNITS WK 34,Wk 34 Racks,RECEIPT WUNITS K 35,Wk 35 Racks,RECEIPT UNITS WK 36,Wk 36 Racks,RECEIPT  UNITS WK 37,Wk 37 Racks,RECEIPT UNITS WK 38,Wk 38 Racks
4729,Catoctin Mtn ,18,129,7,227,13,71,4,132,7,121,7,101,6,30,2,46,3,-1,-0.1
4771,Catoctin Mtn ,18,80,4,130,7,128,7,45,3,46,3,0,0,-2,0,0,0,0,0.0
4774,Catoctin Mtn ,18,97,5,117,6,63,3,83,5,103,6,27,2,2,0,44,2,0,0.0
4855,Catoctin Mtn ,18,139,8,190,11,156,9,160,9,122,7,145,8,59,3,0,0,-1,-0.1
4994,Catoctin Mtn ,18,213,12,293,16,211,12,237,13,278,15,133,7,-1,0,0,0,0,0.0
6239,Catoctin Mtn ,18,127,7,184,10,171,9,214,12,206,11,123,7,45,3,45,3,0,0.0
6330,Catoctin Mtn ,18,72,4,165,9,127,7,111,6,101,6,117,7,52,3,0,0,0,0.0
6332,Catoctin Mtn ,18,110,6,196,11,128,7,137,8,101,6,93,5,1,0,0,0,0,0.0
6357,Catoctin Mtn ,18,425,24,619,34,498,28,481,27,549,31,176,10,-2,0,-2,0,-1,-0.1
6369,Catoctin Mtn ,18,132,7,150,8,81,4,126,7,74,4,104,6,45,3,46,3,46,2.6
6371,Catoctin Mtn ,18,129,7,158,9,108,6,94,5,102,6,65,4,12,1,46,3,-2,-0.1
6383,Catoctin Mtn ,18,50,3,154,9,42,2,101,6,123,7,88,5,57,3,0,0,-1,-0.1
6434,Catoctin Mtn ,18,65,4,105,6,56,3,75,4,92,5,66,4,47,3,0,0,0,0.0
6536,Catoctin Mtn ,18,102,6,203,11,167,9,214,12,118,7,128,7,14,1,44,2,46,2.6
6567,Catoctin Mtn ,18,181,10,301,17,386,21,305,17,349,19,173,10,1,0,0,0,0,0.0
6581,Catoctin Mtn ,18,707,39,920,51,920,51,879,49,561,31,254,14,-1,0,0,0,-2,-0.1
6650,Catoctin Mtn ,18,63,3,86,5,55,3,41,2,38,2,76,4,52,3,1,0,0,0.0
6651,Catoctin Mtn ,18,103,6,88,5,98,5,47,3,0,0,0,0,0,0,0,0,-2,-0.1
6652,Catoctin Mtn ,18,144,8,130,7,146,8,177,10,127,7,106,6,5,0,0,0,-2,-0.1
6653,Catoctin Mtn ,18,127,7,27,2,90,5,63,3,64,4,68,4,32,2,0,0,46,2.6
6655,Catoctin Mtn ,18,116,6,179,10,137,8,179,10,223,12,70,4,58,3,-1,0,-2,-0.1
6670,Catoctin Mtn ,18,36,2,101,6,59,3,102,6,63,3,22,1,0,0,-7,0,46,2.6
6671,Catoctin Mtn ,18,178,10,256,14,279,15,230,13,222,12,182,10,-2,0,-3,0,0,0.0
6676,Catoctin Mtn ,18,265,15,349,19,171,9,301,17,214,12,220,12,3,0,-6,0,0,0.0
6693,Catoctin Mtn ,18,85,5,119,7,40,2,110,6,139,8,0,0,-1,0,0,0,0,0.0
8144,Catoctin Mtn ,18,119,7,214,12,67,4,223,12,163,9,90,5,60,3,0,0,0,0.0
8145,Catoctin Mtn ,18,115,6,240,13,79,4,191,11,122,7,51,3,46,3,0,0,0,0.0
8160,Catoctin Mtn ,18,112,6,188,10,158,9,176,10,62,3,60,3,19,1,0,0,0,0.0
8161,Catoctin Mtn ,18,152,8,134,7,167,9,184,10,129,7,86,5,1,0,46,3,0,0.0
8175,Catoctin Mtn ,18,115,6,101,6,166,9,88,5,70,4,31,2,0,0,0,0,0,0.0
8191,Catoctin Mtn ,18,444,25,581,32,366,20,503,28,331,18,284,16,36,2,0,0,0,0.0
