store_nbr,Estimated In-store Week,Estimated Receipt Qty,Direct to Store Receipt Qty,Direct to Store PO Nbr
1,WK17,10,0,
2,WK17,18,100,
2,WK19,8,0,
2,WK21,3,0,
3,WK17,6,0,
4,WK17,4,112,
4,WK21,3,0,
5,WK17,13,0,
7,WK17,9,0,
8,WK17,10,0,
9,WK17,25,0,
10,WK17,7,113,
10,WK19,8,0,
10,WK20,0,96,
10,WK21,3,0,
11,WK17,67,297,
11,WK20,5,110,
12,WK17,8,0,
13,WK17,8,0,
13,WK21,2,0,
14,WK17,4,68,
14,WK19,4,0,
14,WK21,3,0,
15,WK17,14,95,
15,WK19,6,0,
15,WK21,3,76,
17,WK17,6,0,
17,WK19,4,0,
19,WK17,20,132,
19,WK20,3,0,
20,WK17,11,0,
21,WK17,14,0,
22,WK17,17,0,
23,WK17,17,0,
25,WK17,5,0,
25,WK19,3,0,
26,WK17,3,0,
27,WK17,13,0,
27,WK19,4,0,
27,WK21,3,0,
28,WK17,9,0,
32,WK17,4,0,
35,WK17,8,0,
36,WK17,15,0,
36,WK20,3,0,
37,WK17,16,94,
37,WK19,4,0,
37,WK21,3,0,
38,WK17,9,0,
39,WK17,10,0,
40,WK17,7,0,
40,WK19,3,0,
41,WK17,3,0,
42,WK17,10,0,
43,WK17,7,0,
45,WK17,11,0,
46,WK17,28,0,
46,WK21,2,0,
47,WK17,6,0,
48,WK17,5,0,
49,WK17,10,0,
49,WK20,2,0,
50,WK17,6,0,
52,WK17,15,0,
52,WK20,3,0,
54,WK17,11,0,
56,WK17,13,0,
56,WK21,2,0,
58,WK17,17,102,
58,WK20,3,91,
59,WK17,82,0,
59,WK21,2,0,
60,WK17,7,0,
61,WK17,9,0,
63,WK17,9,0,
63,WK21,2,0,
65,WK17,14,0,
65,WK21,2,0,
67,WK17,5,0,
69,WK17,18,0,
71,WK17,57,0,
71,WK20,3,0,
72,WK17,7,0,
73,WK17,7,0,
73,WK19,3,0,
75,WK17,12,0,
76,WK17,8,0,
77,WK17,11,0,
78,WK17,4,0,
79,WK17,8,0,
79,WK19,5,0,
79,WK21,2,0,
81,WK17,5,0,
82,WK17,8,0,
82,WK21,2,0,
85,WK17,12,0,
