Store Number,Current Delivery,Current MP Delivery Window,Updated MP Delivery Window,Updated Delivery,Comments
110,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
547,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
580,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
666,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
705,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
706,Same Day Delivery,20:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
718,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
725,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
779,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
817,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
859,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
908,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
941,Same Day Delivery,18:00:00-06:00:00,Next Day Delivery,16:00:00-04:00:00,"Your store will not receive an MP delivery on July 15, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
942,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
955,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
967,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
968,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
988,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
994,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1029,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1085,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
