Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
5,5147,ROADIE,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202327,71.80%,94.90%,7,60.00%,,85.70%,65.00%
5,371,ROADIE,Scheduled Standard Delivery,12,Executive Review,-,Driver Supply Focus,202327,85.00%,95.20%,7,,,100.00%,78.60%
5,4215,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202327,85.60%,100.00%,6.2,90.10%,88.10%,76.70%,82.60%
5,2086,ROADIE,Scheduled Standard Delivery,7,Active Monitoring,-,Driver Supply Focus,202327,80.00%,100.00%,7.7,,,50.00%,100.00%
44,240,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202327,89.00%,97.40%,5.4,90.30%,90.00%,87.00%,88.60%
44,132,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Driver Supply Focus,202327,60.30%,100.00%,4.6,58.80%,57.10%,70.80%,50.00%
44,63,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202327,82.10%,95.60%,5.8,83.30%,85.80%,69.50%,88.10%
13,918,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Degrading,Driver Supply Focus,202327,89.50%,88.90%,9,87.10%,92.80%,91.20%,86.50%
13,400,ROADIE,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202327,81.20%,94.90%,9.8,72.60%,85.30%,80.20%,85.70%
13,311,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202327,82.40%,97.30%,8.5,79.70%,86.00%,78.80%,85.40%
13,401,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202327,92.80%,97.50%,9.6,93.30%,94.70%,89.40%,93.60%
13,533,POINTPICKUP,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202327,88.00%,96.00%,9.9,77.80%,100.00%,88.90%,100.00%
13,3528,ROADIE,Scheduled Standard Delivery,12,Executive Review,-,Driver Supply Focus,202327,76.00%,88.20%,8.3,,,73.30%,77.10%
6,4298,ROADIE,Scheduled Standard Delivery,6,Active Monitoring,Degrading,Driver Supply Focus,202327,80.60%,93.80%,8.6,85.70%,100.00%,100.00%,66.70%
7,4103,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202327,92.80%,99.40%,6,95.30%,97.40%,89.70%,88.50%
6,293,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202327,52.90%,94.40%,3.4,25.00%,0.00%,75.00%,83.30%
6,567,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202327,58.10%,100.00%,3.2,66.70%,63.60%,42.90%,50.00%
6,292,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202327,66.00%,100.00%,4.7,75.00%,63.00%,66.70%,62.80%
7,3107,ROADIE,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202327,67.60%,98.70%,4.3,84.20%,72.20%,76.20%,31.30%
46,1380,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202327,89.40%,98.00%,7.6,91.70%,86.70%,89.80%,89.10%
41,1356,SPARK,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,202327,82.70%,98.70%,8.4,90.70%,94.20%,73.50%,70.60%
41,445,POINTPICKUP,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202327,84.30%,96.70%,7.7,80.00%,88.90%,85.20%,82.10%
41,493,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202327,81.90%,91.20%,8.1,82.40%,74.40%,86.70%,89.40%
19,2238,ROADIE,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202327,80.60%,95.00%,8.5,88.20%,75.00%,71.60%,86.70%
19,2493,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202327,89.10%,92.10%,7.8,90.90%,91.80%,87.00%,87.00%
19,3328,ROADIE,Scheduled Standard Delivery,4,Active Monitoring,Degrading,Driver Supply Focus,202327,74.00%,90.20%,9.4,75.00%,100.00%,60.00%,71.40%
19,1809,ROADIE,Scheduled Standard Delivery,6,At Risk,Recovering,Driver Supply Focus,202327,85.60%,97.30%,9.7,92.10%,93.90%,85.70%,72.50%
19,5411,SPARK,Scheduled Standard Delivery,22,Executive Review,Recovering,Driver Supply Focus,202327,84.70%,93.00%,7,90.60%,81.80%,82.20%,84.30%
19,4540,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202327,92.00%,95.90%,5.8,97.20%,89.20%,90.70%,90.90%
19,5048,SPARK,Scheduled Standard Delivery,46,Executive Review,Recovering,Driver Supply Focus,202327,90.20%,95.30%,7.6,93.80%,91.10%,91.10%,85.00%
19,4424,ROADIE,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202327,81.50%,98.10%,6.9,77.30%,81.10%,85.10%,83.60%
19,5471,ROADIE,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202327,86.20%,98.90%,8.1,89.70%,77.30%,95.20%,81.80%
25,1998,ROADIE,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202327,84.80%,98.00%,9.7,84.10%,86.10%,85.10%,83.80%
25,3004,ROADIE,Scheduled Standard Delivery,17,Executive Review,Degrading,Driver Supply Focus,202327,73.40%,92.90%,9.7,83.00%,75.00%,73.80%,59.70%
25,3255,ROADIE,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202327,77.50%,94.50%,6.7,75.00%,68.20%,76.50%,86.70%
25,3255,SPARK,Scheduled Standard Delivery,38,Executive Review,Recovering,Driver Supply Focus,202327,91.00%,92.70%,8.4,90.10%,90.10%,93.90%,89.90%
25,5403,ROADIE,Scheduled Standard Delivery,40,Executive Review,Recovering,Driver Supply Focus,202327,90.50%,93.00%,9,92.80%,87.00%,90.60%,90.50%
25,957,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202327,60.90%,95.70%,5.5,40.00%,50.00%,80.00%,66.70%
20,2359,POINTPICKUP,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202327,96.80%,88.40%,9.7,100.00%,81.80%,100.00%,100.00%
20,3293,SPARK,Scheduled Standard Delivery,7,Active Monitoring,Recovering,Driver Supply Focus,202327,90.80%,99.40%,7.5,92.50%,90.60%,89.90%,90.40%
20,5387,SPARK,Scheduled Standard Delivery,45,Executive Review,Degrading,Driver Supply Focus,202327,81.10%,95.50%,7.2,80.50%,78.50%,83.10%,82.50%
20,4285,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202327,87.60%,94.90%,10,84.70%,89.60%,86.90%,89.00%
20,3581,SPARK,Scheduled Standard Delivery,9,Active Monitoring,Recovering,Driver Supply Focus,202327,91.00%,97.50%,9.5,92.30%,93.80%,93.30%,84.60%
20,2603,SPARK,Scheduled Standard Delivery,39,Executive Review,Recovering,Driver Supply Focus,202327,92.30%,99.00%,5.2,95.00%,94.10%,89.80%,90.40%
20,4644,ROADIE,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202327,75.20%,97.10%,6,64.30%,81.80%,92.30%,65.50%
20,5040,SPARK,Scheduled Standard Delivery,39,Executive Review,Degrading,Driver Supply Focus,202327,86.40%,95.00%,6.3,89.10%,87.20%,87.90%,81.90%
20,5088,SPARK,Scheduled Standard Delivery,41,Executive Review,Degrading,Driver Supply Focus,202327,85.40%,95.70%,7.3,80.40%,82.60%,87.00%,91.70%
20,2588,SPARK,Scheduled Standard Delivery,39,Executive Review,Degrading,Driver Supply Focus,202327,92.10%,92.80%,10,89.00%,95.50%,93.90%,89.70%
20,1247,SPARK,Scheduled Standard Delivery,46,Executive Review,Degrading,Driver Supply Focus,202327,85.70%,95.00%,9.7,88.30%,89.10%,86.40%,78.50%
20,2792,SPARK,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202327,90.50%,100.00%,5.5,86.10%,92.40%,88.80%,95.30%
40,44,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202327,70.40%,100.00%,4.1,66.70%,71.40%,85.70%,57.10%
40,815,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202327,79.90%,94.90%,9.3,76.60%,83.00%,74.20%,85.40%
40,1021,SPARK,Scheduled Standard Delivery,19,Executive Review,Degrading,Driver Supply Focus,202327,87.80%,90.20%,9.6,89.80%,90.10%,84.20%,87.10%
40,328,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202327,80.90%,99.00%,8,75.70%,85.70%,83.00%,80.50%
40,1761,ROADIE,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202327,85.20%,97.60%,7.3,81.80%,89.20%,86.60%,84.00%
40,51,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202327,81.80%,99.70%,5.3,84.90%,70.20%,90.50%,80.30%
40,96,SPARK,Scheduled Standard Delivery,12,At Risk,Recovering,Driver Supply Focus,202327,91.40%,97.40%,7.6,93.70%,96.20%,91.80%,82.00%
53,2417,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202327,84.00%,93.30%,8.2,85.40%,85.20%,84.40%,81.10%
53,1657,ROADIE,Scheduled Standard Delivery,20,Executive Review,-,Driver Supply Focus,202327,52.40%,95.80%,5.1,,66.70%,64.30%,36.10%
53,3534,SPARK,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202327,85.20%,96.30%,10,93.90%,86.80%,80.10%,79.80%
53,5669,ROADIE,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202327,87.70%,93.50%,6.6,86.00%,88.70%,85.90%,89.40%
53,2421,ROADIE,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202327,20.00%,100.00%,5.7,25.00%,0.00%,20.00%,33.30%
53,5432,ROADIE,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202327,85.20%,100.00%,6.6,66.70%,100.00%,100.00%,83.30%
53,5127,SPARK,Scheduled Standard Delivery,8,Active Monitoring,Recovering,Driver Supply Focus,202327,90.60%,94.00%,7.8,90.20%,91.30%,87.50%,93.50%
53,1274,ROADIE,Scheduled Standard Delivery,11,Executive Review,-,Driver Supply Focus,202327,66.30%,98.10%,5.5,,56.50%,56.40%,81.00%
53,2335,SPARK,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202327,93.10%,92.90%,9.8,95.10%,96.00%,89.60%,92.10%
53,1678,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202327,89.90%,92.30%,6.6,95.20%,94.10%,84.20%,85.90%
53,1012,ROADIE,Scheduled Standard Delivery,17,Executive Review,Degrading,Driver Supply Focus,202327,57.00%,90.90%,7.8,63.60%,45.80%,47.20%,70.00%
21,5203,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202327,81.00%,96.80%,5.6,79.30%,87.80%,87.10%,71.70%
21,1745,ROADIE,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202327,84.70%,94.00%,9.6,90.70%,92.10%,78.10%,80.60%
21,1425,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Driver Supply Focus,202327,89.20%,98.20%,6.6,88.30%,80.40%,97.30%,91.30%
21,591,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202327,88.60%,99.80%,6.9,89.70%,89.80%,89.80%,85.30%
14,2748,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202327,92.90%,94.30%,8.4,91.20%,88.60%,96.60%,93.20%
14,5126,ROADIE,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202327,47.50%,98.60%,5.2,25.00%,66.70%,37.50%,76.50%
14,1638,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202327,88.50%,95.10%,8.3,96.70%,87.50%,82.90%,82.10%
14,1362,UBER,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202327,91.50%,98.30%,8.3,88.10%,88.10%,95.10%,91.30%
14,3119,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,202327,83.60%,95.30%,9.1,84.30%,82.50%,78.20%,88.80%
72,5623,SPARK,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202327,88.60%,96.30%,7.6,84.00%,89.80%,91.80%,89.00%
3,959,SPARK,Scheduled Standard Delivery,9,At Risk,Degrading,Driver Supply Focus,202327,93.40%,98.10%,7.7,88.40%,92.50%,96.90%,96.40%
3,5772,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202327,72.70%,100.00%,6.6,33.30%,50.00%,100.00%,100.00%
12,5251,ROADIE,Scheduled Standard Delivery,9,At Risk,-,Driver Supply Focus,202327,75.60%,93.20%,9.4,,,80.00%,73.10%
12,366,UBER,Scheduled Standard Delivery,17,Executive Review,Recovering,Driver Supply Focus,202327,93.70%,96.90%,7.9,95.60%,95.60%,95.70%,78.60%
