Store Number,Sub Division Name,Phase,Op Model Expansion Tier
1,SOUTHEAST BU,LIVE,1
2,SOUTHEAST BU,LIVE,2
3,SOUTHEAST BU,Week 37,2
4,SOUTHEAST BU,LIVE,2
5,SOUTHEAST BU,LIVE,1
7,SOUTHEAST BU,LIVE,2
8,SOUTHEAST BU,LIVE,3
9,NORTH BU,LIVE,2
10,SOUTHWEST BU,Week 37,2
11,SOUTHEAST BU,LIVE,2
12,SOUTHWEST BU,Week 37,2
13,SOUTHEAST BU,LIVE,3
14,NORTH BU,Week 37,2
15,NORTH BU,Week 37,2
16,SOUTHEAST BU,LIVE,2
17,SOUTHEAST BU,LIVE,2
18,SOUTHEAST BU,LIVE,3
19,NORTH BU,LIVE,1
20,NORTH BU,Week 37,3
21,NORTH BU,Week 37,2
22,SOUTHWEST BU,Week 37,2
23,SOUTHEAST BU,LIVE,2
24,SOUTHEAST BU,LIVE,2
25,NORTH BU,Week 37,3
26,WEST BU,Week 37,2
27,NORTH BU,Week 37,3
28,SOUTHWEST BU,Week 37,3
29,NORTH BU,Week 37,2
30,NORTH BU,LIVE,3
31,SOUTHWEST BU,Week 37,2
32,NORTH BU,Week 37,2
33,SOUTHEAST BU,LIVE,3
34,SOUTHEAST BU,LIVE,3
35,WEST BU,Week 37,1
36,SOUTHEAST BU,Week 37,2
37,NORTH BU,LIVE,2
38,SOUTHWEST BU,Week 37,3
39,SOUTHWEST BU,Week 37,3
40,NORTH BU,Week 37,2
41,SOUTHWEST BU,Week 37,2
42,SOUTHWEST BU,Week 37,3
43,WEST BU,Week 37,2
44,NORTH BU,Week 37,3
45,SOUTHEAST BU,Week 37,1
46,NORTH BU,Week 37,2
47,SOUTHWEST BU,Week 37,3
48,SOUTHEAST BU,LIVE,3
49,SOUTHWEST BU,Week 37,3
50,SOUTHWEST BU,Week 37,3
51,NORTH BU,Week 37,3
52,SOUTHEAST BU,LIVE,2
54,SOUTHEAST BU,LIVE,1
55,SOUTHEAST BU,LIVE,3
56,NORTH BU,Week 37,3
57,SOUTHEAST BU,LIVE,3
58,SOUTHEAST BU,LIVE,1
59,SOUTHEAST BU,LIVE,2
60,NORTH BU,Week 37,3
61,NORTH BU,Week 37,2
62,SOUTHEAST BU,Week 37,2
63,SOUTHWEST BU,Week 37,3
64,SOUTHEAST BU,LIVE,3
65,NORTH BU,Week 37,3
66,SOUTHEAST BU,LIVE,3
67,SOUTHEAST BU,LIVE,3
68,SOUTHEAST BU,Week 37,3
69,NORTH BU,LIVE,2
70,SOUTHEAST BU,Week 37,1
71,SOUTHEAST BU,LIVE,3
72,SOUTHWEST BU,Week 37,2
73,SOUTHWEST BU,LIVE,3
74,SOUTHEAST BU,Week 37,3
75,SOUTHWEST BU,Week 37,2
76,SOUTHEAST BU,LIVE,3
77,SOUTHWEST BU,Week 37,2
78,NORTH BU,Week 37,3
79,SOUTHEAST BU,LIVE,2
80,NORTH BU,Week 37,3
81,SOUTHWEST BU,Week 37,3
82,NORTH BU,LIVE,3
83,SOUTHEAST BU,LIVE,3
85,SOUTHEAST BU,LIVE,2
86,NORTH BU,Week 37,2
87,SOUTHEAST BU,LIVE,2
88,NORTH BU,Week 37,3
89,NORTH BU,Week 37,2
90,SOUTHWEST BU,Week 37,3
91,SOUTHEAST BU,Week 37,3
92,SOUTHEAST BU,LIVE,3
93,SOUTHEAST BU,LIVE,2
94,SOUTHEAST BU,Week 37,2
95,NORTH BU,LIVE,2
96,NORTH BU,Week 37,2
97,SOUTHEAST BU,LIVE,3
98,SOUTHEAST BU,LIVE,3
99,NORTH BU,Week 37,3
100,SOUTHEAST BU,LIVE,1
101,NORTH BU,Week 37,2
102,SOUTHEAST BU,LIVE,3
103,SOUTHWEST BU,Week 37,1
104,SOUTHEAST BU,LIVE,3
105,SOUTHEAST BU,Week 37,2
106,SOUTHEAST BU,LIVE,3
107,SOUTHEAST BU,LIVE,3
108,SOUTHWEST BU,Week 37,3
109,NORTH BU,Week 37,3
110,SOUTHEAST BU,Week 37,2
111,SOUTHWEST BU,Week 37,3
112,SOUTHEAST BU,Week 37,2
113,SOUTHWEST BU,Week 37,2
114,SOUTHEAST BU,Week 37,3
115,SOUTHEAST BU,Week 37,3
116,SOUTHEAST BU,LIVE,3
117,SOUTHWEST BU,Week 37,3
118,SOUTHEAST BU,Week 37,3
119,SOUTHEAST BU,LIVE,2
120,SOUTHEAST BU,LIVE,3
121,SOUTHWEST BU,Week 37,3
122,NORTH BU,LIVE,3
123,SOUTHWEST BU,Week 37,3
124,SOUTHEAST BU,LIVE,2
125,SOUTHEAST BU,LIVE,2
126,SOUTHEAST BU,LIVE,2
127,SOUTHEAST BU,LIVE,3
128,SOUTHEAST BU,Week 37,2
129,SOUTHWEST BU,Week 37,2
130,SOUTHWEST BU,Week 37,2
131,SOUTHWEST BU,Week 37,2
132,SOUTHWEST BU,Week 37,3
133,SOUTHEAST BU,LIVE,3
134,SOUTHWEST BU,Week 37,3
135,NORTH BU,Week 37,3
136,SOUTHWEST BU,Week 37,3
137,SOUTHWEST BU,Week 37,2
138,NORTH BU,Week 37,2
139,SOUTHWEST BU,Week 37,3
140,SOUTHWEST BU,Week 37,1
141,SOUTHEAST BU,LIVE,2
143,NORTH BU,Week 37,3
144,SOUTHEAST BU,LIVE,1
145,NORTH BU,Week 37,3
146,SOUTHWEST BU,Week 37,3
147,SOUTHWEST BU,Week 37,2
148,SOUTHWEST BU,Week 37,2
149,SOUTHEAST BU,LIVE,3
150,SOUTHWEST BU,Week 37,3
151,SOUTHWEST BU,Week 37,2
152,NORTH BU,LIVE,3
153,SOUTHEAST BU,Week 37,3
154,NORTH BU,Week 37,2
155,SOUTHEAST BU,Week 37,3
157,SOUTHEAST BU,LIVE,1
158,SOUTHWEST BU,Week 37,3
159,NORTH BU,Week 37,2
160,SOUTHEAST BU,LIVE,3
161,SOUTHEAST BU,Week 37,3
162,SOUTHWEST BU,Week 37,3
163,SOUTHWEST BU,Week 37,1
164,SOUTHEAST BU,Week 37,2
165,SOUTHWEST BU,Week 37,2
166,NORTH BU,Week 37,3
167,SOUTHEAST BU,LIVE,3
168,SOUTHWEST BU,Week 37,1
169,SOUTHEAST BU,LIVE,3
170,SOUTHWEST BU,Week 37,2
171,SOUTHEAST BU,LIVE,3
172,NORTH BU,Week 37,2
173,NORTH BU,Week 37,3
174,SOUTHEAST BU,LIVE,2
175,SOUTHEAST BU,Week 37,2
176,SOUTHEAST BU,Week 37,3
177,SOUTHEAST BU,LIVE,2
178,SOUTHWEST BU,Week 37,3
179,NORTH BU,Week 37,2
180,SOUTHWEST BU,Week 37,2
181,SOUTHWEST BU,Week 37,3
182,SOUTHEAST BU,Week 37,2
183,SOUTHEAST BU,Week 37,3
184,NORTH BU,Week 37,1
185,SOUTHWEST BU,Week 37,2
186,SOUTHWEST BU,Week 37,3
188,NORTH BU,LIVE,1
189,NORTH BU,Week 37,2
190,SOUTHEAST BU,Week 37,3
192,SOUTHEAST BU,Week 37,1
194,SOUTHWEST BU,LIVE,1
195,NORTH BU,Week 37,2
196,NORTH BU,Week 37,3
197,NORTH BU,Week 37,2
198,NORTH BU,Week 37,3
199,NORTH BU,Week 37,3
200,NORTH BU,Week 37,2
201,NORTH BU,Week 37,2
202,SOUTHWEST BU,LIVE,3
203,NORTH BU,Week 37,3
204,NORTH BU,Week 37,3
205,SOUTHEAST BU,Week 37,2
206,SOUTHWEST BU,LIVE,2
207,SOUTHWEST BU,Week 37,3
209,SOUTHEAST BU,LIVE,3
