Store ID,First Assigned Carrier,Fulfillment Type, Status, Trend,Directional Focus,Max_WM_WK_ID,Weeks on DPI,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
3341,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202335,1,83.70%,95.90%,9.3,86.40%,72.30%,87.80%,89.40%
6300,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,39,92.80%,96.50%,10,93.20%,94.40%,93.80%,89.20%
781,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,21,92.20%,99.20%,5.9,97.90%,87.50%,89.40%,93.80%
132,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,15,85.90%,98.50%,5.4,100.00%,77.40%,92.90%,76.90%
63,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,11,87.60%,95.30%,6.7,90.20%,88.80%,87.30%,84.90%
242,SPARK,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202335,7,85.10%,100.00%,6.1,81.00%,92.70%,87.10%,80.60%
311,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,10,91.10%,97.50%,8.3,100.00%,97.60%,88.90%,83.00%
1196,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202335,4,85.90%,96.60%,7.4,86.70%,87.30%,93.90%,76.50%
4659,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202335,3,88.10%,91.50%,8.8,91.60%,90.10%,84.40%,86.70%
918,SPARK,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202335,12,91.40%,97.90%,7.2,89.70%,95.80%,83.50%,97.00%
2665,ROADIE,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202335,5,84.50%,96.90%,8.4,98.00%,81.30%,86.40%,71.70%
3042,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202335,4,89.90%,92.10%,8,94.20%,89.00%,87.20%,89.60%
3169,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202335,6,88.90%,88.00%,9.5,91.00%,89.90%,89.30%,85.50%
292,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,11,85.40%,99.00%,5.9,91.30%,100.00%,69.40%,81.80%
5449,ROADIE,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202335,8,79.40%,100.00%,8.4,75.60%,79.50%,79.50%,85.20%
1405,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202335,8,91.20%,90.80%,7.3,91.10%,88.50%,91.80%,93.30%
293,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,10,80.70%,100.00%,3.5,100.00%,62.50%,61.10%,94.40%
655,ROADIE,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202335,6,88.30%,96.20%,9.5,94.70%,91.30%,79.70%,87.30%
5483,UBER,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202335,6,95.20%,91.80%,8.7,97.70%,89.80%,97.70%,96.70%
1160,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202335,8,88.20%,95.10%,8.5,94.90%,95.80%,86.50%,73.90%
2872,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202335,4,93.00%,97.30%,8,95.10%,93.90%,93.70%,89.60%
1445,UBER,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202335,4,88.60%,98.60%,3.1,93.30%,84.20%,100.00%,77.80%
3809,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202335,1,83.30%,100.00%,6.8,82.60%,89.10%,81.80%,79.70%
5411,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,30,89.20%,97.70%,5.8,93.80%,83.20%,95.20%,85.20%
2867,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202335,5,85.90%,89.90%,9.7,91.80%,88.00%,80.50%,83.60%
4540,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,13,88.50%,95.90%,7.4,97.90%,87.80%,81.40%,86.60%
2493,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202335,14,79.00%,89.00%,7.9,78.10%,80.10%,75.40%,80.70%
5064,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202335,4,84.40%,89.40%,8.6,90.20%,91.60%,78.40%,76.70%
1690,POINTPICKUP,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,49,87.60%,97.10%,9.4,91.80%,90.10%,80.40%,89.00%
957,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202335,10,68.90%,97.90%,5.9,81.80%,77.80%,53.30%,70.00%
1779,ROADIE,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202335,6,81.90%,97.60%,8.4,89.10%,85.10%,75.00%,79.30%
1531,POINTPICKUP,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202335,4,62.30%,97.70%,9.2,72.50%,74.20%,49.10%,50.00%
5486,ROADIE,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202335,3,87.10%,98.30%,8.6,90.40%,83.90%,83.30%,88.00%
2197,ROADIE,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202335,5,87.70%,91.70%,10,90.30%,91.30%,89.90%,79.10%
2603,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202335,47,88.00%,99.40%,5.5,87.20%,88.10%,90.30%,86.30%
5088,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202335,49,89.20%,93.40%,8.6,89.40%,92.50%,84.20%,90.80%
2008,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202335,5,91.80%,99.10%,6.7,88.10%,86.00%,95.70%,98.70%
3293,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202335,15,92.10%,93.10%,8.6,90.20%,94.50%,95.50%,88.40%
5387,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202335,49,87.00%,94.40%,9,85.50%,88.60%,88.90%,84.70%
3581,ROADIE,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202335,6,58.00%,95.30%,9.2,56.40%,64.80%,64.60%,46.50%
2792,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,16,85.30%,99.80%,5.8,95.20%,94.30%,82.30%,73.20%
195,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202335,6,89.70%,98.90%,7.9,93.10%,93.80%,84.50%,87.60%
20,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202335,1,76.10%,97.00%,8.1,88.70%,62.50%,66.70%,84.40%
44,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202335,10,89.70%,100.00%,5,77.80%,100.00%,100.00%,85.70%
1021,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,27,88.90%,95.80%,8.5,93.70%,91.50%,84.20%,86.30%
3061,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,49,90.90%,95.10%,8.4,91.80%,90.80%,100.00%,66.70%
256,ROADIE,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202335,7,83.50%,94.90%,6.9,85.10%,86.00%,69.60%,92.30%
802,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202335,4,93.00%,94.40%,5.5,90.20%,100.00%,93.80%,88.10%
1020,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202335,4,88.40%,92.60%,9.1,96.40%,96.90%,87.40%,73.90%
3641,ROADIE,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202335,4,82.10%,96.60%,5.1,94.30%,80.20%,70.50%,75.40%
1547,ROADIE,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202335,5,72.50%,89.00%,10,78.80%,82.10%,56.10%,75.00%
1425,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,26,93.50%,98.40%,7,99.50%,93.10%,96.40%,85.30%
