Market,Store,Store Type,Shipped Devices ,
801,1854,SUP,2,
801,2026,SUP,2,
801,2067,W/M,2,
801,2240,SUP,2,
801,2346,SUP,2,
801,2423,SUP,3,
801,2449,SUP,2,
801,2501,W/M,2,
801,2721,SUP,2,
801,5803,SUP,2,
811,1822,W/M,2,
811,2072,W/M,2,
811,2085,W/M,2,
811,2302,SUP,2,
811,3693,SUP,2,
811,3716,SUP,2,
811,5793,SUP,2,
811,5802,SUP,2,
470,2126,W/M,4,
470,2308,W/M,2,
470,2314,W/M,3,
470,2321,W/M,5,
470,2473,W/M,5,
470,3290,W/M,4,
470,3478,W/M,4,
470,3883,W/M,5,
470,5274,W/M,5,
469,2070,SUP,3,
469,2071,SUP,7,
469,2074,SUP,7,
469,2188,SUP,3,
469,2710,W/M,2,
469,2711,W/M,2,
469,2722,SUP,5,
469,4359,SUP,4,
469,4474,SUP,3,
504,2974,WNM,2,
504,3198,WNM,3,
504,4182,WNM,2,
561,5021,WNM,2,
534,2686,WNM,3,
534,3164,WNM,2,
184,1753,SUP,6,
184,2142,SUP,8,
176,5447,SUP,5,
283,5936,SUP,3,
292,3639,SUP,9,
44,3284,SUP,19,
44,5147,SUP,4,
50,266,SUP,10,
51,3406,SUP,5,
51,3482,SUP,6,
51,5673,SUP,7,
52,6963,SUP,8,
53,426,SUP,6,
53,2427,SUP,6,
55,5191,SUP,8,
56,2086,SUP,5,
56,2463,SUP,7,
56,2883,SUP,8,
583,1055,SUP,9,
583,5823,SUP,5,
356,3295,SUP,8,
151,2757,SUP,6,
323,100,SUP,8,
323,4108,SUP,8,
334,79,SUP,8,
481,2226,WNM,2,
481,3138,WNM,4,
481,3139,WNM,4,
481,3140,WNM,4,
481,3141,WNM,2,
481,3147,WNM,2,
481,3179,WNM,2,
481,5602,WNM,2,
481,5604,WNM,2,
481,5605,WNM,2,
481,5643,WNM,2,
481,5658,WNM,2,
481,5659,WNM,2,
481,5664,WNM,2,
512,2486,WNM,2,
512,2689,WNM,3,
512,3022,WNM,4,
512,3023,WNM,2,
512,3046,WNM,2,
512,3047,WNM,6,
512,3123,WNM,2,
512,4174,WNM,3,
512,5610,WNM,3,
512,5611,WNM,2,
512,5633,WNM,4,
512,5634,WNM,3,
512,5635,WNM,4,
515,2487,WNM,2,
515,2826,WNM,3,
515,2998,WNM,2,
515,3026,WNM,2,
515,3131,WNM,2,
515,3132,WNM,2,
515,3133,WNM,2,
515,4762,WNM,2,
515,5600,WNM,2,
515,5663,WNM,2,
515,5689,WNM,3,
515,5691,WNM,4,
515,8958,WNM,2,
550,2590,WNM,3,
550,3050,WNM,4,
550,3098,WNM,4,
550,3144,WNM,3,
550,3145,WNM,2,
550,3146,WNM,2,
550,3178,WNM,3,
550,4178,WNM,2,
