Store,Market,Store Type,InHome Driver Age Requirement ,
3461,16,SUP,21+,
1177,340,SUP,21+,
5334,376,SUP,21+,
2134,306,SUP,21+,
2213,340,SUP,21+,
2309,221,SUP,21+,
3071,554,WNM,21+,
5341,379,SUP,21+,
5879,306,SUP,21+,
212,353,SUP,21+,
277,353,SUP,21+,
389,352,SUP,21+,
544,353,SUP,21+,
564,344,SUP,21+,
585,42,SUP,21+,
622,344,SUP,21+,
743,353,SUP,21+,
765,87,SUP,21+,
999,86,SUP,21+,
1027,306,SUP,21+,
1198,506,SUP,21+,
1313,77,SUP,21+,
1347,87,SUP,21+,
1385,305,SUP,21+,
1401,265,SUP,21+,
1441,221,SUP,21+,
1443,225,SUP,21+,
1464,305,SUP,21+,
1510,225,SUP,21+,
1556,266,SUP,21+,
1594,219,SUP,21+,
1626,352,SUP,21+,
1666,306,SUP,21+,
2005,306,SUP,21+,
2098,219,SUP,21+,
2239,86,SUP,21+,
2250,225,SUP,21+,
2404,87,SUP,21+,
2426,217,SUP,21+,
2441,221,SUP,21+,
2447,225,SUP,21+,
2471,217,SUP,21+,
2599,86,SUP,21+,
2725,217,SUP,21+,
2726,219,SUP,21+,
2734,353,SUP,21+,
2774,217,SUP,21+,
2803,352,SUP,21+,
2804,352,SUP,21+,
2817,238,SUP,21+,
2835,528,WNM,21+,
2864,506,SUP,21+,
2875,533,WNM,21+,
2967,225,SUP,21+,
3057,506,SUP,21+,
3058,86,SUP,21+,
3106,86,SUP,21+,
3112,77,SUP,21+,
3279,77,SUP,21+,
3430,352,SUP,21+,
3502,221,SUP,21+,
3571,221,SUP,21+,
3580,219,SUP,21+,
3601,266,SUP,21+,
3615,533,WNM,21+,
3700,309,SUP,21+,
3733,42,SUP,21+,
3749,225,SUP,21+,
3784,221,SUP,21+,
3812,217,SUP,21+,
3888,86,SUP,21+,
4055,87,SUP,21+,
4056,528,WNM,21+,
4131,506,SUP,21+,
4162,506,SUP,21+,
4237,42,SUP,21+,
4529,266,SUP,21+,
4574,306,SUP,21+,
4593,42,SUP,21+,
4609,225,SUP,21+,
4631,238,SUP,21+,
4848,499,WNM,21+,
