WeekNumber,STORE_NBR ,ITEM1_DESC,ITEM_NBR3,TY_Projection,LY_UNITS,LLY_UNITS
2,1897,6CT ASRT CUPCAKES,568472664,65,54,18
2,5115,12CT ASRT CUPCAKES,9809315,29,24,46
2,306,6CT ASRT CUPCAKES,568472664,18,15,10
2,3500,12CT ASRT CUPCAKES,9809315,39,32,149
2,1521,12CT ASRT CUPCAKES,9809315,15,12,42
2,3329,12CT WHITE CUPCAKES,9804080,8,6,7
2,1418,6CT WHITE CUPCAKES,568472602,6,5,29
2,1207,12CT ASRT CUPCAKES,9809315,20,16,45
2,1758,12CT ASRT CUPCAKES,9809315,60,50,65
2,2068,6CT WHITE CUPCAKES,568472602,2,1,18
2,4260,12CT ASRT CUPCAKES,9809315,46,38,22
2,1774,12CT WHITE CUPCAKES,9804080,0,0,33
2,2651,12CT WHITE CUPCAKES,9804080,0,0,4
2,1740,12CT ASRT CUPCAKES,9809315,48,40,52
2,980,12CT ASRT CUPCAKES,9809315,45,37,110
2,1994,12CT ASRT CUPCAKES,9809315,53,44,50
2,859,12CT WHITE CUPCAKES,9804080,0,0,13
2,2452,24CT CPCK ASRT BCRM,9873326,12,10,34
2,5612,12CT ASRT CUPCAKES,9809315,134,111,118
2,3959,6CT WHITE CUPCAKES,568472602,0,0,2
2,1882,12CT CHOC CUPCAKES,9804094,0,0,93
2,2110,12CT ASRT CUPCAKES,9809315,90,75,138
2,2187,24CT CPCK ASRT BCRM,9873326,22,18,11
2,3726,6CT ASRT CUPCAKES,568472664,11,9,19
2,958,6CT WHITE CUPCAKES,568472602,34,28,17
2,2990,12CT WHITE CUPCAKES,9804080,5,4,8
2,3485,12CT ASRT CUPCAKES,9809315,58,48,20
2,5747,6CT ASRT CUPCAKES,568472664,14,11,14
2,1205,12CT ASRT CUPCAKES,9809315,34,28,26
2,7294,12CT ASRT CUPCAKES,9809315,76,63,87
2,6576,6CT WHITE CUPCAKES,568472602,12,10,1
2,4352,24CT CPCK ASRT BCRM,9873326,0,0,14
2,5703,12CT ASRT CUPCAKES,9809315,5,4,14
2,1745,12CT ASRT CUPCAKES,9809315,29,24,22
2,4464,6CT ASRT CUPCAKES,568472664,0,0,7
2,3772,24CT CPCK ASRT BCRM,9873326,4,3,2
2,5752,24CT CPCK ASRT BCRM,9873326,14,11,14
2,5162,12CT CHOC CUPCAKES,9804094,2,1,4
2,1071,6CT ASRT CUPCAKES,568472664,45,37,38
2,2869,6CT ASRT CUPCAKES,568472664,26,21,27
2,4459,24CT CPCK ASRT BCRM,9873326,0,0,6
2,4203,12CT WHITE CUPCAKES,9804080,12,10,24
2,3088,12CT ASRT CUPCAKES,9809315,36,30,43
