Store Nbr,Brilliant Roses WS (20),Mixed BQT Plt (81),Mixed BQT Dbl Bkt WS (18),Mixed BQT Dbl Plt (234),Rose Lily Dbl Bkt WS (20),Small Bqt Dbl Bkt WS (32),Wild Mix Plt (54),Tulips Dbl Bkt WS (28)
1,10,1,0,7,3,5,0,3
2,0,0,0,8,2,5,0,3
3,0,1,3,6,0,0,0,2
4,1,0,1,3,0,0,2,3
5,1,0,0,3,2,0,0,3
7,0,0,0,6,4,0,0,3
8,0,2,2,2,1,0,0,0
9,0,0,1,2,2,5,0,3
10,0,0,1,3,2,0,2,3
11,0,0,1,8,1,5,0,3
12,0,0,0,4,1,0,0,3
13,0,1,1,2,2,0,2,3
14,0,1,2,1,2,1,0,3
15,0,0,2,5,2,0,0,2
16,0,1,3,5,2,3,0,2
17,0,1,0,4,1,0,1,3
18,0,0,3,1,0,0,0,0
19,0,0,0,2,0,0,1,1
20,0,1,0,3,2,2,0,0
21,1,1,3,1,0,0,2,2
22,0,2,1,1,0,1,0,3
23,0,2,1,1,2,0,0,3
24,0,1,2,3,0,1,0,0
25,0,2,0,1,0,2,0,3
26,6,0,1,3,3,0,0,3
27,0,1,3,1,2,0,0,0
28,0,2,1,1,1,0,1,3
29,0,2,1,1,2,2,0,3
30,0,0,2,2,2,2,0,3
31,0,0,2,3,2,0,1,0
33,0,1,2,2,0,0,0,0
34,0,1,0,2,0,0,0,0
35,1,1,0,2,3,2,0,3
36,0,1,3,5,2,0,2,2
37,0,1,0,4,2,2,0,3
38,0,1,0,3,4,0,0,0
39,0,2,0,1,0,0,0,1
40,1,0,0,2,2,4,0,2
41,0,0,0,2,3,0,2,0
42,0,1,2,1,2,2,0,0
43,1,2,1,1,1,0,0,0
45,1,1,4,3,0,2,0,3
46,0,1,0,6,3,0,0,0
47,0,0,1,3,2,0,0,0
48,1,2,1,0,0,0,1,0
49,0,2,1,2,1,0,0,0
50,0,0,0,2,2,0,0,3
51,0,1,3,2,2,0,0,0
52,1,0,0,3,0,0,0,0
54,3,1,0,7,2,6,0,0
55,0,1,2,2,0,0,0,0
56,0,1,2,2,1,3,0,0
58,0,1,2,8,2,0,2,3
59,0,1,0,4,3,0,2,0
60,0,0,0,2,0,2,0,3
61,0,1,0,2,4,5,0,3
62,0,0,0,2,2,0,0,0
63,0,0,0,2,2,0,1,0
64,0,2,1,1,0,0,0,0
65,0,2,1,1,0,0,0,0
66,0,2,0,2,2,0,1,2
67,0,1,4,3,3,0,0,3
68,0,1,1,0,0,0,0,0
69,0,0,1,2,2,4,0,3
70,0,2,0,1,0,1,0,0
71,0,0,1,4,2,0,0,0
72,0,0,2,1,3,3,0,0
73,0,2,0,1,2,0,1,0
74,0,2,1,1,2,0,0,0
75,0,0,0,2,0,0,0,3
76,0,0,0,3,2,2,0,2
77,4,0,0,3,1,0,0,0
78,0,0,0,4,0,0,0,3
79,0,0,0,2,2,0,1,3
80,1,1,2,1,0,0,0,3
81,1,1,1,0,2,0,0,0
82,0,0,3,1,0,0,0,0
83,0,1,0,2,2,0,0,3
85,0,0,0,3,0,0,0,3
86,0,1,0,4,2,2,0,3
87,0,1,1,2,0,0,0,2
88,0,2,1,1,1,0,0,3
89,0,2,2,1,0,0,0,3
90,0,2,1,1,0,0,2,3
91,0,0,2,1,0,0,0,0
92,0,0,1,3,0,0,0,2
93,0,2,2,1,0,0,0,0
94,0,2,1,1,0,0,1,0
95,0,0,0,2,2,0,0,3
96,0,0,0,5,0,2,0,3
97,0,0,0,2,0,0,0,0
98,0,0,2,1,2,0,0,0
99,0,2,1,1,1,0,0,3
100,5,0,0,8,4,0,1,2
101,0,2,1,1,1,0,0,3
102,0,0,0,3,0,0,0,0
103,0,0,0,10,2,0,2,3
104,0,0,0,2,0,0,1,2
105,0,0,1,2,3,2,0,1
106,0,1,2,1,0,0,0,0
107,0,1,3,1,0,0,1,3
108,0,0,0,2,2,0,2,3
109,0,0,0,2,1,0,0,0
110,2,1,3,3,3,0,0,2
111,0,0,0,2,0,0,1,1
112,0,1,0,1,2,0,0,0
113,0,3,1,0,0,0,1,3
114,0,1,0,1,0,0,0,0
115,0,1,2,1,2,0,0,0
118,0,0,2,1,0,2,0,0
119,5,0,0,5,0,0,0,0
120,0,2,2,1,0,2,0,2
121,0,1,3,3,1,0,1,3
122,0,0,0,2,2,0,0,0
123,0,2,2,1,0,0,0,0
124,1,0,2,2,2,0,1,0
125,0,1,3,5,2,0,2,3
126,0,1,0,1,1,0,0,1
127,0,1,1,4,2,0,0,3
128,0,1,0,4,3,0,0,2
129,0,1,1,5,2,0,1,0
130,5,1,2,2,2,0,2,3
131,7,0,0,8,0,4,0,2
132,0,2,1,1,1,0,0,3
133,0,2,1,1,0,0,0,0
134,0,0,0,3,3,0,0,0
135,0,1,1,1,2,0,0,2
137,0,0,0,2,2,0,1,3
138,0,1,0,3,0,3,0,3
139,0,1,2,2,5,2,0,0
140,9,2,0,1,2,5,0,3
141,0,2,2,1,2,0,2,2
143,0,1,0,2,4,1,0,2
144,1,1,2,4,4,0,1,3
145,0,1,1,0,0,0,0,0
146,0,0,0,4,1,0,0,2
147,0,0,0,3,2,2,0,3
148,1,0,0,5,2,6,0,3
149,2,0,4,0,2,0,0,0
150,0,0,0,2,2,0,0,3
151,0,1,3,4,2,0,2,3
152,0,1,3,2,2,1,0,3
153,0,0,2,2,3,0,1,0
154,0,1,0,2,1,0,0,0
155,0,0,0,2,4,0,1,2
157,0,1,0,4,5,4,0,2
158,0,0,0,2,3,0,0,0
159,1,0,0,2,2,0,0,3
160,0,1,3,2,3,0,0,0
161,0,2,0,1,0,0,0,3
162,1,0,3,1,0,0,0,0
163,3,1,0,5,1,0,0,3
164,0,0,0,2,3,0,1,0
165,5,0,0,7,2,2,0,3
166,0,3,1,0,1,0,0,0
167,0,1,2,1,0,0,0,0
168,0,0,0,2,2,1,0,3
169,0,1,1,1,0,0,0,0
170,4,1,3,1,1,0,0,3
171,0,2,0,1,0,0,0,0
172,0,0,0,2,0,2,0,0
173,0,2,0,1,0,0,0,0
174,0,1,1,5,0,2,0,1
175,0,1,3,1,3,0,1,0
177,0,2,1,0,3,1,0,0
178,0,1,0,1,0,0,0,0
179,2,1,2,4,0,0,0,3
180,5,1,2,1,2,1,0,0
181,0,1,2,2,0,0,0,0
182,0,0,0,1,0,0,0,0
183,0,2,0,1,0,0,0,0
184,0,1,2,2,1,2,0,3
185,4,1,3,4,3,2,0,0
186,0,2,2,1,0,0,0,0
188,0,0,0,2,2,3,0,2
189,0,0,0,2,2,1,0,3
190,0,1,3,1,1,0,1,0
192,0,1,3,1,0,1,0,0
194,6,1,1,7,0,0,2,2
195,0,1,2,1,2,0,0,3
196,0,1,1,1,0,0,0,3
197,0,0,0,3,0,0,0,3
198,0,2,1,1,2,0,0,0
199,0,1,2,3,0,2,0,0
200,0,0,0,2,6,4,0,3
201,0,0,2,2,2,1,0,2
202,1,2,0,2,0,0,0,3
203,0,2,0,1,0,0,0,0
204,0,2,0,2,0,2,0,0
205,0,1,3,1,0,1,0,0
206,4,1,2,2,0,0,0,0
207,0,1,2,1,0,0,0,0
211,5,0,0,4,0,1,0,0
212,0,1,0,5,0,0,0,3
213,0,0,0,2,1,0,1,1
214,0,1,2,4,1,0,0,3
216,0,0,0,2,3,1,0,3
217,2,0,0,5,2,2,0,0
218,0,1,2,1,0,2,0,0
219,0,1,4,3,3,4,0,2
220,10,2,0,2,4,2,0,3
221,1,1,4,5,0,0,0,0
222,0,2,2,1,0,2,0,3
224,0,1,3,1,4,0,0,0
225,0,2,0,2,0,0,0,0
226,0,1,1,3,1,0,0,0
227,0,1,0,2,2,0,0,0
228,5,1,0,5,1,0,1,0
229,0,0,2,1,1,0,0,0
231,0,0,0,6,3,3,0,3
