Store Nbr,Item Number,Item Description,Qty,Remarks
2021,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
2797,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
3561,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
5448,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
1749,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1980,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2021,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2118,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2142,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2170,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2200,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2369,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2681,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2797,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2953,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
2964,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3535,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3561,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
4389,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
5076,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
5448,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1749,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
1980,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2021,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2118,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2142,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2170,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2200,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2369,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2681,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2797,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2953,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2964,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3535,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
3561,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
4389,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5076,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
5448,673938178,BTFL ROSE VELQLT K,2,1 Week Delay
2021,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
2797,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
3561,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
5448,673938179,BTFL STCHQLTBLU KG,2,1 Week Delay
890,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
1084,673938175,BTFL STCHQLTBLU QN,2,1 Week Delay
713,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
769,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
817,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
890,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
941,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
955,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
1084,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3474,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
3782,673938177,BTFL ROSE VELQLT Q,2,1 Week Delay
