Market,Store,Current VIN,BrightDrop VIN,BrightDrop Estimated Arrival Date at Store
51,202,1FTBW3XK9NKA08271,2G5ZJ2TY6R9104066,10/16/2024
51,1117,1FTBW3XK7NKA00511,2G5ZJ2TY0R9104080,10/16/2024
51,2918,1FTBW3XK1NKA00536,2G5ZJ2TY0R9104094,10/16/2024
51,2973,1FTBW3XK0NKA14380,2G5ZJ2TY4R9104101,10/16/2024
51,3406,1FTBW3XK4NKA00594,2G5ZJ2TY5R9104107,10/16/2024
51,3482,1FTBW3XK5NKA00538,2G5ZJ2TYXR9104118,10/16/2024
51,5672,1FTBW3XK6NKA00466,2G5ZJ2TY1R9104136,10/16/2024
51,5673,1FTBW3XK6NKA14125,2G5ZJ2TY9R9104000,10/16/2024
479,940,1FTBW3XK5NKA00541,2G5ZJ2TY0R9104001,10/16/2024
479,972,1FTBW3XK7NKA00556,2G5ZJ2TY2R9104002,10/16/2024
479,2980,1FTBW3XK6NKA28428,2G5ZJ2TY4R9104003,10/16/2024
479,3773,1FTBW3XK9NKA14166,2G5ZJ2TYXR9104006,10/16/2024
479,4165,1FTBW3XK1NKA00522,2G5ZJ2TY1R9104007,10/16/2024
479,5312,1FTBW3XK4NKA14415,2G5ZJ2TY3R9104008,10/16/2024
479,5316,1FTBW3XKXNKA00552,2G5ZJ2TY5R9104009,10/16/2024
56,2086,1FTBW3XK0NKA00608,2G5ZJ2TY3R9104025,10/22/2024
56,2463,1FTBW3XK5NKA14116,2G5ZJ2TY5R9104026,10/22/2024
56,2883,1FTBW3XK6NKA00533,2G5ZJ2TYXR9104040,10/22/2024
56,2926,1FTBW3XKXNKA14158,2G5ZJ2TY1R9104041,10/22/2024
56,3777,1FTBW3XK7NKA00606,2G5ZJ2TY7R9104044,10/22/2024
56,5866,1FTBW3XKXNKA00499,2G5ZJ2TY0R9104046,10/22/2024
56,6300,1FTBW3XKXNKA14225,2G5ZJ2TY4R9104048,10/22/2024
48,220,1FTBW3XK5NKA09630,2G5ZJ2TY8R9104070,10/22/2024
52,206,3C6MRVJG8PE592000,2G5ZJ2TY1R9104072,10/22/2024
52,3286,3C6MRVJG6PE591945 ,2G5ZJ2TY2R9104050,10/22/2024
52,4627,3C6MRVJG1PE512035,2G5ZJ2TY9R9104028,10/22/2024
48,4509,1FTBW3XK8NKA00548,2G5ZJ2TY0R9104029,10/22/2024
55,1118,1FTBW3XK7NKA08270,2G5ZJ2TY7R9104030,10/22/2024
55,2667,1FTBW3XK4NKA14172,2G5ZJ2TY9R9104031,10/22/2024
53,217,1FTBW3XK7NKA22539,2G5ZJ2TY8R9104098,10/22/2024
53,1216,1FTBW3XK3NKA00490,2G5ZJ2TY6R9104116,10/22/2024
53,2105,1FTBW3XK5NKA00524,2G5ZJ2TY6R9104102,10/22/2024
44,1455,1FTBW3XK5NKA08252,2G5ZJ2TY4R9104051,10/29/2024
44,1801,1FTBW3XKXNKA08246,2G5ZJ2TY4R9104065,10/29/2024
44,2978,1FTBW3XK8NKA14160,2G5ZJ2TY5R9104060,10/29/2024
44,3284,1FTBW3XK2NKA14395,2G5ZJ2TY7R9104061,10/29/2024
44,3285,1FTBW3XK1NKA08281,2G5ZJ2TY9R9104062,10/29/2024
44,3631,1FTBW3XKXNKA14161,2G5ZJ2TY0R9104063,10/29/2024
44,4503,1FTBW3XK1NKA22519,2G5ZJ2TY2R9104064,10/29/2024
44,5147,1FTBW3XK4NKA14236,2G5ZJ2TY8R9104067,10/29/2024
91,890,1FTBW3XK7NKA08236,2G5ZJ2TY5R9104088,10/29/2024
91,943,1FTBW3XK2NKA14459,2G5ZJ2TY7R9104089,10/29/2024
91,943,3C6MRVJG3PE566307,2G5ZJ2TY5R9104091,10/29/2024
91,955,1FTBW3XK0NKA14122,2G5ZJ2TY3R9104090,10/29/2024
91,3782,1FTBW3XK6NKA08275,2G5ZJ2TY9R9104093,10/29/2024
91,4588,1FTBW3XK9NKA14460,2G5ZJ2TY7R9104092,10/29/2024
91,5871,1FTBW3XK0NKA09647,2G5ZJ2TY2R9104081,10/29/2024
91,5894,1FTBW3XK1NKA14355,2G5ZJ2TY4R9104082,10/29/2024
89,705,1FTBW3XK3NKA14342,2G5ZJ2TY6R9104083,10/29/2024
89,800,1FTBW3XK5NKA14410,2G5ZJ2TYXR9104085,10/29/2024
89,942,1FTBW3XK3NKA14339,2G5ZJ2TY1R9104086,10/29/2024
90,817,1FTBW3XK8NKA22517,2G5ZJ2TY3R9104087,10/29/2024
90,908,1FTBW3XK1NKA00472,2G5ZJ2TY8R9104084,10/29/2024
90,1220,1FTBW3XKXNKA00504,2G5ZJ2TY2R9104095,10/29/2024
90,2881,1FTBW3XK6NKA14187,2G5ZJ2TY4R9104096,10/29/2024
90,4332,1FTBW3XK8NKA00601,2G5ZJ2TY6R9104097,10/29/2024
90,5420,1FTBW3XK1NKA14484,2G5ZJ2TY0R9104127,10/29/2024
96,3162,1FTBW3XKXNKA14175,2G5ZJ2TY2R9104128,10/29/2024
96,4142,1FTBW3XK5NKA14133,2G5ZJ2TY4R9104129,10/29/2024
96,4197,1FTBW3XK3NKA00537,2G5ZJ2TY0R9104130,10/29/2024
96,4211,1FTBW3XK3NKA22537,2G5ZJ2TY2R9104131,10/29/2024
96,4425,1FTBW3XK7NKA14134,2G5ZJ2TY4R9104132,10/29/2024
96,5132,1FTBW3XK6NKA14447,2G5ZJ2TY6R9104133,10/29/2024
96,5179,1FTBW3XK0NKA22544,2G5ZJ2TY6R9104052,10/29/2024
559,5988,1FTBW3XK7NKA14151,2G5ZJ2TY8R9104053,10/29/2024
96,6894,1FTBW3XK4NKA14348,2G5ZJ2TYXR9104054,10/29/2024
94,857,1FTBW3XK1NKA14405,2G5ZJ2TY1R9104055,10/29/2024
94,857,3C6MRVJG5PE566308,2G5ZJ2TY3R9104056,10/29/2024
94,3207,1FTBW3XK7NKA08267,2G5ZJ2TY9R9104059,10/29/2024
511,2119,1FTBW3XK0NKA08269,2G5ZJ2TY0R9103995,12/5/2024
512,2486,1FTBW3XK7NKA14165,2G5ZJ2TY2R9103996,12/5/2024
452,2697,1FTBW3XK5NKA00555,2G5ZJ2TY8R9104103,12/5/2024
512,3023,1FTBW3XK5NKA14178,2G5ZJ2TY4R9103997,12/5/2024
512,3123,1FTBW3XK1NKA22536,2G5ZJ2TY6R9103998,12/5/2024
512,4174,1FTBW3XKXNKA14354,2G5ZJ2TY8R9103999,12/5/2024
451,5435,1FTBW3XK5NKA22538,2G5ZJ2TY6R9104021,12/5/2024
512,5610,1FTBW3XK4NKA14463,2G5ZJ2TYXR9104104,12/5/2024
512,5611,1FTBW3XK1NKA09639,2G5ZJ2TY3R9104106,12/5/2024
451,5884,1FTBW3XK4NKA14351,2G5ZJ2TY2R9104100,12/5/2024
379,905,1FTBW3XK9NKA30478,2G5ZJ2TY3R9104140,12/5/2024
379,1231,1FTBW3XK2NKA30452,2G5ZJ2TY1R9104105,12/5/2024
380,1252,1FTBW3XK6NKA30132,2G5ZJ2TY7R9104108,12/5/2024
380,1308,1FTBW3XK9NKA30125,2G5ZJ2TY9R9104109,12/5/2024
376,1492,1FTBW3XK5NKA28405,2G5ZJ2TY3R9104011,12/5/2024
376,1689,1FTBW3XKXNKA28500,2G5ZJ2TY5R9104012,12/5/2024
380,2125,1FTBW3XK7NKA28437,2G5ZJ2TY7R9104013,12/5/2024
585,2223,1FTBW3XK1NKA30426,2G5ZJ2TY9R9104014,12/5/2024
