Market,Store,Store Type ,Launch Date 
323,1,Supercenter,09/24/2024
322,2,Supercenter,09/24/2024
21,3,Supercenter,09/26/2024
323,4,Supercenter,09/24/2024
326,5,Supercenter,09/24/2024
326,7,Supercenter,09/24/2024
326,8,Supercenter,09/24/2024
335,9,Supercenter,09/24/2024
347,10,Supercenter,09/24/2024
328,11,Supercenter,09/24/2024
347,12,Supercenter,09/24/2024
334,13,Supercenter,09/24/2024
357,14,Supercenter,09/24/2024
333,15,Supercenter,09/24/2024
321,16,Supercenter,09/24/2024
334,17,Supercenter,09/24/2024
328,18,Supercenter,09/24/2024
335,19,Supercenter,09/24/2024
361,20,Supercenter,09/24/2024
336,21,Supercenter,09/24/2024
347,22,Supercenter,09/24/2024
135,23,Supercenter,09/24/2024
326,24,Supercenter,09/24/2024
359,25,Supercenter,09/24/2024
411,26,Supercenter,09/24/2024
347,28,Supercenter,09/24/2024
336,29,Supercenter,09/24/2024
335,30,Supercenter,09/24/2024
351,31,Supercenter,09/24/2024
333,32,Supercenter,09/24/2024
325,33,Supercenter,09/24/2024
334,34,Supercenter,09/24/2024
407,35,Supercenter,09/24/2024
329,36,Supercenter,09/24/2024
335,37,Supercenter,09/24/2024
410,39,Supercenter,09/24/2024
359,40,Supercenter,09/24/2024
345,41,Supercenter,09/24/2024
407,43,Supercenter,09/24/2024
329,45,Supercenter,09/24/2024
357,46,Supercenter,09/24/2024
351,47,Supercenter,09/24/2024
334,48,Supercenter,09/24/2024
325,52,Supercenter,09/24/2024
322,54,Supercenter,09/24/2024
328,57,Supercenter,09/24/2024
325,58,Supercenter,09/24/2024
334,59,Supercenter,09/24/2024
339,60,Supercenter,09/24/2024
361,61,Supercenter,09/24/2024
329,62,Supercenter,09/24/2024
347,63,Supercenter,09/24/2024
146,64,Supercenter,09/24/2024
336,65,Supercenter,09/24/2024
321,66,Supercenter,09/24/2024
321,67,Supercenter,09/24/2024
329,68,Supercenter,09/24/2024
335,69,Supercenter,09/24/2024
329,70,Supercenter,09/24/2024
328,71,Supercenter,09/24/2024
410,72,Supercenter,09/24/2024
356,73,Supercenter,09/24/2024
134,75,Supercenter,09/24/2024
322,76,Supercenter,09/24/2024
83,77,Supercenter,09/24/2024
357,78,Supercenter,09/24/2024
334,79,Supercenter,09/17/2024
359,80,Supercenter,09/24/2024
327,83,Supercenter,09/24/2024
324,85,Supercenter,09/24/2024
357,86,Supercenter,09/24/2024
127,87,Supercenter,09/24/2024
357,88,Supercenter,09/24/2024
336,89,Supercenter,09/24/2024
347,90,Supercenter,09/24/2024
329,91,Supercenter,09/24/2024
146,93,Supercenter,09/24/2024
145,94,Supercenter,09/24/2024
335,95,Supercenter,09/24/2024
361,96,Supercenter,09/24/2024
135,98,Supercenter,09/24/2024
323,100,Supercenter,09/24/2024
336,101,Supercenter,09/24/2024
351,103,Supercenter,09/24/2024
146,104,Supercenter,09/24/2024
4,105,Supercenter,09/24/2024
146,107,Supercenter,09/24/2024
344,108,Supercenter,09/24/2024
360,109,Supercenter,09/24/2024
89,110,Supercenter,09/26/2024
410,111,Supercenter,09/24/2024
138,112,Supercenter,09/24/2024
349,113,Supercenter,09/24/2024
4,118,Supercenter,09/24/2024
328,119,Supercenter,09/24/2024
146,120,Supercenter,09/24/2024
351,121,Supercenter,09/24/2024
