Store Number,Workgroup,City,State,Date Offering Testing Began,Date Offering Testing Ended
1555,Overnight,EL CENTRO,CA,1/5/2022,1/27/2022
1575,Overnight,OROVILLE,CA,9/21/2021,10/11/2021
1588,Overnight,VICTORVILLE,CA,1/5/2022,1/27/2022
1588,Fashion,VICTORVILLE,CA,1/7/2022,1/27/2022
1600,Front End,RIDGECREST,CA,1/12/2022,1/27/2022
1608,Overnight,RED BLUFF,CA,9/17/2021,10/29/2021
1608,Digital,RED BLUFF,CA,9/3/2021,9/29/2021
1608,Pharmacy,RED BLUFF,CA,1/7/2022,1/27/2022
1624,Digital,BAKERSFIELD,CA,9/3/2021,9/16/2021
1624,Overnight,BAKERSFIELD,CA,9/28/2021,10/11/2021
1660,Front End,PALMDALE,CA,1/6/2022,1/27/2022
1660,Digital,PALMDALE,CA,1/7/2022,1/27/2022
1692,Overnight,COLTON,CA,1/12/2022,1/27/2022
1692,ACC,COLTON,CA,1/12/2022,1/27/2022
1826,Front End,VISALIA,CA,10/20/2021,11/11/2021
1853,Overnight,HEMET,CA,10/20/2021,11/4/2021
1853,GM Garden,HEMET,CA,1/5/2022,1/27/2022
1859,Fashion,CALEXICO,CA,1/7/2022,1/27/2022
1881,Digital,ANTELOPE,CA,1/5/2022,1/27/2022
1882,Digital,SELMA,CA,1/5/2022,1/20/2022 
1882,Asset Protection,SELMA,CA,1/7/2022,1/27/2022
1912,Replenishment 1,CORONA,CA,9/21/2021,10/11/2021
1914,Overnight,HIGHLAND,CA,1/7/2022,1/27/2022
1914,Replenishment 1,HIGHLAND,CA,1/7/2022,1/27/2022
1941,Fresh,GLENDORA,CA,1/6/2022,1/27/2022
1963,GM Garden,TURLOCK,CA,1/13/2022,1/27/2022
1979,Overnight,CLEARLAKE,CA,11/10/2021,12/2/2021
1983,Overnight,CERES,CA,1/7/2022,1/27/2022
1988,Apparel,ROSEVILLE,CA,8/6/2021,8/24/2021
2025,Replenishment 1,TRACY,CA,1/14/2022,1/27/2022
2028,Digital,RIVERSIDE,CA,1/5/2022,1/27/2022
2044,Overnight,CHICO,CA,8/10/2021,9/3/2021
2044,Vision Center,CHICO,CA,12/31/2021,1/20/2022 
2048,Food and Consumables,FAIRFIELD,CA,1/14/2022,1/27/2022
2077,Overnight,LAKE ELSINORE,CA,8/25/2021,9/16/2021
2082,Pharmacy,CERRITOS,CA,1/6/2022,1/27/2022
2094,Digital,VISTA,CA,1/3/2022,1/20/2022 
2117,Fresh,LOS BANOS,CA,10/15/2021,11/4/2021
2177,Fashion,SAN DIEGO,CA,1/13/2022,1/27/2022
2177,Front End,SAN DIEGO,CA,1/13/2022,1/27/2022
2218,Replenishment 1,FOOTHILL RANCH,CA,1/3/2022,1/27/2022
2245,Overnight,OCEANSIDE,CA,7/30/2021,9/3/2021
2253,Overnight,EL CAJON,CA,1/10/2022,1/27/2022
2401,Digital,DUARTE,CA,1/7/2022,1/27/2022
2457,Digital,RANCHO CORDOVA,CA,10/7/2021,10/29/2021
2479,Digital,SAN DIEGO,CA,9/14/2021,9/29/2021
2537,Overnight,REDDING,CA,9/21/2021,10/11/2021
2842,Front End,CORONA,CA,1/6/2022,1/27/2022
2951,Deli/Bakery,LANCASTER,CA,7/29/2021,8/24/2021
3084,Fresh,ESCONDIDO,CA,1/7/2022,1/27/2022
3099,Digital,LA PALMA,CA,1/3/2022,1/20/2022 
3139,Digital,BAKERSFIELD,CA,8/16/2021,9/3/2021
3141,Digital,BAKERSFIELD,CA,9/21/2021,10/11/2021
3352,Digital,STOCKTON,CA,7/21/2021,8/24/2021
3352,Front End,STOCKTON,CA,8/4/2021,9/3/2021
3464,Front End,CHINO,CA,1/5/2022,1/27/2022
3516,Overnight,CHULA VISTA,CA,8/18/2021,9/3/2021
3523,Fashion,SANTA CLARITA,CA,1/10/2022,1/27/2022
3650,Digital,VENTURA,CA,1/7/2022,1/27/2022
3947,Digital,CHULA VISTA,CA,12/20/2021,1/20/2022 
4134,Fresh,STANTON,CA,1/5/2022,1/20/2022 
4169,Food and Consumables,EL CAJON,CA,1/7/2022,1/27/2022
4340,Fresh,HESPERIA,CA,1/5/2022,1/27/2022
4759,Front End,CITRUS HEIGHTS,CA,1/6/2022,1/27/2022
5072,Overnight,TORRANCE,CA,1/5/2022,1/27/2022
5133,Digital,ANDERSON,CA,8/5/2021,8/24/2021
5136,Front End,MARYSVILLE,CA,7/29/2021,9/3/2021
5156,Digital,BEAUMONT,CA,1/5/2022,1/27/2022
5156,Fresh,BEAUMONT,CA,1/6/2022,1/27/2022
5156,Pharmacy,BEAUMONT,CA,1/10/2022,1/27/2022
5156,Front End,BEAUMONT,CA,1/11/2022,1/27/2022
5193,Overnight,MORENO VALLEY,CA,1/3/2022,1/20/2022 
5335,GM Garden,BRAWLEY,CA,1/11/2022,1/27/2022
5394,Front End,DINUBA,CA,1/10/2022,1/27/2022
5603,Pharmacy,DOWNEY,CA,1/3/2022,1/20/2022 
5605,Replenishment 1,PANORAMA CITY,CA,12/31/2021,1/20/2022 
5609,Front End,VALLEJO,CA,1/10/2022,1/27/2022
5634,Front End,FRESNO,CA,1/3/2022,1/27/2022
5640,Front End,ANAHEIM,CA,1/13/2022,1/27/2022
5644,Front End,IRVINE,CA,1/5/2022,1/20/2022 
5751,Digital,SALINAS,CA,12/31/2021,1/20/2022 
5766,Digital,MORGAN HILL,CA,1/3/2022,1/27/2022
5884,Front End,SAN JOSE,CA,12/31/2021,1/20/2022 
5886,Overnight,ENCINITAS,CA,1/5/2022,1/20/2022 
5886,Front End,ENCINITAS,CA,1/6/2022,1/27/2022
1555,Digital,EL CENTRO,CA,1/11/2022,2/22/2022
1563,Customer Host,LANCASTER,CA,1/11/2022,2/22/2022
1563,Overnight,LANCASTER,CA,1/5/2022,2/22/2022
1563,Food and Consumables,LANCASTER,CA,1/13/2022,2/22/2022
1574,Digital,BAKERSFIELD,CA,1/5/2022,2/22/2022
1588,Fresh,VICTORVILLE,CA,1/30/2022,2/22/2022
1616,Fashion,SUSANVILLE,CA,1/30/2022,2/22/2022
1624,Pharmacy,BAKERSFIELD,CA,1/6/2022,2/22/2022
1660,Overnight,PALMDALE,CA,1/20/2022,2/22/2022
1692,Food and Consumables,COLTON,CA,1/12/2022,2/22/2022
1692,Front End,COLTON,CA,1/11/2022,2/22/2022
1693,Digital,REDLANDS,CA,1/11/2022,2/22/2022
1700,Fresh,POWAY,CA,1/7/2022,2/22/2022
1700,Overnight,POWAY,CA,1/13/2022,2/22/2022
1700,Replenishment 1,POWAY,CA,1/14/2022,2/22/2022
1747,Replenishment 1,PERRIS,CA,1/12/2022,2/22/2022
1760,Asset Protection,FOLSOM,CA,1/13/2022,2/22/2022
1805,Front End,LA QUINTA,CA,1/14/2022,2/22/2022
1805,Food and Consumables,LA QUINTA,CA,1/7/2022,2/22/2022
1815,Fresh,FRESNO,CA,1/20/2022,2/22/2022
1815,Food and Consumables,FRESNO,CA,1/20/2022,2/22/2022
1826,Fresh,VISALIA,CA,1/12/2022,2/22/2022
1832,Digital,PALM SPRINGS,CA,1/6/2022,2/22/2022
1853,Overnight,HEMET,CA,1/7/2022,2/22/2022
1862,Digital,RIALTO,CA,1/12/2022,2/22/2022
1877,Front End,PORTERVILLE,CA,1/24/2022,2/22/2022
1879,Overnight,BARSTOW,CA,1/10/2022,2/22/2022
1879,Digital,BARSTOW,CA,1/10/2022,2/22/2022
1882,Digital,SELMA,CA,1/24/2022,2/22/2022
1899,Overnight,RIVERSIDE,CA,1/12/2022,2/22/2022
1899,Digital,RIVERSIDE,CA,1/5/2022,2/22/2022
1912,Fresh,CORONA,CA,1/5/2022,2/22/2022
1912,Digital,CORONA,CA,1/3/2022,2/22/2022
1914,Digital,HIGHLAND,CA,1/11/2022,2/22/2022
1915,Front End,YUCCA VALLEY,CA,1/20/2022,2/22/2022
1915,Customer Host,YUCCA VALLEY,CA,1/20/2022,2/22/2022
1915,Fresh,YUCCA VALLEY,CA,1/20/2022,2/22/2022
1915,Digital,YUCCA VALLEY,CA,1/10/2022,2/22/2022
1917,Digital,SANTEE,CA,1/10/2022,2/22/2022
1941,Digital,GLENDORA,CA,12/29/2021,2/22/2022
1983,Digital,CERES,CA,1/11/2022,2/22/2022
1983,Replenishment 1,CERES,CA,1/12/2022,2/22/2022
2001,Overnight,FRESNO,CA,1/11/2022,2/22/2022
2025,Digital,TRACY,CA,1/13/2022,2/22/2022
2028,Overnight,RIVERSIDE,CA,1/6/2022,2/22/2022
2028,Front End,RIVERSIDE,CA,1/5/2022,2/22/2022
2030,Replenishment 1,SONORA,CA,1/13/2022,2/22/2022
2039,Digital,MERCED,CA,1/11/2022,2/22/2022
2077,Overnight,LAKE ELSINORE,CA,1/5/2022,2/22/2022
2077,Digital,LAKE ELSINORE,CA,1/3/2022,2/22/2022
