Facility,Outage Type,Status,Walmart Week,Outage Start Date,Outage Time,Outage Duration,Outage Time Zone,Building Type,Day of Month
6039,Systems Outage Cancelled,Cancelled,49,January 01,6:00 p.m.,,Central,RDC,
6040,Systems Outage Cancelled,Cancelled,49,January 01,11:30 p.m.,,Central,RDC,
6043,Systems Outage Cancelled,Cancelled,49,January 01,12:00 a.m.,,Central,RDC,
7018,Systems Outage Cancelled,Cancelled,49,January 02,1:00 a.m.,,Central,GDC,
7036,Systems Outage Cancelled,Cancelled,49,January 02,1:00 a.m.,,Central,RDC,
7038,Systems Outage Cancelled,Cancelled,49,January 02,12:30 a.m.,,Central,RDC,
8851,Systems Outage Cancelled,Cancelled,49,January 02,8:00 p.m.,,Central,GDC,
6010,Systems Outage Cancelled,Cancelled,49,January 03,1:00 a.m.,,Central,RDC,
6016,Systems Outage Cancelled,Cancelled,49,January 03,1:30 a.m.,,Central,RDC,
6035,Systems Outage Cancelled,Cancelled,49,January 03,1:30 a.m.,,Central,RDC,
6012,Systems Outage Cancelled,Cancelled,49,January 04,1:00 a.m.,,Central,RDC,
6031,Systems Outage Cancelled,Cancelled,49,January 04,3:00 a.m.,,Central,RDC,
6061,Systems Outage Cancelled,Cancelled,49,January 04,11:30 p.m.,,Central,IDC,
7033,Systems Outage Cancelled,Cancelled,49,January 05,5:00 a.m.,,Central,RDC,
6019,Systems Outage Cancelled,Cancelled,49,January 06,2:00 a.m.,,Central,RDC,
7026,Systems Outage Cancelled,Cancelled,49,January 06,9:00 p.m.,,Central,RDC,
6005,Systems Outage Cancelled,Cancelled,50,January 07,8:00 p.m.,,Central,RDC,
6022,Systems Outage Cancelled,Cancelled,50,January 07,9:00 p.m.,,Central,RDC,
6023,Systems Outage Cancelled,Cancelled,50,January 07,11:00 p.m.,,Central,RDC,
6055,Systems Outage Cancelled,Cancelled,50,January 07,11:30 p.m.,,Central,GDC,
6095,Systems Outage Cancelled,Cancelled,50,January 07,11:00 p.m.,,Central,GDC,
7023,Systems Outage Cancelled,Cancelled,50,January 07,11:30 p.m.,,Central,GDC,
7035,Systems Outage Cancelled,Cancelled,50,January 07,11:30 p.m.,,Central,RDC,
7055,Systems Outage Cancelled,Cancelled,50,January 07,10:30 p.m.,,Central,GDC,
6021,Systems Outage Cancelled,Cancelled,50,January 08,4:30 a.m.,,Central,RDC,
6069,Systems Outage Cancelled,Cancelled,50,January 08,1:00 a.m.,,Central,RDC,
6072,Systems Outage Cancelled,Cancelled,50,January 08,12:30 a.m.,,Central,GDC,
6085,Systems Outage Cancelled,Cancelled,50,January 08,12:30 a.m.,,Central,GDC,
7014,Systems Outage Cancelled,Cancelled,50,January 08,10:00 p.m.,,Central,GDC,
3960,Systems Outage Cancelled,Cancelled,50,January 09,1:00 a.m.,,Central,RDC,
6006,Systems Outage Cancelled,Cancelled,50,January 09,12:00 a.m.,,Central,RDC,
6020,Systems Outage Cancelled,Cancelled,50,January 09,1:00 a.m.,,Central,RDC,
6026,Systems Outage Cancelled,Cancelled,50,January 09,5:00 a.m.,,Central,RDC,
6057,Systems Outage Cancelled,Cancelled,50,January 09,11:00 p.m.,,Central,GDC,
6073,Systems Outage Cancelled,Cancelled,50,January 09,11:30 p.m.,,Central,GDC,
6077,Systems Outage Cancelled,Cancelled,50,January 09,12:30 a.m.,,Central,GDC,
7013,Systems Outage Cancelled,Cancelled,50,January 09,1:30 a.m.,,Central,GDC,
7016,Systems Outage Cancelled,Cancelled,50,January 09,12:00 a.m.,,Central,GDC,
7034,Systems Outage Cancelled,Cancelled,50,January 09,02:00 a.m.,,Central,RDC,
6059,Systems Outage Cancelled,Cancelled,50,January 10,12:30 a.m.,,Central,GDC,
6090,Systems Outage Cancelled,Cancelled,50,January 10,2:00 a.m.,,Central,GDC,
6092,Systems Outage Cancelled,Cancelled,50,January 10,1:00 a.m.,,Central,RDC,
7048,Systems Outage Cancelled,Cancelled,50,January 10,1:00 a.m.,,Central,GDC,
7039,Systems Outage Cancelled,Cancelled,50,January 11,2:00 a.m.,,Central,RDC,
8397,Systems Outage Cancelled,Cancelled,50,January 11,3:00 a.m.,,Central,GDC,
6009,Systems Outage Cancelled,Cancelled,50,January 12,12:30 a.m.,,Central,RDC,
6094,Systems Outage Cancelled,Cancelled,50,January 12,1:00 a.m.,,Central,RDC,
7077,Systems Outage Cancelled,Cancelled,50,January 12,11:00 p.m.,,Central,GDC,
6070,Systems Outage Monthly Placeholder,Pending,51,January 13,1:00 a.m.,,Central,RDC,
6088,Systems Outage Monthly Placeholder,Pending,51,January 13,12:00 a.m.,,Central,IDC,
6011,Systems Outage Monthly Placeholder,Pending,51,January 15,12:00 a.m.,,Central,RDC,
6042,Systems Outage Monthly Placeholder,Pending,51,January 15,12:30 a.m.,,Central,GDC,
6062,Systems Outage Monthly Placeholder,Pending,51,January 15,12:30 a.m.,,Central,GDC,
6096,Systems Outage Monthly Placeholder,Pending,51,January 15,11:30 p.m.,,Central,GDC,
7010,Systems Outage Monthly Placeholder,Pending,51,January 15,1:00 a.m.,,Central,GDC,
7012,Systems Outage Monthly Placeholder,Pending,51,January 15,11:30 p.m.,,Central,GDC,
7042,Systems Outage Monthly Placeholder,Pending,51,January 15,12:00 a.m.,,Central,IDC,
3951,Systems Outage Monthly Placeholder,Pending,51,January 16,1:00 a.m.,,Central,RDC,
6047,Systems Outage Monthly Placeholder,Pending,51,January 16,10:30 p.m.,,Central,GDC,
6064,Systems Outage Monthly Placeholder,Pending,51,January 16,12:30 a.m.,,Central,GDC,
6065,Systems Outage Monthly Placeholder,Pending,51,January 16,12:30 a.m.,,Central,GDC,
6074,Systems Outage Monthly Placeholder,Pending,51,January 16,10:00 a.m.,,Central,GDC,
7017,Systems Outage Monthly Placeholder,Pending,51,January 16,11:00 p.m.,,Central,GDC,
7021,Systems Outage Monthly Placeholder,Pending,51,January 16,1:00 a.m.,,Central,GDC,
7047,Systems Outage Monthly Placeholder,Pending,51,January 16,3:00 a.m.,,Central,GDC,
7078,Systems Outage Monthly Placeholder,Pending,51,January 16,2:00 a.m.,,Central,EDC,
7084,Systems Outage Monthly Placeholder,Pending,51,January 16,2:30 a.m.,,Central,GDC,
6068,Systems Outage Monthly Placeholder,Pending,51,January 17,2:00 a.m.,,Central,RDC,
6084,Systems Outage Monthly Placeholder,Pending,51,January 17,12:00 a.m.,,Central,GDC,
6091,Systems Outage Monthly Placeholder,Pending,51,January 17,12:00 a.m.,,Central,GDC,
7015,Systems Outage Monthly Placeholder,Pending,51,January 17,10:00 p.m.,,Central,GDC,
7024,Systems Outage Monthly Placeholder,Pending,51,January 17,11:00 p.m.,,Central,GDC,
7045,Systems Outage Monthly Placeholder,Pending,51,January 17,1:00 a.m.,,Central,RDC,
7095,Systems Outage Monthly Placeholder,Pending,51,January 17,4:00 a.m.,,Central,IMP,
6037,Systems Outage Monthly Placeholder,Pending,51,January 18,2:00 a.m.,,Central,RDC,
6048,Systems Outage Monthly Placeholder,Pending,51,January 18,12:00 a.m.,,Central,RDC,
6054,Systems Outage Monthly Placeholder,Pending,51,January 18,1:30 a.m.,,Central,RDC,
6083,Systems Outage Monthly Placeholder,Pending,51,January 18,12:30 a.m.,,Central,GDC,
7030,Systems Outage Monthly Placeholder,Pending,51,January 18,12:00 a.m.,,Central,GDC,
6018,Systems Outage Monthly Placeholder,Pending,51,January 19,3:00 a.m.,,Central,RDC,
6024,Systems Outage Monthly Placeholder,Pending,51,January 19,1:00 a.m.,,Central,RDC,
4154,Systems Outage Monthly Placeholder,Pending,52,January 20,9:00 p.m.,,Central,GDC,
6027,Systems Outage Monthly Placeholder,Pending,52,January 20,6:00 p.m.,,Central,RDC,
6060,Systems Outage Monthly Placeholder,Pending,52,January 20,11:00 p.m.,,Central,GDC,
6080,Systems Outage Monthly Placeholder,Pending,52,January 20,12:30 a.m.,,Central,RDC,
6041,Systems Outage Monthly Placeholder,Pending,52,January 21,9:00 p.m.,,Central,WPM,
6097,Systems Outage Monthly Placeholder,Pending,52,January 21,11:00 p.m.,,Central,GDC,
6285,Systems Outage Monthly Placeholder,Pending,52,January 21,9:30 p.m.,,Central,GDC,
7079,Systems Outage Monthly Placeholder,Pending,52,January 21,12:30 a.m.,,Central,GDC,
7842,Systems Outage Monthly Placeholder,Pending,52,January 21,9:00 p.m.,,Central,WPM,
6030,Systems Outage Monthly Placeholder,Pending,52,January 22,04:30 a.m.,,Central,RDC,
6038,Systems Outage Monthly Placeholder,Pending,52,January 22,06:00 p.m.,,Central,RDC,
6082,Systems Outage Monthly Placeholder,Pending,52,January 22,12:30 a.m.,,Central,GDC,
6858,Systems Outage Monthly Placeholder,Pending,52,January 22,11:30 p.m.,,Central,GDC,
6056,Systems Outage Monthly Placeholder,Pending,52,January 23,11:00 p.m.,,Central,GDC,
7019,Systems Outage Monthly Placeholder,Pending,52,January 23,12:30 a.m.,,Central,GDC,
6025,Systems Outage Monthly Placeholder,Pending,52,January 24,1:00 a.m.,,Central,RDC,
6071,Systems Outage Monthly Placeholder,Pending,52,January 24,12:00 a.m.,,Central,GDC,
6099,Systems Outage Monthly Placeholder,Pending,52,January 24,11:30 p.m.,,Central,GDC,
6017,Systems Outage Monthly Placeholder,Pending,52,January 25,02:00 a.m.,,Central,RDC,
6066,Systems Outage Monthly Placeholder,Pending,52,January 25,1:30 a.m.,,Central,RDC,
6036,Systems Outage Monthly Placeholder,Pending,1,January 27,6:00 p.m.,,Central,RDC,
7067,Systems Outage Monthly Placeholder,Pending,1,January 27,12:30 a.m.,,Central,IDC,
6012,Systems Outage Monthly Placeholder,Pending,1,February 01,1:00 a.m.,,Central,RDC,
6031,Systems Outage Monthly Placeholder,Pending,1,February 01,3:00 a.m.,,Central,RDC,
6061,Systems Outage Monthly Placeholder,Pending,1,February 01,11:30 p.m.,,Central,IDC,
7033,Systems Outage Monthly Placeholder,Pending,1,February 02,3:00 a.m.,,Central,RDC,
6019,Systems Outage Monthly Placeholder,Pending,2,February 03,2:00 a.m.,,Central,RDC,
7026,Systems Outage Monthly Placeholder,Pending,2,February 03,2:00 a.m.,,Central,RDC,
6005,Systems Outage Monthly Placeholder,Pending,2,February 04,8:00 p.m.,,Central,RDC,
6022,Systems Outage Monthly Placeholder,Pending,2,February 04,9:00 p.m.,,Central,RDC,
7035,Systems Outage Monthly Placeholder,Pending,2,February 04,12:30 a.m.,,Central,RDC,
7055,Systems Outage Monthly Placeholder,Pending,2,February 04,10:30 p.m.,,Central,GDC,
6039,Systems Outage Monthly Placeholder,Pending,2,February 05,6:00 p.m.,,Central,RDC,
6040,Systems Outage Monthly Placeholder,Pending,2,February 05,11:30 p.m.,,Central,RDC,
6043,Systems Outage Monthly Placeholder,Pending,2,February 05,12:00 a.m.,,Central,RDC,
7014,Systems Outage Monthly Placeholder,Pending,2,February 05,10:00 p.m.,,Central,GDC,
7018,Systems Outage Monthly Placeholder,Pending,2,February 06,1:00 a.m.,,Central,GDC,
7036,Systems Outage Monthly Placeholder,Pending,2,February 06,1:00 a.m.,,Central,RDC,
7038,Systems Outage Monthly Placeholder,Pending,2,February 06,12:30 a.m.,,Central,RDC,
8851,Systems Outage Monthly Placeholder,Pending,2,February 06,9:00 p.m.,,Central,GDC,
6010,Systems Outage Monthly Placeholder,Pending,2,February 07,1:00 a.m.,,Central,RDC,
6016,Systems Outage Monthly Placeholder,Pending,2,February 07,1:30 a.m.,,Central,RDC,
6035,Systems Outage Monthly Placeholder,Pending,2,February 07,1:30 a.m.,,Central,RDC,
7039,Systems Outage Monthly Placeholder,Pending,2,February 08,2:00 a.m.,,Central,RDC,
8397,Systems Outage Monthly Placeholder,Pending,2,February 08,3:00 a.m.,,Central,GDC,
6009,Systems Outage Monthly Placeholder,Pending,2,February 09,12:30 a.m.,,Central,RDC,
6094,Systems Outage Monthly Placeholder,Pending,2,February 09,1:00 a.m.,,Central,RDC,
7077,Systems Outage Monthly Placeholder,Pending,2,February 09,11:00 p.m.,,Central,GDC,
6070,Systems Outage Monthly Placeholder,Pending,3,February 10,1:00 a.m.,,Central,RDC,
6088,Systems Outage Monthly Placeholder,Pending,3,February 10,12:00 a.m.,,Central,IDC,
6023,Systems Outage Monthly Placeholder,Pending,3,February 11,11:00 p.m.,,Central,RDC,
