Store,USER ID,Store Rank 
2544,zcpoole,2
345,S0W035B,2
1330,CSTEING,2
2065,smdocke,2
2006,d0w0cww,2
5884,LDH005T,2
2124,lcorcut,2
3494,jwtam,2
3580,JLK00BV,2
1437,e0a0423,2
4355,TKHASTI,2
2684,mes0082,2
5438,mrbyle,2
2115,klm00mf,2
3081,j0g0kkh,2
5793,DECRUZR,2
2588,s0r03nz,2
647,SEKEPHA,2
5874,a0l01nv,2
3728,AGR003C,2
2007,atgoodi,2
2367,b0s0lsm,2
3472,malickf,2
3461,k0t06pb,2
3447,t0c04hv,2
3334,JNN000U,2
2113,NBULJUB,2
4664,JMK00AQ,2
1448,ren001a,2
623,A0R05IK,2
592,TMBROUS,2
1585,E0K00NZ,2
1438,KBR000E,2
452,m0r021s,2
61,CMFOWLK,2
1899,krzamor,2
3465,d0g0fvw,2
6579,EGALICI,2
2594,cee0014,2
1584,a0g0rho,2
2147,MMALONE,2
1805,FMSIQUE,2
2159,sls00gz,2
1021,k0f05aj,2
928,c0q01gc,2
1888,JMW00MM,2
1784,c0c0hd5,2
104,dtm007f,2
1414,R0F012L,2
1782,FLS000F,2
1012,TMD0040,2
11,DJRICHA,2
1595,CGR002R,2
2471,j0r0tel,2
4376,l0b01r4,2
2695,jar006h,2
4588,D0M01C7,2
1297,SKG003D,2
706,t0e042q,2
333,hlr001k,2
4631,KAS00DU,2
3606,BRJ002U,2
8,RSALARD,2
678,CBLAYMO,2
5653,M0N01IA,2
2024,MKUFFA,2
2063,mma007g,2
1761,T0M01KJ,2
1175,PJRAMI1,2
2927,kkp001p,2
1025,DLW00KJ,2
684,TLM00P2,2
2789,N/A,2
3891,ama005m,2
2269,n0j01f5,2
4252,n0s03vx,2
5773,l0b06hr,2
6878,amm00s5,2
1393,m0s0rok,2
2100,d0m0rgl,2
2361,PAHULET,2
1014,W0R00SW,2
1901,NSGWIN,2
1450,R0G01BF,2
652,VSBRANT,2
1808,b0a01jn,2
1466,JWH0072,2
3308,b0p02aq,2
2274,b0s0er2,2
1547,c0h022z,2
4394,dkplotk,2
1449,bjlardi,2
4272,N0M034S,2
1933,anaumow,2
656,elc005e,2
2597,c0g04dc,2
4132,ADR00EV,2
529,j0b1ew2,2
664,JAO00A7,2
5305,J0P04LL,2
2284,n0f00aq,2
