Store Number,Current Delivery,Current MP Delivery Window,Updated Delivery,Updated MP Delivery Window,Comments
77,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
211,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
248,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
280,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
290,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
292,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
381,Same Day ,21:00-05:00,Same Day ,16:00-04:00,
395,Next Day,18:00-04:00,Next Day,16:00-04:00,
397,Next Day,18:00-04:00,Next Day,16:00-04:00,
404,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
407,Same Day ,20:00-04:00,Same Day ,16:00-04:00,
412,Same Day ,18:00-06:00,Same Day ,18:00-04:00,
413,Next Day,18:00-04:00,Next Day,16:00-04:00,
429,Next Day,18:00-04:00,Next Day,16:00-04:00,
443,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
452,Next Day,18:00-04:00,Next Day,16:00-04:00,
461,Next Day,16:00-04:00,Next Day,18:00-04:00,
465,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
475,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
476,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
500,Next Day,18:00-23:59,Next Day,18:00-04:00,
508,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
512,Next Day,18:00-23:59,Next Day,16:00-04:00,
513,Next Day,18:00-04:00,Next Day,16:00-04:00,
524,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
549,Same Day ,18:00-06:00,Same Day ,18:00-04:00,
554,Next Day,18:00-04:00,Next Day,16:00-04:00,
565,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
601,Next Day,18:00-04:00,Next Day,16:00-04:00,
611,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
746,Same Day ,20:00-04:00,Same Day ,16:00-04:00,
755,Same Day ,18:00-04:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 16, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
757,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
765,Same Day ,21:00-05:00,Same Day ,16:00-04:00,
781,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
793,Same Day ,18:00-06:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 16, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
806,Next Day,18:00-23:59,Next Day,16:00-04:00,
812,Same Day ,18:00-06:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 16, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
821,Same Day ,18:00-06:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 16, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
822,Same Day ,18:00-04:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 16, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
824,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
826,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
829,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
835,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
846,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
850,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
851,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
865,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
868,Same Day ,18:00-06:00,Same Day ,18:00-04:00,
869,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
897,Next Day,18:00-04:00,Next Day,16:00-04:00,
898,Next Day,18:00-04:00,Next Day,16:00-04:00,
901,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
906,Same Day ,18:00-05:00,Same Day ,18:00-04:00,
917,Next Day,18:00-04:00,Next Day,16:00-04:00,
939,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
962,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
964,Next Day,18:00-23:59,Next Day,16:00-04:00,
966,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
999,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1000,Next Day,18:00-04:00,Next Day,16:00-04:00,
1015,Next Day,18:00-23:59,Next Day,16:00-04:00,
1041,Next Day,18:00-04:00,Next Day,16:00-04:00,
1042,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1073,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
1126,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1129,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1154,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1185,Same Day ,21:00-05:00,Same Day ,16:00-04:00,
1198,Same Day ,18:00-04:00,Same Day ,16:00-04:00,
1232,Same Day ,21:00-05:00,Same Day ,16:00-04:00,
1235,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1239,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1249,Next Day,18:00-04:00,Next Day,16:00-04:00,
1253,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1254,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1272,Next Day,18:00-04:00,Next Day,16:00-04:00,
1289,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1296,Next Day,18:00-04:00,Next Day,16:00-04:00,
1303,Same Day ,21:00-05:00,Same Day ,16:00-04:00,
1306,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1313,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1347,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1357,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1368,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
1380,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1397,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1407,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
1414,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1427,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1441,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1443,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1448,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1450,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1463,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1495,Same Day , 18:00-06:00,Same Day ,18:00-04:00,
1503,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1504,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1519,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1569,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1594,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1595,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1750,Same Day , 18:00-06:00,Same Day ,18:00-04:00,
1803,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
1812,Same Day , 18:00-06:00,Same Day ,18:00-04:00,
1839,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1894,Same Day , 18:00-06:00,Same Day ,18:00-04:00,
1958,Next Day,18:00-04:00,Next Day,16:00-04:00,
1961,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1986,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
1990,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
2078,Same Day , 18:00-06:00,Same Day ,18:00-04:00,
2098,Same Day , 18:00-06:00,Same Day ,18:00-04:00,
2124,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2133,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
2149,Same Day , 18:00-06:00,Same Day ,18:00-04:00,
2201,Next Day,18:00-23:59,Next Day,16:00-04:00,
2209,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2239,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
2250,Same Day , 18:00-22:00,Same Day ,16:00-22:00,
2270,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
2309,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2404,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
2426,Same Day , 18:00-06:00,Same Day ,18:00-04:00,
2429,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2451,Same Day ,20:00-06:00,Same Day ,18:00-04:00,
2471,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
2572,Same Day , 18:00-07:00,Same Day ,18:00-04:00,
2599,Same Day ,18:00-04:00,Same Day ,16:00-04:00,
2612,Next Day,18:00-23:59,Next Day,18:00-04:00,
2613,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
2652,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
2653,Same Day ,18:00-07:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 16, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
2656,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
2725,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
2726,Same Day , 18:00-22:00,Same Day , 16:00-22:00,
2763,Next Day,18:00-04:00,Next Day,16:00-04:00,
2765,Next Day,18:00-04:00,Next Day,16:00-04:00,
2769,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
2774,Same Day , 18:00-21:00,Same Day , 16:00-21:00,
2810,Same Day , 18:00-07:00,Same Day ,16:00-04:00,
2835,Same Day ,20:00-06:00,Same Day ,18:00-04:00,
2849,Same Day , 18:00-07:00,Same Day ,18:00-04:00,
2864,Same Day ,18:00-04:00,Same Day ,16:00-04:00,
2924,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
2991,Same Day ,21:00-05:00,Same Day ,16:00-04:00,
3056,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
3057,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
3058,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
3106,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
3107,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
3112,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
3136,Next Day,18:00-23:59,Next Day,18:00-04:00,
3169,Same Day ,18:00-06:00,Same Day ,18:00-04:00,
3170,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
3251,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
3279,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
3282,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
3317,Same Day ,18:00-21:00,Same Day ,16:00-21:00,
3319,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
3320,Next Day,18:00-04:00,Next Day,16:00-04:00,
3342,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
3381,Next Day,18:00-04:00,Next Day,16:00-04:00,
3383,Same Day ,18:00-04:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 16, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
3384,Same Day ,18:00-07:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 16, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
3385,Same Day ,20:00-06:00,Same Day ,18:00-04:00,
3391,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
3423,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
3427,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
3428,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
3447,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
3449,Same Day ,20:00-06:00,Same Day ,18:00-04:00,
3450,Same Day ,20:00-06:00,Same Day ,18:00-04:00,
3486,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
3512,Same Day ,20:00-06:00,Same Day ,18:00-04:00,
3515,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
3517,Same Day ,20:00-06:00,Same Day ,18:00-04:00,
3567,Next Day,18:00-04:00,Next Day,16:00-04:00,
3569,Same Day ,18:00-06:00,Same Day ,18:00-04:00,
3571,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
3581,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
3596,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
3623,Next Day,18:00-04:00,Next Day,16:00-04:00,
3641,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
3661,Next Day,18:00-23:59,Next Day,16:00-04:00,
3731,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
3732,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
3749,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
3763,Next Day,18:00-23:59,Next Day,18:00-04:00,
3784,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
3792,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
3812,Same Day , 18:00-06:00,Same Day ,18:00-04:00,
3886,Next Day,18:00-04:00,Next Day,16:00-04:00,
3888,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
4055,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
4056,Same Day ,20:00-06:00,Same Day ,18:00-04:00,
4102,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
4103,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
4105,Next Day,18:00-23:59,Next Day,16:00-04:00,
4115,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
4130,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
4131,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
4162,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
4163,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
4201,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
4219,Same Day ,21:00-05:00,Same Day ,16:00-04:00,
4255,Same Day , 18:00-06:00,Same Day ,16:00-04:00,
4341,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
4366,Next Day,18:00-23:59,Next Day,16:00-04:00,
4415,Next Day,18:00-23:59,Next Day,16:00-04:00,
4464,Same Day ,20:00-06:00,Next Day,18:00-04:00,"Your store will not receive an MP delivery on September 16, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
4508,Next Day,18:00-04:00,Next Day,16:00-04:00,
4554,Same Day ,18:00-21:00,Same Day ,16:00-21:00,
4601,Next Day,18:00-23:59,Next Day,18:00-04:00,
4676,Same Day ,20:00-06:00,Same Day ,18:00-04:00,
5003,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
