Store,Market,Region,BU
3,21,2,A
8,326,42,A
9,335,40,E
15,333,40,E
19,335,40,E
20,361,40,E
22,347,44,B
24,326,42,A
33,325,42,A
39,410,44,B
42,410,44,B
43,407,47,M
47,351,44,B
48,334,42,A
50,347,44,B
54,322,42,A
55,321,42,A
56,333,40,E
64,146,11,A
72,410,44,B
73,356,44,B
75,134,13,B
76,322,42,A
77,83,7,B
80,359,40,E
82,335,40,E
83,327,42,A
89,336,40,E
92,334,42,A
95,335,40,E
97,146,11,A
98,135,42,A
99,340,40,E
105,4,11,A
107,146,11,A
108,344,44,B
109,360,40,E
111,410,44,B
115,138,11,A
120,146,11,A
125,321,42,A
131,47,44,B
134,344,44,B
135,360,40,E
136,345,44,B
137,352,44,B
139,353,44,B
143,253,41,E
147,350,44,B
149,135,42,A
155,136,11,A
160,328,42,A
162,349,44,B
163,503,13,B
164,4,11,A
167,327,42,A
170,134,13,B
171,327,42,A
177,146,11,A
181,47,44,B
182,136,11,A
189,359,40,E
190,329,11,A
194,60,6,B
195,360,40,E
196,271,41,E
198,272,25,E
200,275,25,E
202,51,5,B
203,359,40,E
205,138,11,A
206,52,5,B
207,345,44,B
211,76,5,B
213,272,25,E
214,503,13,B
216,271,41,E
218,147,11,A
226,47,44,B
227,344,44,B
233,271,41,E
236,503,13,B
238,147,11,A
242,410,44,B
250,357,40,E
252,271,41,E
253,341,40,E
254,273,25,E
257,254,41,E
258,4,11,A
267,334,42,A
269,349,44,B
273,4,11,A
282,253,41,E
284,49,5,B
290,77,7,B
293,85,6,B
294,253,41,E
297,59,6,B
298,3,14,A
301,3,14,A
304,149,12,A
305,138,11,A
306,5,12,A
309,132,13,B
314,5,12,A
316,3,14,A
317,272,25,E
319,361,40,E
321,85,6,B
324,356,44,B
329,10,14,A
330,84,6,B
333,254,41,E
338,334,42,A
342,411,47,M
343,275,25,E
344,65,6,B
346,409,44,B
347,136,11,A
350,433,47,M
351,68,13,B
353,48,5,B
356,10,14,A
363,359,40,E
364,503,13,B
369,406,47,M
370,406,47,M
372,406,47,M
375,5,12,A
376,127,42,A
378,411,47,M
383,66,13,B
387,352,44,B
390,149,12,A
392,344,44,B
394,137,11,A
395,80,6,B
403,137,11,A
404,87,7,B
405,134,13,B
407,81,7,B
408,66,13,B
409,137,11,A
414,349,44,B
418,407,47,M
419,406,47,M
422,273,25,E
423,13,14,A
425,11,11,A
428,130,13,B
429,80,6,B
431,253,41,E
434,5,12,A
435,272,25,E
437,84,6,B
440,78,6,B
442,78,6,B
443,88,7,B
445,256,41,E
447,88,7,B
448,127,42,A
452,80,6,B
453,329,11,A
456,569,6,B
458,78,6,B
461,88,7,B
462,61,6,B
465,77,7,B
468,47,44,B
471,49,5,B
473,85,6,B
476,81,7,B
479,349,44,B
483,8,14,A
486,362,40,E
488,97,14,A
490,78,6,B
493,259,21,E
498,134,13,B
501,141,13,B
506,272,25,E
507,260,41,E
519,260,41,E
521,66,13,B
525,549,72,O
526,242,41,E
527,61,6,B
529,61,6,B
533,132,13,B
535,74,7,B
539,134,13,B
541,128,13,B
549,71,7,B
554,88,7,B
555,32,2,A
556,28,3,A
558,407,47,M
560,360,40,E
561,76,5,B
562,2,14,A
564,344,44,B
569,257,41,E
576,345,44,B
581,414,52,M
583,121,12,A
584,260,41,E
586,37,4,F
587,121,12,A
588,27,3,A
589,256,41,E
591,259,21,E
593,28,3,A
594,19,2,A
595,569,6,B
600,70,7,B
601,74,7,B
603,278,25,E
604,7,14,A
605,29,4,F
606,29,4,F
609,275,25,E
612,273,25,E
616,41,4,F
619,119,12,A
621,38,4,F
623,118,9,A
624,39,4,F
625,36,4,F
628,33,4,F
633,279,25,E
635,29,4,F
636,279,25,E
637,429,47,M
638,42,4,F
641,35,4,F
642,38,4,F
644,39,4,F
645,433,47,M
647,414,52,M
651,66,13,B
658,120,12,A
660,137,11,A
661,137,11,A
664,406,47,M
670,2,14,A
676,121,12,A
677,146,11,A
684,147,11,A
686,28,3,A
687,121,12,A
688,153,12,A
690,124,12,A
692,260,41,E
694,254,41,E
700,8,14,A
703,67,6,B
707,136,11,A
708,140,11,A
709,256,41,E
716,136,11,A
718,116,9,A
720,260,41,E
726,10,14,A
730,10,14,A
731,11,11,A
736,253,41,E
737,151,12,A
740,7,14,A
743,353,44,B
744,59,6,B
745,19,2,A
748,414,52,M
750,415,52,M
751,413,52,M
752,63,6,B
754,30,2,A
757,77,7,B
758,32,2,A
762,2,14,A
764,11,11,A
766,137,11,A
768,65,6,B
770,406,47,M
772,64,6,B
773,134,13,B
781,81,7,B
784,418,52,M
785,141,13,B
787,19,2,A
788,328,42,A
789,583,5,B
797,418,52,M
798,273,25,E
800,89,3,A
801,360,40,E
803,128,13,B
804,48,5,B
809,10,14,A
812,70,7,B
813,81,7,B
816,141,13,B
821,71,7,B
822,70,7,B
823,345,44,B
825,257,41,E
829,385,46,B
834,360,40,E
838,345,44,B
839,130,13,B
840,546,59,O
842,389,54,M
846,85,6,B
847,438,53,E
848,144,11,A
850,385,46,B
852,262,25,E
853,1,14,A
854,246,21,E
856,22,2,A
859,116,9,A
861,71,7,B
862,28,3,A
863,10,14,A
864,28,3,A
865,87,7,B
866,1,14,A
867,429,47,M
872,62,6,B
874,141,13,B
875,140,11,A
876,127,42,A
877,309,26,F
879,152,12,A
881,41,4,F
882,425,53,E
884,249,41,E
885,433,47,M
889,27,3,A
891,279,25,E
900,70,7,B
903,140,11,A
905,379,54,M
906,384,46,B
907,32,2,A
914,322,42,A
920,546,59,O
927,71,7,B
933,263,53,E
935,130,13,B
937,26,2,A
938,8,14,A
939,76,5,B
940,479,5,B
944,15,14,A
951,85,6,B
952,27,3,A
956,92,9,A
958,263,53,E
962,389,54,M
963,48,5,B
973,92,9,A
975,350,44,B
976,135,42,A
978,406,47,M
979,438,53,E
982,425,53,E
984,376,54,M
985,418,52,M
989,128,13,B
993,407,47,M
998,485,59,O
999,86,7,B
1000,569,6,B
1001,389,54,M
1005,426,52,M
1007,438,53,E
1017,36,4,F
