,,,,,,Action Alley ,,
Store Number,Market ,Region ,Store Format ,,Total Features,Tortilla Chip Pallet,Potato Chip Pallet,Seltzers 1/2 Pallet
1,323,42,WM Supercenter,,3,1,1,1
2,322,42,WM Supercenter,,3,1,1,1
3,21,2,WM Supercenter,,3,1,1,1
4,323,42,WM Supercenter,,3,1,1,1
5,326,42,WM Supercenter,,3,1,1,1
7,326,42,WM Supercenter,,3,1,1,1
8,326,42,WM Supercenter,,3,1,1,1
9,335,40,WM Supercenter,,3,1,1,1
10,347,44,WM Supercenter,,3,1,1,1
11,328,42,WM Supercenter,,3,1,1,1
12,347,44,WM Supercenter,,3,1,1,1
13,334,42,WM Supercenter,,3,1,1,1
14,357,40,WM Supercenter,,3,1,1,1
15,333,40,WM Supercenter,,3,1,1,1
16,321,42,WM Supercenter,,3,1,1,1
17,334,42,WM Supercenter,,3,1,1,1
18,328,42,WM Supercenter,,0,,,
19,335,40,WM Supercenter,,3,1,1,1
20,361,40,WM Supercenter,,2,,1,1
21,336,40,WM Supercenter,,3,1,1,1
22,347,44,WM Supercenter,,3,1,1,1
23,135,42,WM Supercenter,,3,1,1,1
24,326,42,WM Supercenter,,3,1,1,1
25,359,40,WM Supercenter,,3,1,1,1
26,411,47,WM Supercenter,,3,1,1,1
27,357,40,WM Supercenter,,0,,,
28,347,44,WM Supercenter,,3,1,1,1
29,336,40,WM Supercenter,,3,1,1,1
30,335,40,WM Supercenter,,3,1,1,1
31,351,44,WM Supercenter,,3,1,1,1
32,333,40,Wal-Mart,,0,,,
33,325,42,WM Supercenter,,0,,,
34,334,42,WM Supercenter,,3,1,1,1
35,407,47,WM Supercenter,,3,1,1,1
36,329,11,WM Supercenter,,3,1,1,1
37,335,40,WM Supercenter,,3,1,1,1
38,47,44,WM Supercenter,,0,,,
39,410,44,WM Supercenter,,3,1,1,1
40,359,40,WM Supercenter,,3,1,1,1
41,345,44,WM Supercenter,,3,1,1,1
42,410,44,WM Supercenter,,0,,,
43,407,47,WM Supercenter,,3,1,1,1
44,336,40,Wal-Mart,,0,,,
45,329,11,WM Supercenter,,3,1,1,1
46,357,40,WM Supercenter,,3,1,1,1
47,351,44,WM Supercenter,,3,1,1,1
48,334,42,WM Supercenter,,3,1,1,1
49,47,44,WM Supercenter,,0,,,
50,347,44,WM Supercenter,,0,,,
51,359,40,WM Supercenter,,3,1,1,1
52,325,42,WM Supercenter,,3,1,1,1
54,322,42,WM Supercenter,,3,1,1,1
55,321,42,WM Supercenter,,0,,,
56,333,40,WM Supercenter,,0,,,
57,328,42,Wal-Mart,,0,,,
58,325,42,WM Supercenter,,3,1,1,1
59,334,42,WM Supercenter,,3,1,1,1
60,339,40,WM Supercenter,,3,1,1,1
61,361,40,WM Supercenter,,3,1,1,1
62,329,11,WM Supercenter,,3,1,1,1
63,347,44,WM Supercenter,,0,,,
64,146,11,WM Supercenter,,3,1,1,1
65,336,40,WM Supercenter,,3,1,1,1
66,321,42,WM Supercenter,,1,,,1
67,321,42,WM Supercenter,,3,1,1,1
68,329,11,WM Supercenter,,0,,,
69,335,40,WM Supercenter,,3,1,1,1
70,329,11,WM Supercenter,,3,1,1,1
71,328,42,WM Supercenter,,0,,,
72,410,44,WM Supercenter,,3,1,1,1
73,356,44,WM Supercenter,,3,1,1,1
74,329,11,WM Supercenter,,0,,,
75,134,13,WM Supercenter,,3,1,1,1
76,322,42,WM Supercenter,,3,1,1,1
77,83,7,WM Supercenter,,3,1,1,1
78,357,40,WM Supercenter,,3,1,1,1
