STORE #,Dz Roses,Mixed BQT,Single Rose,Dz Roses (Div 1),Mixed BQT (Div 1),TOTAL PROMO DISPLAYS
2070,7,3,1,,,11
2071,1,7,6,,,14
2074,3,11,3,,,17
2188,3,7,2,,,12
2722,6,2,3,,,11
4359,5,2,2,,,9
4474,3,3,2,,,8
2710,,,,6,11,17
2711,,,,11,21,32
,,,,,,
