store_nbr,Estimated In-store Week,Estimated Receipt Qty,Direct to Store Receipt Qty,Direct to Store PO Nbr
1,WK13,2,0,
2,WK13,4,0,
2,WK14,0,114,
3,WK13,2,0,
4,WK13,3,0,
4,WK14,2,133,
4,WK22,2,0,
5,WK12,2,0,
7,WK12,8,0,
8,WK12,5,0,
9,WK12,3,0,
9,WK13,2,0,
10,WK13,3,0,
10,WK15,0,113,
10,WK20,0,103,
11,WK12,17,0,
11,WK14,2,141,
11,WK18,1,0,
11,WK20,0,110,
12,WK13,3,0,
12,WK14,2,0,
13,WK13,2,0,
14,WK15,0,96,
15,WK12,4,0,
15,WK16,0,116,
15,WK21,0,76,
16,WK12,11,0,
16,WK13,2,0,
16,WK14,1,0,
18,WK14,1,0,
19,WK12,27,0,
19,WK14,0,132,
22,WK13,2,0,
26,WK14,1,0,
26,WK18,1,0,
27,WK12,1,0,
28,WK13,2,0,
36,WK12,10,0,
37,WK12,1,0,
37,WK15,0,115,
38,WK12,3,0,
38,WK14,3,0,
39,WK14,1,0,
41,WK12,12,0,
41,WK13,2,0,
41,WK14,2,0,
42,WK13,1,0,
45,WK12,5,0,
46,WK12,1,0,
47,WK14,3,0,
47,WK18,3,0,
48,WK13,2,0,
50,WK13,2,0,
54,WK13,2,0,
55,WK14,1,0,
57,WK14,3,0,
58,WK12,24,0,
58,WK14,0,102,
58,WK20,0,91,
59,WK12,78,0,
59,WK13,2,0,
60,WK12,3,0,
62,WK14,2,0,
63,WK13,2,0,
66,WK13,3,0,
66,WK14,0,113,
67,WK12,12,0,
67,WK13,3,0,
69,WK12,42,0,
71,WK12,12,0,
71,WK14,3,0,
71,WK18,2,0,
71,WK22,3,0,
72,WK13,2,0,
72,WK14,4,0,
72,WK18,4,0,
75,WK13,3,0,
76,WK12,14,0,
76,WK13,2,0,
78,WK12,1,0,
79,WK13,2,0,
82,WK12,61,0,
82,WK14,3,0,
85,WK12,5,0,
89,WK12,4,0,
89,WK14,1,0,
89,WK15,0,114,
89,WK21,0,91,
90,WK13,3,0,
91,WK14,1,0,
92,WK13,3,0,
93,WK12,4,0,
95,WK12,1,0,
99,WK12,1,0,
100,WK13,3,0,
101,WK12,8,0,
101,WK16,0,100,
101,WK21,0,90,
103,WK13,2,0,
104,WK12,4,0,
104,WK13,2,0,
105,WK12,4,0,
107,WK12,7,0,
107,WK13,2,0,
108,WK13,1,0,
114,WK12,3,0,
117,WK12,4,0,
119,WK12,15,0,
119,WK14,0,123,
119,WK20,0,120,
121,WK13,1,0,
125,WK13,2,0,
126,WK12,5,0,
127,WK12,2,0,
128,WK12,4,0,
129,WK14,10,0,
137,WK13,2,0,
140,WK12,2,0,
141,WK13,2,0,
143,WK12,4,0,
143,WK13,2,0,
144,WK13,3,0,
147,WK14,4,0,
150,WK14,2,0,
150,WK18,3,0,
150,WK22,1,0,
151,WK13,2,0,
152,WK12,61,0,
153,WK12,1,0,
154,WK12,2,0,
154,WK13,2,0,
155,WK12,10,0,
157,WK12,16,0,
158,WK14,1,0,
158,WK18,1,0,
160,WK12,23,105,
160,WK14,2,108,
160,WK20,0,100,
161,WK12,4,0,
166,WK12,1,0,
167,WK12,7,0,
168,WK12,49,0,
168,WK13,2,0,
171,WK14,1,0,
171,WK18,1,0,
177,WK12,2,0,
177,WK13,3,0,
178,WK13,2,0,
179,WK13,3,0,
180,WK12,6,0,
182,WK12,9,0,
188,WK12,42,0,
190,WK12,7,0,
192,WK12,3,0,
192,WK13,3,0,
192,WK14,10,0,
