Store,DSL Gen,DSL Start Date ,Resource Link,Toolkit Link by Gen,RDC,APD Phase 1,APD Phase 2,APD Phase 3,HVDC Start Date,FDD Start Date,CoSTL Install Date,Digital Lock Install Date,Digital Lock Survey Date,Next Gen Cash Recycler Install Date,Initial Change Order Delivery Date,Mobile Calling,
1035,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6070,1/1/2028,4/1/2029,,Completed,Completed,5/13/2024,LIVE,Completed,Completed,Completed,TBD,
1051,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6012,12/18/2024,6/18/2026,10/18/2027,Completed,Completed,TBD,TBD,TBD,5/12/2025,5/6/2025,TBD,
1052,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,TBD,TBD,TBD,3/24/2025,3/18/2025,TBD,
1069,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,TBD,TBD,TBD,3/28/2025,3/17/2025,TBD,
1073,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,TBD,TBD,TBD,4/5/2025,4/2/2025,TBD,
1074,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,TBD,
1088,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,TBD,1/15/2025,Completed,3/18/2025,3/10/2025,TBD,
1100,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6006,8/22/2024,4/2/2026,8/2/2027,7/22/2024,7/22/2024,TBD,TBD,TBD,3/19/2025,3/11/2025,TBD,
1115,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,TBD,TBD,TBD,3/12/2025,3/4/2025,TBD,
1124,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6006,8/22/2024,4/2/2026,8/2/2027,6/24/2024,6/24/2024,TBD,TBD,TBD,4/11/2025,3/31/2025,TBD,
