Store,CITY,STATE,TYPE,Load Type,PER DC,SAT,SUN,MON,TUE,WED,THU,FRI,TOTAL
1877,PORTERVILLE,CA,WMT,MPDD,8852,1,1,1,0,1,1,1,6
2297,STEVENSON RANCH,CA,WMT,MPDD,8852,1,1,0,1,1,1,1,6
2536,TULARE,CA,WMT,MPDD,8852,0,1,1,1,1,1,1,6
2556,ARROYO GRANDE,CA,WMT,MPDD,8852,1,1,1,1,0,1,1,6
3087,OXNARD,CA,WMT,MPDD,8852,1,0,1,1,1,1,1,6
