Store,Reference Number,Pieces,Delivery_date,Status
2228,98812675,1,10/25/2024,DELIVERED
1984,98812674,1,10/25/2024,DELIVERED
2056,98812662,1,10/25/2024,DELIVERED
2874,98812665,1,10/25/2024,DELIVERED
1813,98812666,1,10/25/2024,DELIVERED
1969,98812667,1,10/25/2024,DELIVERED
2355,98812660,1,10/25/2024,DELIVERED
1806,98812654,1,10/25/2024,DELIVERED
1909,98812655,1,10/25/2024,DELIVERED
1619,98812658,1,10/25/2024,DELIVERED
1424,98812659,1,10/25/2024,DELIVERED
2586,98812646,1,10/25/2024,DELIVERED
2088,98812647,1,10/25/2024,DELIVERED
2785,98812649,1,10/25/2024,DELIVERED
2795,98812652,1,10/25/2024,DELIVERED
3842,98812633,1,10/25/2024,DELIVERED
2504,98812634,1,10/25/2024,DELIVERED
1976,98812638,1,10/25/2024,DELIVERED
1993,98812640,1,10/25/2024,DELIVERED
1610,98812643,1,10/25/2024,DELIVERED
1744,98812641,1,10/25/2024,DELIVERED
1524,98812594,1,10/25/2024,DELIVERED
4476,98812596,1,10/25/2024,DELIVERED
1345,98812598,1,10/25/2024,DELIVERED
3607,98812600,1,10/25/2024,DELIVERED
5282,98812601,1,10/25/2024,DELIVERED
3480,98812602,1,10/25/2024,DELIVERED
1523,98812605,1,10/25/2024,DELIVERED
2234,98812606,1,10/25/2024,DELIVERED
3583,98812608,1,10/25/2024,DELIVERED
2992,98812610,1,10/25/2024,DELIVERED
5027,98812609,1,10/25/2024,DELIVERED
2164,98812613,1,10/25/2024,DELIVERED
2859,98812614,1,10/25/2024,DELIVERED
2166,98812615,1,10/25/2024,DELIVERED
2107,98812616,1,10/25/2024,DELIVERED
2808,98812617,1,10/25/2024,DELIVERED
2146,98812618,1,10/25/2024,DELIVERED
4570,98812619,1,10/25/2024,DELIVERED
1677,98812620,1,10/25/2024,DELIVERED
2264,98812622,1,10/25/2024,DELIVERED
4597,98812624,1,10/25/2024,DELIVERED
2210,98812625,1,10/25/2024,DELIVERED
1673,98812626,1,10/25/2024,DELIVERED
2405,98812628,1,10/25/2024,DELIVERED
2093,98812629,1,10/25/2024,DELIVERED
3280,98812631,1,10/25/2024,DELIVERED
3514,98812579,1,10/25/2024,DELIVERED
978,98812581,1,10/25/2024,DELIVERED
1405,98812580,1,10/25/2024,DELIVERED
1622,98812583,1,10/25/2024,DELIVERED
1429,98812585,1,10/25/2024,DELIVERED
1416,98812586,1,10/25/2024,DELIVERED
1247,98812587,1,10/25/2024,DELIVERED
1368,98812589,1,10/25/2024,DELIVERED
2285,98812591,1,10/25/2024,DELIVERED
1445,98812575,1,10/25/2024,DELIVERED
1189,98812577,1,10/25/2024,DELIVERED
2548,98812578,1,10/25/2024,DELIVERED
7087,98812565,1,10/25/2024,DELIVERED
1048,98812566,1,10/25/2024,DELIVERED
3515,98812568,1,10/25/2024,DELIVERED
693,98812552,1,10/25/2024,DELIVERED
419,98812554,1,10/25/2024,DELIVERED
545,98812556,1,10/25/2024,DELIVERED
2402,98812561,1,10/25/2024,DELIVERED
696,98812562,1,10/25/2024,DELIVERED
2607,98812551,1,10/25/2024,DELIVERED
5492,98812549,1,10/25/2024,DELIVERED
2084,98812550,1,10/25/2024,DELIVERED
3259,98812546,1,10/25/2024,DELIVERED
1901,98812539,1,10/25/2024,DELIVERED
2923,98812542,1,10/25/2024,DELIVERED
4412,98812543,1,10/25/2024,DELIVERED
1956,98812544,1,10/25/2024,DELIVERED
2259,98812545,1,10/25/2024,DELIVERED
2653,98812533,1,10/25/2024,DELIVERED
3334,98812535,1,10/25/2024,DELIVERED
799,98812536,1,10/25/2024,DELIVERED
1437,98812531,1,10/25/2024,DELIVERED
2147,98812527,1,10/25/2024,DELIVERED
712,98812513,1,10/25/2024,DELIVERED
1000,98812514,1,10/25/2024,DELIVERED
954,98812516,1,10/25/2024,DELIVERED
681,98812503,1,10/25/2024,DELIVERED
826,98812504,1,10/25/2024,DELIVERED
825,98812505,1,10/25/2024,DELIVERED
793,98812508,1,10/25/2024,DELIVERED
755,98812492,1,10/25/2024,DELIVERED
821,98812495,1,10/25/2024,DELIVERED
785,98812499,1,10/25/2024,DELIVERED
558,98812477,1,10/25/2024,DELIVERED
115,98812479,1,10/25/2024,DELIVERED
595,98812482,1,10/25/2024,DELIVERED
559,98812485,1,10/25/2024,DELIVERED
822,98812487,1,10/25/2024,DELIVERED
429,98812472,1,10/25/2024,DELIVERED
369,98812455,1,10/25/2024,DELIVERED
554,98812456,1,10/25/2024,DELIVERED
395,98812460,1,10/25/2024,DELIVERED
205,98812461,1,10/25/2024,DELIVERED
600,98812464,1,10/25/2024,DELIVERED
993,98812465,1,10/25/2024,DELIVERED
501,98812467,1,10/25/2024,DELIVERED
875,98812468,1,10/25/2024,DELIVERED
592,98812447,1,10/25/2024,DELIVERED
370,98812449,1,10/25/2024,DELIVERED
1046,98812451,1,10/25/2024,DELIVERED
346,98812454,1,10/25/2024,DELIVERED
903,98812440,1,10/25/2024,DELIVERED
1059,98812420,1,10/25/2024,DELIVERED
981,98812425,1,10/25/2024,DELIVERED
365,98812424,1,10/25/2024,DELIVERED
397,98812430,1,10/25/2024,DELIVERED
456,98812432,1,10/25/2024,DELIVERED
716,98812422,1,10/25/2024,DELIVERED
816,98812434,1,10/25/2024,DELIVERED
708,98812437,1,10/25/2024,DELIVERED
305,98812438,1,10/25/2024,DELIVERED
2720,98812400,1,10/25/2024,DELIVERED
2755,98812401,1,10/25/2024,DELIVERED
3384,98812402,1,10/25/2024,DELIVERED
2717,98812405,1,10/25/2024,DELIVERED
2763,98812411,1,10/25/2024,DELIVERED
3623,98812412,1,10/25/2024,DELIVERED
