Store Number,Vendor,Regular Visits,Plus up Visits,Total WK20 Visits,Regular Visits,Plus up Visits,Total Weekend Visits
1490,American Greetings,3,2,5,1,2,3
1542,American Greetings,3,2,5,1,2,3
1532,American Greetings,3,2,5,1,2,3
1512,American Greetings,2,3,5,0,3,3
1317,American Greetings,2,3,5,0,3,3
1511,American Greetings,2,3,5,0,3,3
1505,American Greetings,2,3,5,0,3,3
1494,American Greetings,2,3,5,0,3,3
689,American Greetings,3,3,6,1,3,4
1377,American Greetings,2,3,5,0,3,3
813,American Greetings,3,2,5,1,2,3
1481,American Greetings,2,3,5,0,3,3
1528,American Greetings,3,2,5,1,2,3
1502,American Greetings,2,3,5,0,3,3
1401,American Greetings,3,2,5,1,2,3
1548,American Greetings,2,3,5,0,3,3
1539,American Greetings,3,2,5,1,2,3
1596,American Greetings,2,3,5,0,3,3
1614,American Greetings,2,3,5,0,3,3
1530,American Greetings,2,3,5,0,3,3
1533,American Greetings,3,2,5,1,2,3
1558,American Greetings,2,3,5,0,3,3
1609,American Greetings,2,3,5,0,3,3
1603,American Greetings,2,3,5,0,3,3
1589,American Greetings,2,3,5,0,3,3
1485,American Greetings,3,2,5,1,2,3
1642,American Greetings,2,3,5,0,3,3
1592,American Greetings,2,3,5,0,3,3
1570,American Greetings,3,2,5,1,2,3
1553,American Greetings,2,3,5,0,3,3
1547,American Greetings,3,2,5,1,2,3
1628,American Greetings,2,3,5,0,3,3
1517,American Greetings,2,3,5,0,3,3
1569,American Greetings,3,2,5,1,2,3
1618,American Greetings,3,2,5,1,2,3
1579,American Greetings,2,3,5,0,3,3
1576,American Greetings,2,3,5,0,3,3
1641,American Greetings,2,3,5,0,3,3
1541,American Greetings,3,2,5,1,2,3
1661,American Greetings,2,3,5,0,3,3
1531,American Greetings,2,3,5,0,3,3
1632,American Greetings,3,2,5,1,2,3
1619,American Greetings,3,2,5,1,2,3
1631,American Greetings,2,3,5,0,3,3
1647,American Greetings,2,3,5,0,3,3
1666,American Greetings,2,3,5,0,3,3
1658,American Greetings,2,3,5,0,3,3
1622,American Greetings,2,3,5,0,3,3
