3545,6,8,14,Active
2403,24,8,32,Active
1015,16,16,32,Active
1155,18,16,34,Active
1598,8,16,24,Active
1642,10,16,26,Active
1659,11,16,27,Active
2435,24,4,28,Active
2485,11,16,27,Active
2598,17,2,19,Active
5809,16,16,32,Active
972,0,0,0,Active
1139,13,16,29,Active
1174,12,16,28,Active
1187,8,6,14,Active
1438,18,16,34,Active
167,7,16,23,Active
1705,10,16,26,Active
20,10,16,26,Active
2210,22,8,30,Active
2320,10,8,18,Active
246,8,8,16,Active
2752,10,16,26,Active
2792,8,8,16,Active
3501,10,16,26,Active
365,14,16,30,Active
3868,13,16,29,Active
4244,9,16,25,Active
4388,3,14,17,Active
4390,3,12,15,Active
443,8,16,24,Active
4570,10,8,18,Active
5204,4,9,13,Active
5376,12,16,28,Active
5705,11,16,27,Active
723,12,16,28,Active
749,10,16,26,Active
1771,18,16,34,Active
4202,12,8,20,Active
115,12,16,28,Active
1217,8,8,16,Active
237,11,16,27,Active
2452,19,4,23,Active
2599,18,16,34,Active
3004,24,4,28,Active
3103,10,8,18,Active
3154,4,12,16,Active
3305,9,16,25,Active
3332,9,16,25,Active
3390,12,16,28,Active
3474,16,16,32,Active
3784,13,16,29,Active
4583,10,8,18,Active
4664,11,16,27,Active
5137,22,8,30,Active
5231,11,8,19,Active
5435,23,4,27,Active
553,16,16,32,Active
569,9,16,25,Active
5758,4,10,14,Active
6170,3,12,15,Active
6394,19,4,23,Active
64,8,16,24,Active
738,10,16,26,Active
817,26,4,30,Active
2214,22,8,30,Active
2289,14,8,22,Active
1169,8,6,14,Active
1499,12,16,28,Active
1862,22,4,26,Active
1891,18,4,22,Active
2126,10,10,20,Active
2261,20,8,28,Active
2293,7,16,23,Active
2392,4,9,13,Active
2406,3,10,13,Active
2645,8,8,16,Active
2860,28,4,32,Active
2933,14,16,30,Active
338,10,16,26,Active
3384,9,16,25,Active
4403,11,16,27,Active
456,18,16,34,Active
479,14,16,30,Active
5154,28,4,32,Active
6173,11,8,19,Active
7304,3,11,14,Active
761,9,16,25,Active
879,10,16,26,Active
2130,10,16,26,Active
1407,12,16,28,Active
1810,24,8,32,Active
2887,3,12,15,Active
2950,28,4,32,Active
3533,24,4,28,Active
409,8,8,16,Active
4609,19,8,27,Active
5420,36,4,40,Active
5735,10,16,26,Active
751,8,6,14,Active
3469,32,4,36,Active
558,18,16,34,Active
6930,11,16,27,Active
1093,9,16,25,Active
1136,15,8,23,Active
1467,7,8,15,Active
2015,14,8,22,Active
2075,17,8,25,Active
2479,23,4,27,Active
2592,22,4,26,Active
2641,20,16,36,Active
3145,3,11,14,Active
3352,22,4,26,Active
3473,26,4,30,Active
3724,7,3,10,Active
3805,10,16,26,Active
4350,8,16,24,Active
4415,4,12,16,Active
5116,16,16,32,Active
5186,18,16,34,Active
5402,26,4,30,Active
5740,2,13,15,Active
582,16,16,32,Active
5965,24,4,28,Active
5992,9,16,25,Active
6576,10,16,26,Active
7020,16,8,24,Active
5485,24,4,28,Active
1035,18,16,34,Active
1110,8,8,16,Active
1253,26,4,30,Active
1521,19,4,23,Active
1909,24,4,28,Active
200,14,16,30,Active
229,8,8,16,Active
2482,30,4,34,Active
3217,10,8,18,Active
3447,26,8,34,Active
3607,8,16,24,Active
3729,30,4,34,Active
3738,11,16,27,Active
5368,26,4,30,Active
5886,10,8,18,Active
628,23,4,27,Active
7315,4,9,13,Active
880,32,4,36,Active
1828,16,16,32,Active
1384,6,16,22,Active
1472,16,16,32,Active
1595,12,16,28,Active
1674,30,4,34,Active
1988,28,4,32,Active
226,8,16,24,Active
2414,3,9,12,Active
2667,24,4,28,Active
2716,20,16,36,Active
2727,26,4,30,Active
3159,30,4,34,Active
4324,3,12,15,Active
