Store Number,Coverage
453,No Coverage
1790,Low Quantities
2872,No Coverage
5842,No Coverage
3328,No Coverage
2061,No Coverage
2678,No Coverage
1836,No Coverage
5160,No Coverage
1733,No Coverage
2700,Low Quantities
5048,No Coverage
1428,No Coverage
2619,No Coverage
1611,Low Quantities
1987,Low Quantities
2273,No Coverage
2354,No Coverage
2693,No Coverage
3726,Low Quantities
4243,Low Quantities
4660,Low Quantities
3445,No Coverage
4479,No Coverage
5029,No Coverage
1539,No Coverage
1576,Low Quantities
2544,Low Quantities
1707,Low Quantities
2197,Low Quantities
3722,No Coverage
3860,No Coverage
1863,No Coverage
5387,No Coverage
1839,No Coverage
2323,No Coverage
2361,No Coverage
1937,No Coverage
2209,Low Quantities
3581,No Coverage
2426,No Coverage
2725,No Coverage
1564,Low Quantities
3486,No Coverage
5466,No Coverage
2441,No Coverage
3502,No Coverage
5499,No Coverage
4609,No Coverage
1962,No Coverage
1570,No Coverage
844,Low Quantities
786,No Coverage
1814,No Coverage
1779,No Coverage
1737,No Coverage
1668,No Coverage
1413,Low Quantities
3255,No Coverage
200,No Coverage
609,No Coverage
2728,No Coverage
603,No Coverage
1028,No Coverage
3460,No Coverage
2231,No Coverage
379,No Coverage
1009,Low Quantities
9,No Coverage
19,Low Quantities
37,No Coverage
95,No Coverage
188,Low Quantities
21,Low Quantities
219,No Coverage
60,No Coverage
2616,Low Quantities
295,No Coverage
313,No Coverage
5150,No Coverage
201,No Coverage
256,Low Quantities
361,No Coverage
14,No Coverage
179,No Coverage
845,No Coverage
195,No Coverage
834,No Coverage
1120,No Coverage
2994,No Coverage
319,No Coverage
1014,Low Quantities
4553,No Coverage
4590,No Coverage
1151,No Coverage
1160,Low Quantities
5443,No Coverage
1310,No Coverage
252,No Coverage
2786,No Coverage
794,No Coverage
1221,Low Quantities
3492,No Coverage
592,No Coverage
43,No Coverage
484,No Coverage
5441,No Coverage
1695,No Coverage
4352,Low Quantities
1585,Low Quantities
2579,No Coverage
1965,No Coverage
3150,No Coverage
3267,Low Quantities
1943,No Coverage
2432,No Coverage
4246,No Coverage
4253,No Coverage
892,No Coverage
2889,No Coverage
559,No Coverage
797,No Coverage
2827,No Coverage
1757,Low Quantities
2087,No Coverage
1633,Low Quantities
3102,No Coverage
810,No Coverage
1936,No Coverage
1490,No Coverage
2532,No Coverage
3837,No Coverage
1971,No Coverage
1167,No Coverage
1394,No Coverage
1551,No Coverage
2668,No Coverage
1672,No Coverage
5432,No Coverage
1679,No Coverage
1202,No Coverage
1430,No Coverage
1982,No Coverage
1453,Low Quantities
1931,No Coverage
1678,No Coverage
3322,No Coverage
1650,No Coverage
3497,No Coverage
2386,No Coverage
2012,No Coverage
2155,No Coverage
2629,No Coverage
