Store Number,Current Delivery,Current MP Delivery Window,Updated Delivery,Updated MP Delivery Window,Comments
20,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
26,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
34,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
35,Same Day ,18:00-06:00,Same Day ,18:00-04:00,
39,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
46,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
56,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
86,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
96,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
138,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
179,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
234,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
242,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
319,Same Day ,18:00-04:00,Same Day ,16:00-04:00,
338,Same Day ,18:00-07:00,Same Day ,18:00-04:00,
379,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
382,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
444,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
484,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
486,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
557,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
573,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
577,Same Day ,18:00-06:00,Same Day ,18:00-04:00,
888,Same Day ,18:00-07:00,Same Day ,16:00-04:00,
998,Same Day ,06:00-08:00,Same Day ,16:00-23:00,
1009,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1014,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1094,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1120,Same Day ,18:00-06:00,Same Day ,16:00-04:00,
1151,Same Day ,18:00-05:00,Same Day ,16:00-04:00,
1197,Same Day,18:00-06:00,Same Day,16:00-04:00,
1236,Same Day,18:00-06:00,Same Day,16:00-04:00,
1300,Same Day,18:00-06:00,Same Day,16:00-04:00,
1354,Same Day,18:00-06:00,Same Day,16:00-04:00,
1355,Same Day,18:00-06:00,Same Day,16:00-04:00,
1379,Same Day,18:00-06:00,Same Day,16:00-04:00,
1388,Same Day,18:00-06:00,Same Day,16:00-04:00,
1416,Same Day,18:00-07:00,Same Day,16:00-04:00,
1422,Same Day,18:00-06:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 23, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1423,Same Day,18:00-07:00,Same Day,16:00-04:00,
1424,Same Day,18:00-06:00,Same Day,16:00-04:00,
1428,Same Day,18:00-06:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 23, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1429,Same Day,18:00-06:00,Same Day,16:00-04:00,
1432,Same Day,18:00-06:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on September 23, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1445,Same Day,18:00-07:00,Same Day,16:00-04:00,
1502,Same Day,18:00-06:00,Same Day,16:00-04:00,
1524,Same Day,18:00-04:00,Same Day,16:00-04:00,
1527,Same Day,18:00-06:00,Same Day,16:00-04:00,
1540,Same Day,18:00-07:00,Same Day,16:00-04:00,
