DC,BANNER ,Commodity,Pick Type,Item #,21-Apr,22-Apr,23-Apr,24-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May
6042,SAMS,CUT FLORAL,CASE,980108723,0,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0
6042,SAMS,CUT FLORAL,CASE,980110933,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0
6042,SAMS,CUT FLORAL,CASE,980248214,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0
6042,SAMS,CUT FLORAL,CASE,980248226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
6042,SAMS,CUT FLORAL,CASE,980271243,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0
6042,SAMS,CUT FLORAL,PALLET,557745,0,0,0,0,0,0,0,0,0,0,0,156,156,78,156,0
6042,SAMS,CUT FLORAL,PALLET,980010313,0,0,0,0,0,0,0,0,0,0,78,0,38,0,0,0
6042,SAMS,CUT FLORAL,PALLET,980013333,0,0,0,0,0,0,0,0,312,4,0,0,0,0,0,0
6042,SAMS,CUT FLORAL,PALLET,980196784,0,0,0,0,0,0,0,0,0,234,234,0,0,78,78,0
6042,SAMS,CUT FLORAL,PALLET,980199466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6042,SAMS,CUT FLORAL,PALLET,980268803,0,0,0,0,0,0,0,0,0,0,0,78,78,78,55,0
6042,SAMS,LIVE PLANTS,CASE,990293789,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0
6042,SAMS,LIVE PLANTS,CASE,990338204,65,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0
6042,SAMS,LIVE PLANTS,PALLET,980272575,0,0,0,0,16,16,16,0,0,0,0,0,0,0,0,0
6042,SAMS,LIVE PLANTS,PALLET,980328558,0,0,0,0,18,18,18,18,18,18,18,18,18,18,0,0
6042,WM,CUT FLORAL,CASE,579521638,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
6042,WM,CUT FLORAL,CASE,599903580,0,0,0,0,0,0,0,0,0,234,28,0,0,0,0,0
6042,WM,CUT FLORAL,CASE,599974138,0,0,0,0,0,0,0,0,0,234,35,0,0,0,0,0
6042,WM,CUT FLORAL,CASE,599974163,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0
6042,WM,CUT FLORAL,CASE,658791850,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
6042,WM,CUT FLORAL,CASE,658898787,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0
6042,WM,CUT FLORAL,CASE,658898799,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0
6042,WM,CUT FLORAL,CASE,658939902,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0
6042,WM,CUT FLORAL,PALLET,599934350,0,0,0,0,0,0,0,0,0,0,0,13,26,26,26,52
6042,WM,CUT FLORAL,PALLET,599974139,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
6042,WM,CUT FLORAL,PALLET,599974152,0,0,0,0,0,0,0,0,0,0,0,0,78,78,87,156
6042,WM,CUT FLORAL,PALLET,650819872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0
6042,WM,CUT FLORAL,PALLET,658898800,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0
6042,WM,CUT FLORAL,PALLET,658898801,0,0,0,0,0,0,0,0,0,0,0,26,0,50,30,72
6042,WM,LIVE PLANTS,CASE,651540688,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0
6047,SAMS,CUT FLORAL,CASE,980108723,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6047,SAMS,CUT FLORAL,CASE,980110933,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
6047,SAMS,CUT FLORAL,CASE,980248214,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
6047,SAMS,CUT FLORAL,CASE,980248226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
6047,SAMS,CUT FLORAL,CASE,980271243,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
